province,HR,index_of_remoteness,aR_score,num_csds,first_wave_peak_date,second_wave_peak_date
Quebec,Gaspesie-Iles-de-la-Madeleine,23.0597,86,48,2020-10-08,2021-05-19
Quebec,Lanaudiere,7.9462,105,62,2021-01-05,2021-04-24
Quebec,Laurentides,11.6052,132,77,2020-12-30,2021-04-08
Quebec,Laval,0.03,1,1,2021-01-05,2021-03-04
Quebec,Mauricie et du Centre-du-Quebec,19.2957,226,127,2020-12-26,2021-05-05
Quebec,Monteregie,15.1461,237,146,2020-12-29,2021-04-16
Quebec,Montreal,0.9741,16,16,2021-01-07,2021-04-09
Quebec,Nord-du-Quebec,2.6667,12,5,2020-11-18,2021-05-08
Quebec,Nunavik,11.0967,15,14,2020-04-02,2021-02-27
Quebec,Outaouais,13.8869,122,69,2020-12-25,2021-04-10
Quebec,Saguenay-Lac-Saint-Jean,18.5163,89,54,2020-11-19,2021-03-19
Quebec,Terres-Cries-de-la-Baie-James,5.9021,21,9,2021-01-07,2021-02-22
Saskatchewan,Central East,66.7154,231,181,2021-01-25,2021-05-21
Saskatchewan,Central West,30.4053,117,85,2020-11-24,2021-04-12
Saskatchewan,Far North Central,2.7454,11,4,2020-11-20,2021-02-20
Saskatchewan,Far North East,15.1352,41,26,2021-01-02,2021-07-08
Saskatchewan,Far North West,21.1591,50,39,2021-01-15,2021-07-31
Saskatchewan,North Central,22.1039,97,65,2020-12-27,2021-05-03
Saskatchewan,North East,22.7138,72,53,2021-01-25,2021-03-27
Saskatchewan,North West,33.6709,128,92,2020-11-21,2021-04-09
Saskatchewan,Regina,9.6,45,35,2020-12-09,2021-03-28
Saskatchewan,Saskatoon,10.037,50,38,2020-12-06,2021-05-07
Saskatchewan,South Central,28.7735,121,77,2020-11-17,2021-04-02
Saskatchewan,South East,54.4941,217,154,2020-11-15,2021-05-14
Saskatchewan,South West,25.3294,64,56,2020-08-14,2021-04-24
Yukon,Yukon,17.0546,79,31,2020-11-23,2021-06-27
