"date_report","incidence"
2020-12-27,9797
2020-12-28,10739
2020-12-29,8876
2020-12-30,7596
2020-12-31,7115
2021-01-01,714
2021-01-02,4618
2021-01-03,12056
2021-01-04,14363
2021-01-05,7341
2021-01-06,7927
2021-01-07,8172
2021-01-08,9195
2021-01-09,8398
2021-01-10,6894
2021-01-11,8879
2021-01-12,6076
2021-01-13,7180
2021-01-14,7478
2021-01-15,6899
2021-01-16,6268
2021-01-17,5865
2021-01-18,6639
2021-01-19,5201
2021-01-20,5538
2021-01-21,6234
2021-01-22,5773
2021-01-23,4949
2021-01-24,4366
2021-01-25,5921
2021-01-26,4096
2021-01-27,4301
2021-01-28,4811
2021-01-29,4824
2021-01-30,3888
2021-01-31,3829
2021-02-01,4665
2021-02-02,2945
2021-02-03,3286
2021-02-04,4098
2021-02-05,3995
2021-02-06,3254
2021-02-07,3057
2021-02-08,3924
2021-02-09,2641
2021-02-10,3247
2021-02-11,3189
2021-02-12,3446
2021-02-13,3010
2021-02-14,2019
2021-02-15,1962
2021-02-16,4158
2021-02-17,2738
2021-02-18,3397
2021-02-19,3140
2021-02-20,2577
2021-02-21,2308
2021-02-22,3997
2021-02-23,2807
2021-02-24,2934
2021-02-25,3139
2021-02-26,3215
2021-02-27,2556
2021-02-28,2216
2021-03-01,3796
2021-03-02,2704
2021-03-03,2772
2021-03-04,3042
2021-03-05,3237
2021-03-06,2402
2021-03-07,2206
2021-03-08,4483
2021-03-09,2934
2021-03-10,3084
2021-03-11,3268
2021-03-12,3575
2021-03-13,2993
2021-03-14,2627
2021-03-15,4029
2021-03-16,3015
2021-03-17,3458
2021-03-18,3694
2021-03-19,4357
2021-03-20,3377
2021-03-21,3027
2021-03-22,5153
2021-03-23,3687
2021-03-24,4039
2021-03-25,5231
2021-03-26,5222
2021-03-27,4432
2021-03-28,4051
2021-03-29,6614
2021-03-30,4971
2021-03-31,5793
2021-04-01,5814
2021-04-02,4091
2021-04-03,7241
2021-04-04,4020
2021-04-05,10551
2021-04-06,7398
2021-04-07,7484
2021-04-08,8241
2021-04-09,9152
2021-04-10,7208
2021-04-11,7457
2021-04-12,11196
2021-04-13,7388
2021-04-14,9172
2021-04-15,9612
2021-04-16,9309
2021-04-17,7212
2021-04-18,7645
2021-04-19,10643
2021-04-20,7299
2021-04-21,6475
2021-04-22,10763
2021-04-23,8593
2021-04-24,7096
2021-04-25,6606
2021-04-26,9276
2021-04-27,7064
2021-04-28,8105
2021-04-29,9520
2021-04-30,8145
2021-05-01,7421
2021-05-02,6886
2021-05-03,8639
