Geo Code,Geo Name,Line Number
"6001003","Watson Lake",2
"6001004","Faro",2249
"6001006","Teslin",4496
"6001007","Teslin Post 13",6743
"6001008","Carcross 4",8990
"6001009","Whitehorse",11237
"6001010","Lake Laberge 1",13484
"6001012","Carmacks",15731
"6001016","Klukshu",17978
"6001018","Haines Junction",20225
"6001019","Kloo Lake",22472
"6001022","Mayo",24719
"6001029","Dawson",26966
"6001031","Moosehide Creek 2",29213
"6001032","Upper Liard",31460
"6001035","Two Mile and Two and One-Half Mile Village",33707
"6001036","Tagish",35954
"6001037","Ross River",38201
"6001038","Champagne Landing 10",40448
"6001039","Burwash Landing",42695
"6001041","Pelly Crossing",44942
"6001042","Beaver Creek",47189
"6001043","Old Crow",49436
"6001044","Mt. Lorne",51683
"6001045","Yukon, Unorganized",53930
"6001046","Swift River",56177
"6001047","Johnsons Crossing",58424
"6001048","Carcross",60671
"6001049","Destruction Bay",62918
"6001050","Stewart Crossing",65165
"6001052","Keno Hill",67412
"6001055","Ibex Valley",69659
"6001057","Teslin",71906
"6001058","Marsh Lake",74153
"6001059","Macpherson-Grizzly Valley",76400
"6001060","Whitehorse, Unorganized",78647
