district,town,population,commuting_population,commute_1,commute_2,commute_3,commute_4
South East ,Ceylon,111.00,25.00,10.00,20.00,0.00,0.00
South East ,Cowessess First Nation,540.00,115.00,65.00,40.00,10.00,0.00
South East ,Creelman,113.00,50.00,15.00,20.00,15.00,0.00
South East ,Dysart,200.00,55.00,10.00,40.00,0.00,0.00
South East ,Estevan,"12,513.00","5,765.00","4,165.00","1,425.00",140.00,45.00
South East ,Fairlight,40.00,,,,,
South East ,Fillmore,534.00,125.00,30.00,70.00,30.00,0.00
South East ,Fleming,84.00,25.00,10.00,0.00,0.00,10.00
South East ,Forget,55.00,15.00,0.00,15.00,0.00,0.00
South East ,Fort Qu'Appelle,"2,027.00",680.00,440.00,210.00,25.00,0.00
South East ,Fort San,222.00,65.00,0.00,65.00,0.00,0.00
South East ,Francis,217.00,75.00,0.00,50.00,10.00,0.00
South East ,Gainsborough,254.00,85.00,35.00,45.00,0.00,0.00
South East ,Glen Ewan,154.00,55.00,20.00,35.00,0.00,0.00
South East ,Glenavon,182.00,40.00,15.00,20.00,10.00,0.00
South East ,Goodwater,30.00,,,,,
South East ,Grenfell,"1,099.00",315.00,230.00,65.00,15.00,0.00
South East ,Halbrite,119.00,45.00,0.00,35.00,10.00,0.00
South East ,Heward,44.00,,,,,
South East ,Indian Head,"2,246.00",835.00,400.00,380.00,55.00,0.00
South East ,Katepwa,312.00,80.00,10.00,70.00,10.00,0.00
South East ,Kendal,83.00,40.00,0.00,40.00,0.00,0.00
South East ,Kennedy,216.00,60.00,0.00,25.00,35.00,0.00
South East ,Kenossee Lake,234.00,85.00,10.00,70.00,0.00,10.00
South East ,Kipling,"1,074.00",310.00,235.00,65.00,0.00,0.00
South East ,Kisbey,153.00,75.00,25.00,40.00,0.00,0.00
South East ,Lake Alma,272.00,40.00,10.00,20.00,10.00,0.00
South East ,Lampman,675.00,280.00,155.00,125.00,0.00,0.00
South East ,Lang,189.00,40.00,0.00,20.00,25.00,0.00
South East ,Lebret,216.00,80.00,10.00,70.00,0.00,0.00
South East ,Lipton,726.00,205.00,50.00,150.00,0.00,0.00
South East ,Macoun,269.00,100.00,10.00,15.00,70.00,0.00
South East ,Manor,295.00,70.00,15.00,60.00,0.00,10.00
South East ,Maryfield,"1,049.00",260.00,25.00,112.00,80.00,35.00
South East ,McLean,405.00,160.00,10.00,150.00,0.00,0.00
South East ,McTaggart,121.00,50.00,0.00,50.00,0.00,0.00
South East ,Midale,604.00,190.00,60.00,55.00,75.00,0.00
South East ,Minton,55.00,0.00,0.00,0.00,0.00,0.00
South East ,Montmartre,973.00,285.00,100.00,150.00,35.00,0.00
South East ,Moosomin,"3,937.00","1,440.00",910.00,415.00,100.00,20.00
South East ,Odessa,205.00,85.00,25.00,60.00,0.00,0.00
South East ,Ogema,403.00,170.00,110.00,40.00,15.00,0.00
South East ,Osage,20.00,,,,,
South East ,Oxbow,"1,328.00",470.00,340.00,120.00,0.00,10.00
South East ,Pangman,232.00,50.00,30.00,20.00,0.00,0.00
South East ,Qu'Appelle,639.00,315.00,70.00,235.00,0.00,0.00
South East ,Radville,807.00,235.00,160.00,65.00,10.00,0.00
South East ,Redvers,"1,042.00",365.00,225.00,75.00,55.00,10.00
South East ,Rocanville,863.00,380.00,235.00,100.00,35.00,10.00
South East ,Roche Percee,110.00,35.00,0.00,35.00,0.00,0.00
South East ,Sedley,358.00,145.00,30.00,105.00,0.00,0.00
South East ,Sintaluta,119.00,60.00,15.00,30.00,10.00,0.00
South East ,Storthoaks,390.00,120.00,20.00,90.00,0.00,0.00
South East ,Stoughton,649.00,285.00,200.00,55.00,25.00,10.00
South East ,Torquay,255.00,80.00,40.00,10.00,35.00,0.00
South East ,Tribune,45.00,,,,,
South East ,Vibank,385.00,190.00,30.00,145.00,20.00,0.00
South East ,Wapella,326.00,130.00,45.00,75.00,10.00,0.00
South East ,Wawota,543.00,150.00,80.00,60.00,10.00,0.00
South East ,Welwyn,133.00,30.00,0.00,30.00,0.00,0.00
South East ,Weyburn,"11,934.00","4,425.00","3,430.00",800.00,190.00,0.00
South East ,White Bear First Nation,691.00,170.00,95.00,65.00,10.00,0.00
South East ,Whitewood,862.00,325.00,185.00,125.00,15.00,0.00
South East ,Windthorst,211.00,75.00,25.00,35.00,10.00,0.00
South East ,Wolseley,"1,226.00",385.00,165.00,140.00,70.00,10.00
South East ,Yellow Grass,478.00,175.00,30.00,135.00,0.00,0.00
South West,Abbey,129.00,45.00,25.00,20.00,0.00,0.00
South West,Bracken,20.00,,,,,
South West,Burstall,378.00,100.00,55.00,15.00,0.00,25.00
South West,Cabri,390.00,110.00,85.00,25.00,0.00,0.00
South West,Carmichael,502.00,65.00,0.00,20.00,45.00,0.00
South West,Climax,195.00,70.00,0.00,60.00,0.00,0.00
South West,Consul,73.00,15.00,0.00,10.00,0.00,0.00
South West,Eastend,503.00,195.00,150.00,45.00,0.00,0.00
South West,Fox Valley,249.00,70.00,30.00,10.00,15.00,15.00
South West,Frontier,698.00,180.00,105.00,65.00,10.00,0.00
South West,Golden Prairie,30.00,,,,,
South West,Gull Lake,"1,247.00",410.00,245.00,125.00,30.00,10.00
South West,Hazlet,106.00,20.00,10.00,15.00,0.00,0.00
South West,Lancer,69.00,,,,,
South West,Leader,863.00,300.00,245.00,20.00,20.00,25.00
South West,Maple Creek,"2,084.00",820.00,730.00,20.00,45.00,30.00
South West,Mendham,30.00,,,,,
South West,Nekaneet First Nation,182.00,45.00,0.00,40.00,0.00,0.00
South West,Pennant,130.00,65.00,10.00,65.00,0.00,0.00
South West,Prelate,154.00,30.00,0.00,20.00,0.00,10.00
South West,Richmound,147.00,40.00,10.00,15.00,0.00,10.00
South West,Sceptre,94.00,10.00,10.00,0.00,0.00,0.00
South West,Shaunavon,"1,714.00",620.00,535.00,40.00,35.00,10.00
South West,Stewart Valley,91.00,55.00,20.00,30.00,0.00,0.00
South West,Success,45.00,,,,,
South West,Swift Current,"16,604.00","7,190.00","6,370.00",630.00,170.00,25.00
South West,Tompkins,152.00,35.00,10.00,25.00,0.00,0.00
South West,Val Marie,539.00,95.00,40.00,45.00,10.00,0.00
South West,Webb,591.00,75.00,0.00,60.00,10.00,0.00
