district,town,population,commuting_population,commute_1,commute_2,commute_3,commute_4
Central East,Wee Too Beach,79.00,20.00,0.00,25.00,0.00,0.00
Central East,West End,37.00,,,,,
Central East,Wynyard,"1,798.00",770.00,635.00,60.00,80.00,0.00
Central East,Yarbo,57.00,20.00,0.00,20.00,0.00,0.00
Central East,Yorkton,"16,343.00","6,985.00","6,150.00",385.00,405.00,40.00
Central East,Young,244.00,115.00,15.00,90.00,0.00,0.00
Central East,Zelma,35.00,,,,,
Central West,Aylesbury,40.00,,,,,
Central West,Beechy,228.00,45.00,35.00,0.00,10.00,0.00
Central West,Biggar,"3,024.00",955.00,645.00,180.00,120.00,10.00
Central West,Bladworth,65.00,20.00,0.00,140.00,0.00,0.00
Central West,Brock,409.00,120.00,10.00,90.00,10.00,0.00
Central West,Broderick,85.00,35.00,10.00,25.00,0.00,0.00
Central West,Coleville,305.00,120.00,65.00,45.00,10.00,10.00
Central West,Conquest,160.00,60.00,10.00,10.00,35.00,0.00
Central West,Coteau Beach,475.00,110.00,30.00,45.00,30.00,10.00
Central West,Craik,651.00,150.00,50.00,50.00,55.00,0.00
Central West,Davidson,"1,048.00",440.00,375.00,45.00,25.00,0.00
Central West,Dinsmore,289.00,60.00,35.00,15.00,15.00,0.00
Central West,Dodsland,215.00,40.00,15.00,20.00,0.00,0.00
Central West,Eatonia,524.00,195.00,80.00,40.00,75.00,0.00
Central West,Elbow,337.00,70.00,45.00,15.00,10.00,0.00
Central West,Elrose,496.00,200.00,145.00,10.00,55.00,0.00
Central West,Eston,"1,061.00",380.00,295.00,45.00,35.00,0.00
Central West,Flaxcombe,124.00,40.00,10.00,30.00,0.00,0.00
Central West,Glenside,76.00,15.00,0.00,15.00,0.00,0.00
Central West,Harris,386.00,125.00,10.00,75.00,45.00,0.00
Central West,Hawarden,52.00,20.00,0.00,20.00,10.00,0.00
Central West,Kenaston,282.00,120.00,65.00,45.00,0.00,0.00
Central West,Kerrobert,"1,026.00",405.00,290.00,105.00,10.00,10.00
Central West,Kindersley,"5,620.00","2,225.00","1,815.00",310.00,45.00,10.00
Central West,Kinley,60.00,25.00,0.00,25.00,0.00,0.00
Central West,Kyle,449.00,145.00,100.00,40.00,15.00,0.00
Central West,Loreburn,464.00,80.00,15.00,65.00,0.00,10.00
Central West,Lucky Lake,289.00,65.00,45.00,15.00,10.00,10.00
Central West,Luseland,623.00,210.00,105.00,85.00,0.00,20.00
Central West,Macrorie,68.00,45.00,15.00,10.00,20.00,0.00
Central West,Major,35.00,,,,,
Central West,Marengo,166.00,25.00,0.00,20.00,0.00,0.00
Central West,Milden,494.00,150.00,15.00,80.00,45.00,0.00
Central West,Mistusinne,77.00,,,,,
Central West,Netherhill,25.00,,,,,
Central West,Outlook,"2,279.00",760.00,605.00,80.00,65.00,10.00
Central West,Perdue,779.00,200.00,55.00,50.00,95.00,0.00
Central West,Plenty,164.00,95.00,60.00,30.00,10.00,0.00
Central West,Riverhurst,130.00,45.00,15.00,30.00,0.00,0.00
Central West,Rosetown,"2,451.00","1,055.00",905.00,45.00,95.00,0.00
Central West,Smiley,60.00,,,,,
Central West,Strongfield,40.00,,,,,
Central West,Tessier,25.00,,,,,
Central West,Tramping Lake,435.00,55.00,10.00,45.00,0.00,0.00
Central West,Tugaske,75.00,15.00,0.00,10.00,0.00,0.00
Central West,Wiseton,79.00,30.00,15.00,10.00,10.00,0.00
Central West,Zealandia,80.00,35.00,10.00,30.00,0.00,0.00
Far North Central,Fond du Lac,903.00,215.00,150.00,60.00,10.00,0.00
Far North Central,Stony Rapids,262.00,120.00,85.00,30.00,0.00,0.00
Far North Central,Uranium City,73.00,20.00,15.00,0.00,0.00,0.00
Far North East,Air Ronge,"1,016.00",490.00,115.00,360.00,0.00,0.00
Far North East,Brabant Lake,62.00,15.00,10.00,10.00,0.00,0.00
Far North East,Creighton,"1,402.00",635.00,155.00,40.00,10.00,440.00
Far North East,Denare Beach,779.00,310.00,40.00,70.00,0.00,200.00
Far North East,Flin Flon,203.00,75.00,10.00,10.00,0.00,55.00
Far North East,Hatchet Lake First Nation,,,,,,
Far North East,La Ronge,"2,688.00","1,140.00",890.00,230.00,10.00,10.00
Far North East,Lac La Ronge Indian Band,"2,017.00",310.00,50.00,255.00,10.00,0.00
Far North East,Missinipe,5.00,,,,,
Far North East,Pelican Narrows,"2,499.00",235.00,70.00,170.00,0.00,0.00
Far North East,Peter Ballantyne Cree Nation,,,,,,
Far North East,Pinehouse,"1,052.00",255.00,185.00,65.00,0.00,0.00
Far North East,Sandy Bay,697.00,90.00,85.00,10.00,0.00,0.00
Far North East,Southend,"1,045.00",175.00,140.00,35.00,0.00,0.00
Far North East,Wollaston Lake,99.00,20.00,15.00,0.00,0.00,0.00
Far North West,Beauval,640.00,140.00,85.00,30.00,25.00,0.00
Far North West,Canora,"2,024.00",605.00,375.00,215.00,15.00,0.00
Far North West,Clearwater River Dene Nation,857.00,125.00,70.00,50.00,0.00,0.00
Far North West,Cole Bay,170.00,25.00,15.00,0.00,0.00,0.00
Far North West,Dore Lake,30.00,,,,,
Far North West,Dorintosh,134.00,25.00,15.00,10.00,0.00,0.00
Far North West,English River First Nation,,,,,,
Far North West,Goodsoil,282.00,60.00,45.00,20.00,0.00,0.00
Far North West,Green Lake,429.00,65.00,20.00,10.00,30.00,0.00
Far North West,Greig Lake,10.00,,,,,
Far North West,Ile-a-la-Crosse,"1,296.00",370.00,245.00,120.00,0.00,10.00
Far North West,Jans Bay,152.00,20.00,0.00,10.00,0.00,0.00
Far North West,La Loche,"2,372.00",330.00,290.00,20.00,10.00,15.00
Far North West,Loon Lake,"1,044.00",305.00,45.00,230.00,0.00,15.00
Far North West,Makwa,"1,091.00",105.00,50.00,60.00,0.00,0.00
Far North West,Meadow Lake,"7,845.00","3,040.00","1,805.00","1,055.00",435.00,100.00
Far North West,Michel Village,57.00,10.00,10.00,10.00,10.00,0.00
Far North West,Patuanak,73.00,10.00,0.00,0.00,0.00,0.00
Far North West,Pierceland,598.00,205.00,85.00,15.00,0.00,110.00
Far North West,St. George’s Hill,131.00,20.00,0.00,15.00,0.00,0.00
Far North West,Turnor Lake,625.00,105.00,30.00,45.00,10.00,0.00
North Central,Albertville,86.00,45.00,10.00,35.00,,
North Central,Alvena,60.00,20.00,0.00,10.00,10.00,0.00
North Central,Big River,"3,142.00",730.00,370.00,250.00,65.00,50.00
North Central,Birch Hills,"1,689.00",545.00,135.00,400.00,10.00,0.00
North Central,Blaine Lake,790.00,175.00,75.00,55.00,55.00,0.00
North Central,Candle Lake,840.00,275.00,80.00,130.00,65.00,0.00
North Central,Canwood,"1,713.00",465.00,45.00,335.00,85.00,0.00
North Central,Chitek Lake,959.00,150.00,45.00,80.00,15.00,0.00
North Central,Christopher Lake,289.00,70.00,20.00,45.00,10.00,0.00
North Central,Cudworth,814.00,225.00,75.00,80.00,70.00,0.00
North Central,Debden,337.00,105.00,70.00,15.00,20.00,0.00
North Central,Duck Lake,"1,573.00",475.00,45.00,370.00,50.00,10.00
North Central,Hague,874.00,340.00,135.00,25.00,175.00,0.00
