wave,regressor,coefficient,se,p.value,sds,type,CI025,CI975,t.value
1,is_cma,4.92821531494311,0.865934746732835,1.26143254835346e-08,7.66081877672987,Ridge,3.23098321134675,6.62544741853947,
1,is_ca,-2.61616611402118,1.10197432177229,0.0175931310786765,6.34993979461136,Ridge,-4.77603578469486,-0.456296443347497,
1,is_miz_strong,0.988948753989025,0.558510098115455,0.0766121148584398,11.5726730347135,Ridge,-0.105731038317267,2.08362854629532,
1,is_miz_moderate,-0.775006554660449,0.444185921652409,0.0810232333133,15.3745337704853,Ridge,-1.64561096109917,0.0955978517782722,
1,is_miz_weak,-2.76789209016222,0.922678237726112,0.00270116648718105,7.62686234369167,Ridge,-4.5763414361054,-0.959442744219043,
1,is_miz_none,-0.916172710203914,1.18592266306107,0.439794657362116,5.86204886012459,Ridge,-3.24058112980361,1.40823570939578,
1,LTCHs,1.97200300103213,0.176957890523885,7.66764375380533e-29,36.2705445988654,Ridge,1.62516553560532,2.31884046645895,
1,PHU_pop_density,0.184438127585474,0.0103123840069303,1.54047465306958e-71,612.229588957845,Ridge,0.16422585493189,0.204650400239057,
1,group_0_to_4,0.00410858072159122,0.000242256658685778,1.63399478011131e-64,23980.0074988202,Ridge,0.0036337576705671,0.00458340377261535,
1,group_5_to_19,0.00127391848465612,8.0253858394717e-05,9.65249686094418e-57,72581.8420212996,Ridge,0.00111662092220247,0.00143121604710976,
1,group_20_to_49,0.000520767600200042,3.04923218559607e-05,2.14024453163658e-65,189483.277088305,Ridge,0.000461002649362359,0.000580532551037725,
1,group_50_to_64,0.00111060601112508,6.64927011559261e-05,1.25317206605387e-62,86166.3903448384,Ridge,0.000980280316859461,0.00124093170539069,
1,group_65_plus,0.001549488303363,8.71307907043208e-05,9.49094606806849e-71,65473.2435913677,Ridge,0.00137871195358253,0.00172026465314347,
1,interaction_popdensity_cma,0.0201831097038582,0.001086220561843,4.57536006574701e-77,6210.79302982291,Ridge,0.0180541174026459,0.0223121020050705,
1,interaction_popdensity_ca,0.0895601499030272,0.0404428579759453,0.0267953526338635,164.588826103841,Ridge,0.0102921482701744,0.16882815153588,
1,interaction_popdensity_strong,0.0241708012421205,0.00577530760157997,2.84918634441499e-05,1137.17070644679,Ridge,0.0128511983430237,0.0354904041412172,
1,interaction_popdensity_moderate,0.0381077733219251,0.0161388466312909,0.0182136859021117,400.36560700795,Ridge,0.006475633924595,0.0697399127192553,
1,interaction_popdensity_weak,-0.0684383205093502,0.0579213470661298,0.23737503023379,123.637509278778,Ridge,-0.181964160758965,0.0450875197402641,
1,interaction_popdensity_none,-17.4779872363809,25.7648200106003,0.497539431162661,0.270273217390659,Ridge,-67.9770344571575,33.0210599843958,
1,(Intercept),-274.678308109633,205.76404773164,0.185836485855219,,OLS,-677.975841663648,128.619225444382,-1.33491886040204
1,is_cma,-40.1322326340108,19.9562370550375,0.0478244984620675,,OLS,-79.2464572618842,-1.01800800613732,-2.0110120221227
1,is_ca,1.16887891883666,22.3079618854606,0.958347754445068,,OLS,-42.5547263766661,44.8924842143394,0.0523973873022655
1,is_miz_strong,-1.217472954418,21.5957216660402,0.955188583384939,,OLS,-43.5450874198568,41.1101415110208,-0.0563756550137664
1,is_miz_moderate,-14.87017820058,13.4768472888831,0.273295596525706,,OLS,-41.2847988867908,11.5444424856308,-1.10338700749739
1,is_miz_weak,8.33819616545947,14.6502825861511,0.570911438183279,,OLS,-20.3763577033966,37.0527500343156,0.569149169405209
1,is_miz_none,5.85814886079633,28.3031478356861,0.836572865670677,,OLS,-49.6160208971484,61.332318618741,0.206978704093475
1,LTCHs,-21.2870847954069,5.84544824813102,0.000488857563448928,,OLS,-32.7441633617437,-9.8300062290701,-3.64165139982431
