Geo Code,Geo Name,Line Number
"4601035","Stuartburn",2
"4601039","Piney",2249
"4601043","Reynolds",4496
"4601046","Whitemouth",6743
"4601051","Pinawa",8990
"4601057","Lac du Bonnet",11237
"4601060","Lac du Bonnet",13484
"4601070","Buffalo Point 36",15731
"4601071","Alexander",17978
"4601075","Powerview-Pine Falls",20225
"4601078","Victoria Beach",22472
"4601079","Shoal Lake (Part) 40",24719
"4601082","Shoal Lake (Part) 39A",26966
"4601094","Division No. 1, Unorganized",29213
"4602024","Emerson-Franklin",31460
"4602026","Roseau Rapids 2A",33707
"4602027","Roseau River 2",35954
"4602032","De Salaberry",38201
"4602037","St-Pierre-Jolys",40448
"4602041","Hanover",42695
"4602044","Steinbach",44942
"4602046","Niverville",47189
"4602053","La Broquerie",49436
"4602057","Ste. Anne",51683
"4602061","Ste. Anne",53930
"4602069","Taché",56177
"4602075","Ritchot",58424
"4603030","Montcalm",60671
"4603040","Altona",62918
"4603041","Rhineland",65165
"4603047","Stanley",67412
"4603050","Winkler",69659
"4603053","Morden",71906
"4603058","Thompson",74153
"4603062","Roland",76400
"4603065","Morris",78647
"4603067","Morris",80894
"4603072","Dufferin",83141
"4603074","Carman",85388
"4604034","Pembina",87635
"4604040","Louise",89882
"4604052","Cartwright-Roblin",92129
"4604057","Argyle",94376
"4604064","Lorne",96623
"4604068","Swan Lake 7",98870
"4605025","Killarney - Turtle Mountain",101117
"4605032","Boissevain-Morton",103364
"4605038","Deloraine-Winchester",105611
"4605044","Brenda-Waskada",107858
"4605052","Melita",110105
"4605056","Two Borders",112352
"4605062","Grassland",114599
"4605071","Prairie Lakes",116846
"4606016","Sifton",119093
"4606023","Pipestone",121340
"4606029","Canupawakpa Dakota First Nation (Oak Lake 59)",123587
"4606031","Wallace-Woodworth",125834
"4606034","Virden",128081
"4606040","Sioux Valley Dakota Nation",130328
"4607039","Glenboro-South Cypress",132575
"4607046","Oakland-Wawanesa",134822
"4607052","Souris-Glenwood",137069
"4607057","Whitehead",139316
"4607060","Cornwallis",141563
"4607062","Brandon",143810
"4607066","North Cypress-Langford",146057
"4607068","Carberry",148304
"4607071","Elton",150551
"4607076","Riverdale",152798
"4608032","Norfolk-Treherne",155045
"4608042","Victoria",157292
"4608046","North Norfolk",159539
"4608055","Glenella-Lansdowne",161786
"4608060","WestLake-Gladstone",164033
"4608069","Sandy Bay 5",166280
"4609018","Grey",168527
"4609024","Portage la Prairie",170774
"4609025","Long Plain (Part) 6",173021
"4609026","Dakota Plains 6A",175268
"4609027","Dakota Tipi 1",177515
"4609029","Portage la Prairie",179762
"4610035","Macdonald",182009
"4610043","Cartier",184256
"4610052","St. François Xavier",186503
"4611040","Winnipeg",188750
"4611042","Headingley",190997
"4612047","Springfield",193244
"4612054","Brokenhead",195491
"4612056","Beausejour",197738
"4613032","East St. Paul",199985
"4613037","West St. Paul",202232
"4613043","St. Andrews",204479
"4613047","Selkirk",206726
"4613049","Dunnottar",208973
"4613056","St. Clements",211220
"4613062","Brokenhead 4",213467
"4614015","Rosser",215714
"4614031","Woodlands",217961
"4614036","Rockwood",220208
"4614039","Stonewall",222455
"4614042","Teulon",224702
"4615020","Neepawa",226949
"4615032","Oakview",229196
"4615037","Hamiota",231443
"4615042","Birdtail Creek 57",233690
"4615047","Ellice-Archie",235937
"4615049","Gambler 63 (Part)",238184
"4615056","Prairie View",240431
"4615063","Yellowhead",242678
"4615067","Keeseekoowenin 61",244925
"4615070","Harrison Park",247172
"4615071","Rolling River 67",249419
"4615072","Rolling River 67B",251666
"4615074","Minto-Odanah",253913
"4615075","Minnedosa",256160
"4615078","Rosedale",258407
"4615092","Clanwilliam-Erickson",260654
"4616005","Rossburn",262901
"4616017","Waywayseecappo First Nation",265148
"4616020","Riding Mountain West",267395
"4616025","Gambler 63 (Part)",269642
"4616030","Russell-Binscarth",271889
"4616046","Valley River 63A",274136
"4616048","Hillsburg-Roblin-Shell River",276383
"4617026","Alonsa",278630
"4617029","Ebb and Flow 52",280877
"4617035","McCreary",283124
"4617041","Ste. Rose",285371
"4617048","Dauphin",287618
"4617050","Dauphin",289865
"4617054","Gilbert Plains",292112
"4617058","Grandview",294359
"4617064","Ethelbert",296606
"4617072","Mossey River",298853
"4617075","Lakeshore",301100
"4617092","Division No. 17, Unorganized",303347
"4618031","Gimli",305594
"4618034","Winnipeg Beach",307841
"4618037","Armstrong",310088
"4618040","St. Laurent",312335
"4618044","Coldwell",314582
"4618055","Dog Creek 46",316829
"4618056","West Interlake",319076
"4618060","Grahamdale",321323
"4618063","Little Saskatchewan 48",323570
"4618067","Fairford (Part) 50",325817
"4618068","Fisher",328064
"4618074","Arborg",330311
"4618076","Bifrost-Riverton",332558
"4618091","Division No. 18, Unorganized, East Part",334805
"4618093","Division No. 18, Unorganized, West Part",337052
"4619045","Division No. 19, Unorganized",339299
"4619050","Fort Alexander 3",341546
"4619051","Little Grand Rapids 14",343793
"4619052","Bloodvein 12",346040
"4619053","Hole or Hollow Water 10",348287
"4619054","Black River 9",350534
"4619056","Fisher River 44",352781
"4619058","Fisher River 44A",355028
"4619059","Peguis 1B",357275
"4619060","Fairford (Part) 50",359522
