province,HA,CSD,SAC,population,commuting_population,commute_1,commute_2,commute_3,commute_4,airport,hospital,notes
Saskatchewan,Central East,St. Benedict,none,84,25,0,10,10,0,,,
Saskatchewan,Central East,St. Gregor,none,97,30,15,20,0,0,,,
Saskatchewan,Central East,Stenen,none,90,15,20,0,0,0,,,
Saskatchewan,Central East,Strasbourg,moderate,800,280,160,115,10,0,,,
Saskatchewan,Central East,Sturgis,moderate,644,185,95,75,15,0,,,
Saskatchewan,Central East,Sunset Cove,none,18,,,,,,,,
Saskatchewan,Central East,Tantallon,none,91,45,0,50,0,0,,,
Saskatchewan,Central East,Theodore,strong,323,145,25,100,20,0,,,
Saskatchewan,Central East,Togo,strong,86,15,0,10,10,0,,,
Saskatchewan,Central East,Wadena,moderate,1288,420,320,60,35,15,,1,
Saskatchewan,Central East,Waldron,none,15,,,,,,,,
Saskatchewan,Central East,Watrous,moderate,1900,775,555,180,35,0,,,
Saskatchewan,Central East,Watson,weak,697,215,145,15,65,0,,,
Saskatchewan,Central East,Wee Too Beach,none,79,20,0,25,0,0,,,
Saskatchewan,Central East,West End,none,37,,,,,,,,
Saskatchewan,Central East,Wynyard,weak,1798,770,635,60,80,0,,,
Saskatchewan,Central East,Yarbo,none,57,20,0,20,0,0,,,
Saskatchewan,Central East,Yorkton,ca (yorkton),16343,6985,6150,385,405,40,,,
Saskatchewan,Central East,Young,moderate,244,115,15,90,0,0,,,
Saskatchewan,Central East,Zelma,none,35,,,,,,,,
Saskatchewan,Central West,Aylesbury,none,40,,,,,,,,
Saskatchewan,Central West,Beechy,none,228,45,35,0,10,0,,,
Saskatchewan,Central West,Biggar,moderate,3024,955,645,180,120,10,,,
Saskatchewan,Central West,Bladworth,none,65,20,0,140,0,0,,,
Saskatchewan,Central West,Brock,weak,409,120,10,90,10,0,,,
Saskatchewan,Central West,Broderick,none,85,35,10,25,0,0,,,
Saskatchewan,Central West,Coleville,none,305,120,65,45,10,10,,,
Saskatchewan,Central West,Conquest,none,160,60,10,10,35,0,,,
Saskatchewan,Central West,Coteau Beach,none,475,110,30,45,30,10,,,
Saskatchewan,Central West,Craik,weak,651,150,50,50,55,0,,,
Saskatchewan,Central West,Davidson,moderate,1048,440,375,45,25,0,,,
Saskatchewan,Central West,Dinsmore,moderate,289,60,35,15,15,0,,,
Saskatchewan,Central West,Dodsland,none,215,40,15,20,0,0,,,
Saskatchewan,Central West,Eatonia,weak,524,195,80,40,75,0,,,
Saskatchewan,Central West,Elbow,weak,337,70,45,15,10,0,,,
Saskatchewan,Central West,Elrose,weak,496,200,145,10,55,0,,,
Saskatchewan,Central West,Eston,moderate,1061,380,295,45,35,0,,,
Saskatchewan,Central West,Flaxcombe,none,124,40,10,30,0,0,,,
Saskatchewan,Central West,Glenside,moderate,76,15,0,15,0,0,,,
Saskatchewan,Central West,Harris,strong,386,125,10,75,45,0,,,
Saskatchewan,Central West,Hawarden,none,52,20,0,20,10,0,,,
Saskatchewan,Central West,Kenaston,moderate,282,120,65,45,0,0,,,
Saskatchewan,Central West,Kerrobert,weak,1026,405,290,105,10,10,,,
Saskatchewan,Central West,Kindersley,weak,5620,2225,1815,310,45,10,,,
Saskatchewan,Central West,Kinley,none,60,25,0,25,0,0,,,
Saskatchewan,Central West,Kyle,weak,449,145,100,40,15,0,,,
Saskatchewan,Central West,Loreburn,weak,464,80,15,65,0,10,,,
Saskatchewan,Central West,Lucky Lake,moderate,289,65,45,15,10,10,,,
Saskatchewan,Central West,Luseland,moderate,623,210,105,85,0,20,,,
Saskatchewan,Central West,Macrorie,none,68,45,15,10,20,0,,,
Saskatchewan,Central West,Major,none,35,,,,,,,,
Saskatchewan,Central West,Marengo,none,166,25,0,20,0,0,,,
Saskatchewan,Central West,Milden,weak,494,150,15,80,45,0,,,
Saskatchewan,Central West,Mistusinne,none,77,,,,,,,,
Saskatchewan,Central West,Netherhill,none,25,,,,,,,,
Saskatchewan,Central West,Outlook,moderate,2279,760,605,80,65,10,,,
Saskatchewan,Central West,Perdue,moderate,779,200,55,50,95,0,,,
Saskatchewan,Central West,Plenty,none,164,95,60,30,10,0,,,
Saskatchewan,Central West,Riverhurst,moderate,130,45,15,30,0,0,,,
Saskatchewan,Central West,Rosetown,moderate,2451,1055,905,45,95,0,,,
Saskatchewan,Central West,Smiley,none,60,,,,,,,,
Saskatchewan,Central West,Strongfield,none,40,,,,,,,,
Saskatchewan,Central West,Tessier,none,25,,,,,,,,
Saskatchewan,Central West,Tramping Lake,weak,435,55,10,45,0,0,,,
Saskatchewan,Central West,Tugaske,none,75,15,0,10,0,0,,,
Saskatchewan,Central West,Wiseton,none,79,30,15,10,10,0,,,
Saskatchewan,Central West,Zealandia,none,80,35,10,30,0,0,,,
Saskatchewan,Far North Central,Fond du Lac,weak,903,215,150,60,10,0,regional,,
Saskatchewan,Far North Central,Stony Rapids,weak,262,120,85,30,0,0,regional,,
Saskatchewan,Far North Central,Uranium City,moderate,73,20,15,0,0,0,regional,,
Saskatchewan,Far North East,Air Ronge,weak,1016,490,115,360,0,0,,,
Saskatchewan,Far North East,Brabant Lake,none,62,15,10,10,0,0,,,
Saskatchewan,Far North East,Creighton,weak,1402,635,155,40,10,440,,,
Saskatchewan,Far North East,Denare Beach,moderate,779,310,40,70,0,200,,,
Saskatchewan,Far North East,Flin Flon,none,203,75,10,10,0,55,,,
Saskatchewan,Far North East,Hatchet Lake First Nation,,,,,,,,,,
Saskatchewan,Far North East,La Ronge,weak,2688,1140,890,230,10,10,regional,,
Saskatchewan,Far North East,Lac La Ronge Indian Band,weak,2017,310,50,255,10,0,,,
Saskatchewan,Far North East,Missinipe,none,5,,,,,,,,
Saskatchewan,Far North East,Pelican Narrows,weak,2499,235,70,170,0,0,,,
Saskatchewan,Far North East,Peter Ballantyne Cree Nation,,,,,,,,,,
Saskatchewan,Far North East,Pinehouse,weak,1052,255,185,65,0,0,,,
Saskatchewan,Far North East,Sandy Bay,none,697,90,85,10,0,0,,,
Saskatchewan,Far North East,Southend,moderate,1045,175,140,35,0,0,,,
Saskatchewan,Far North East,Wollaston Lake,moderate,99,20,15,0,0,0,regional,,
Saskatchewan,Far North West,Beauval,weak,640,140,85,30,25,0,,,
Saskatchewan,Central West,Canora,moderate,2024,605,375,215,15,0,,,
Saskatchewan,Far North West,Clearwater River Dene Nation,weak,857,125,70,50,0,0,,,
Saskatchewan,Far North West,Cole Bay,weak,170,25,15,0,0,0,,,
Saskatchewan,Far North West,Dore Lake,none,30,,,,,,,,
Saskatchewan,Far North West,Dorintosh,none,134,25,15,10,0,0,,,
Saskatchewan,Far North West,English River First Nation,weak,,,,,,,,,
Saskatchewan,Far North West,Goodsoil,strong,282,60,45,20,0,0,,,
Saskatchewan,Far North West,Green Lake,weak,429,65,20,10,30,0,,,
Saskatchewan,Far North West,Greig Lake,none,10,,,,,,,,
Saskatchewan,Far North West,Ile-a-la-Crosse,moderate,1296,370,245,120,0,10,,,
Saskatchewan,Far North West,Jans Bay,none,152,20,0,10,0,0,,,
Saskatchewan,Far North West,La Loche,weak,2372,330,290,20,10,15,,,
Saskatchewan,Far North West,Loon Lake,weak,1044,305,45,230,0,15,,,
Saskatchewan,Far North West,Makwa,none,1091,105,50,60,0,0,,,
Saskatchewan,Far North West,Meadow Lake,weak,7845,3040,1805,1055,435,100,,,
Saskatchewan,Far North West,Michel Village,none,57,10,10,10,10,0,,,
Saskatchewan,Far North West,Patuanak,none,73,10,0,0,0,0,,,
Saskatchewan,Far North West,Pierceland,strong,598,205,85,15,0,110,,,
Saskatchewan,Far North West,St. George’s Hill,none,131,20,0,15,0,0,,,
Saskatchewan,Far North West,Turnor Lake,none,625,105,30,45,10,0,,,
Saskatchewan,North Central,Albertville,ca (prince albert),86,45,10,35,,,,,
Saskatchewan,North Central,Alvena,moderate,60,20,0,10,10,0,,,
Saskatchewan,North Central,Big River,moderate,3142,730,370,250,65,50,,,
Saskatchewan,North Central,Birch Hills,strong,1689,545,135,400,10,0,,,
Saskatchewan,North Central,Blaine Lake,moderate,790,175,75,55,55,0,,,
Saskatchewan,North Central,Candle Lake,strong,840,275,80,130,65,0,,,
Saskatchewan,North Central,Canwood,moderate,1713,465,45,335,85,0,,,
Saskatchewan,North Central,Chitek Lake,moderate,959,150,45,80,15,0,,,
Saskatchewan,North Central,Christopher Lake,strong,289,70,20,45,10,0,,,
Saskatchewan,North Central,Cudworth,moderate,814,225,75,80,70,0,,,
Saskatchewan,North Central,Debden,none,337,105,70,15,20,0,,,
Saskatchewan,North Central,Duck Lake,strong,1573,475,45,370,50,10,,,
Saskatchewan,North Central,Hague,strong,874,340,135,25,175,0,,,
Saskatchewan,North Central,Hepburn,strong,688,205,40,30,130,0,,,
Saskatchewan,North Central,Laird,moderate,1654,470,30,145,290,0,,,
Saskatchewan,North Central,Leask,moderate,399,85,50,25,10,0,,,
Saskatchewan,North Central,Marcelin,moderate,153,25,15,10,0,0,,,
Saskatchewan,North Central,Meath Park,ca (prince albert),175,65,0,70,0,0,,,
Saskatchewan,North Central,Paddockwood,ca (prince albert),1049,315,15,250,40,20,,,
Saskatchewan,North Central,Parkside,none,121,60,0,35,20,0,,,
Saskatchewan,North Central,Pebble Baye,none,45,,,,,,,,
Saskatchewan,North Central,Prince Albert,ca (prince albert),39644,14620,11940,1750,755,135,regional,1,
Saskatchewan,North Central,Rosthern,moderate,3988,1230,320,430,465,10,,1,
Saskatchewan,North Central,Shellbrook,moderate,3031,1085,390,275,415,0,,,
Saskatchewan,North Central,St. Louis,strong,1501,480,95,340,50,0,,,
Saskatchewan,North Central,Timber Bay,none,82,10,10,0,0,0,,,
Saskatchewan,North Central,Wakaw,moderate,922,270,165,50,50,0,,,
Saskatchewan,North Central,Wakaw Lake,none,72,35,0,25,10,0,,,
Saskatchewan,North Central,Waldheim,moderate,1213,350,160,25,160,0,,,
Saskatchewan,North Central,Waskesiu,none,,,,,,,,,
Saskatchewan,North Central,Weirdale,none,50,,,,,,,,
Saskatchewan,North East,Arborfield,none,655,190,65,120,0,0,,,
Saskatchewan,North East,Archerwill,moderate,166,55,25,30,0,0,,,
Saskatchewan,North East,Aylsham,none,65,10,0,0,0,0,,,
Saskatchewan,North East,Beatty,moderate,60,45,0,15,25,0,,,
Saskatchewan,North East,Bjorkdale,moderate,1052,340,35,280,25,0,,,
Saskatchewan,North East,Carrot River,none,1802,490,295,180,20,0,,,
