province,HA,CSD,SAC,population,commuting_population,commute_1,commute_2,commute_3,commute_4,airport,hospital,notes
Saskatchewan,South Central,Mankota,moderate,497,70,55,10,0,0,,,
Saskatchewan,South Central,Marquis,strong,394,135,10,115,10,0,,,
Saskatchewan,South Central,Moose Jaw,ca (moose jaw),35503,14060,11125,1085,1730,120,,,
Saskatchewan,South Central,Morse,moderate,290,100,0,100,0,0,,,
Saskatchewan,South Central,Mortlach,strong,261,75,20,50,0,0,,,
Saskatchewan,South Central,Mossbank,moderate,360,115,75,25,10,0,,,
Saskatchewan,South Central,Neville,strong,87,20,0,0,15,0,,,
Saskatchewan,South Central,Ponteix,moderate,563,170,120,15,30,10,,,
Saskatchewan,South Central,Rockglen,moderate,441,65,55,0,10,0,,,
Saskatchewan,South Central,Rouleau,moderate,540,205,70,125,15,0,,,
Saskatchewan,South Central,Rush Lake,none,53,15,10,10,0,0,,,
Saskatchewan,South Central,Shamrock,weak,225,45,0,30,10,0,,,
Saskatchewan,South Central,South Lake,none,169,75,0,50,25,0,,,
Saskatchewan,South Central,Sun Valley,none,118,55,0,50,10,0,,,
Saskatchewan,South Central,Tuxford,moderate,113,50,10,30,20,0,,,
Saskatchewan,South Central,Vanguard,weak,134,40,30,0,10,0,,,
Saskatchewan,South Central,Waldeck,strong,277,120,0,0,115,0,,,
Saskatchewan,South Central,Willow Bunch,weak,578,155,50,100,0,0,,,
Saskatchewan,South Central,Wood Mountain,none,40,,,,,,,,
Saskatchewan,South East ,Abernethy,moderate,566,200,15,140,40,0,,,
Saskatchewan,South East ,Alameda,none,369,115,60,55,0,0,,,
Saskatchewan,South East ,Alida,none,120,40,35,10,0,0,,,
Saskatchewan,South East ,Arcola,weak,657,285,190,91,10,0,,,
Saskatchewan,South East ,B-Say-Tah,moderate,156,40,0,35,0,0,,,
Saskatchewan,South East ,Balcarres,moderate,587,220,130,80,0,0,,,
Saskatchewan,South East ,Bengough,weak,603,135,60,35,35,0,,,
Saskatchewan,South East ,Bienfait,ca (estevan),762,290,30,255,10,0,,,
Saskatchewan,South East ,Broadview,none,552,170,145,30,0,0,,,
Saskatchewan,South East ,Carievale,moderate,240,110,25,75,10,10,,,
Saskatchewan,South East ,Carlyle,weak,1508,590,485,80,20,0,,,
Saskatchewan,South East ,Carnduff,weak,1099,325,225,85,0,10,,,
Saskatchewan,South East ,Ceylon,none,111,25,10,20,0,0,,,
Saskatchewan,South East ,Cowessess First Nation,moserate,540,115,65,40,10,0,,,
Saskatchewan,South East ,Creelman,none,113,50,15,20,15,0,,,
Saskatchewan,South East ,Dysart,none,200,55,10,40,0,0,,,
Saskatchewan,South East ,Estevan,none,12513,5765,4165,1425,140,45,,,
Saskatchewan,South East ,Fairlight,ca (estevan),40,,,,,,,,
Saskatchewan,South East ,Fillmore,moderate,534,125,30,70,30,0,,,
Saskatchewan,South East ,Fleming,none,84,25,10,0,0,10,,,
Saskatchewan,South East ,Forget,none,55,15,0,15,0,0,,,
Saskatchewan,South East ,Fort Qu'Appelle,moderate,2027,680,440,210,25,0,,,
Saskatchewan,South East ,Fort San,moderate,222,65,0,65,0,0,,,
Saskatchewan,South East ,Francis,strong,217,75,0,50,10,0,,,
Saskatchewan,South East ,Gainsborough,none,254,85,35,45,0,0,,,
Saskatchewan,South East ,Glen Ewan,none,154,55,20,35,0,0,,,
Saskatchewan,South East ,Glenavon,moderate,182,40,15,20,10,0,,,
Saskatchewan,South East ,Goodwater,none,30,,,,,,,,
Saskatchewan,South East ,Grenfell,weak,1099,315,230,65,15,0,,,
Saskatchewan,South East ,Halbrite,none,119,45,0,35,10,0,,,
Saskatchewan,South East ,Heward,none,44,,,,,,,,
Saskatchewan,South East ,Indian Head,moderate,2246,835,400,380,55,0,,,
Saskatchewan,South East ,Katepwa,moderate,312,80,10,70,10,0,,,
Saskatchewan,South East ,Kendal,none,83,40,0,40,0,0,,,
Saskatchewan,South East ,Kennedy,none,216,60,0,25,35,0,,,
Saskatchewan,South East ,Kenosee Lake,none,234,85,10,70,0,10,,,
Saskatchewan,South East ,Kipling,weak,1074,310,235,65,0,0,,,
Saskatchewan,South East ,Kisbey,none,153,75,25,40,0,0,,,
Saskatchewan,South East ,Lake Alma,strong,272,40,10,20,10,0,,,
Saskatchewan,South East ,Lampman,moderate,675,280,155,125,0,0,,,
Saskatchewan,South East ,Lang,none,189,40,0,20,25,0,,,
Saskatchewan,South East ,Lebret,moderate,216,80,10,70,0,0,,,
Saskatchewan,South East ,Lipton,moderate,726,205,50,150,0,0,,,
Saskatchewan,South East ,Macoun,strong,269,100,10,15,70,0,,,
Saskatchewan,South East ,Manor,none,295,70,15,60,0,10,,,
Saskatchewan,South East ,Maryfield,weak,1049,260,25,112,80,35,,,
Saskatchewan,South East ,McLean,strong,405,160,10,150,0,0,,,
Saskatchewan,South East ,McTaggart,strong,121,50,0,50,0,0,,,
Saskatchewan,South East ,Midale,moderate,604,190,60,55,75,0,,,
Saskatchewan,South East ,Minton,none,55,0,0,0,0,0,,,
Saskatchewan,South East ,Montmartre,strong,973,285,100,150,35,0,,,
Saskatchewan,South East ,Moosomin,ca (lloydminster),3937,1440,910,415,100,20,,,
Saskatchewan,South East ,Odessa,strong,205,85,25,60,0,0,,,
Saskatchewan,South East ,Ogema,moderate,403,170,110,40,15,0,,,
Saskatchewan,South East ,Osage,none,20,,,,,,,,
Saskatchewan,South East ,Oxbow,moderate,1328,470,340,120,0,10,,,
Saskatchewan,South East ,Pangman,moderate,232,50,30,20,0,0,,,
Saskatchewan,South East ,Qu'Appelle,strong,639,315,70,235,0,0,,,
Saskatchewan,South East ,Radville,moderate,807,235,160,65,10,0,,,
Saskatchewan,South East ,Redvers,none,1042,365,225,75,55,10,,,
Saskatchewan,South East ,Rocanville,weak,863,380,235,100,35,10,,,
Saskatchewan,South East ,Roche Percee,none,110,35,0,35,0,0,,,
Saskatchewan,South East ,Sedley,strong,358,145,30,105,0,0,,,
Saskatchewan,South East ,Sintaluta,moderate,119,60,15,30,10,0,,,
Saskatchewan,South East ,Storthoaks,none,390,120,20,90,0,0,,,
Saskatchewan,South East ,Stoughton,moderate,649,285,200,55,25,10,,,
Saskatchewan,South East ,Torquay,strong,255,80,40,10,35,0,,,
Saskatchewan,South East ,Tribune,none,45,,,,,,,,
Saskatchewan,South East ,Vibank,strong,385,190,30,145,20,0,,,
Saskatchewan,South East ,Wapella,none,326,130,45,75,10,0,,,
Saskatchewan,South East ,Wawota,none,543,150,80,60,10,0,,,
Saskatchewan,South East ,Welwyn,none,133,30,0,30,0,0,,,
Saskatchewan,South East ,Weyburn,ca (weyburn),11934,4425,3430,800,190,0,,1,
Saskatchewan,South East ,White Bear First Nation,weak,691,170,95,65,10,0,,,
Saskatchewan,South East ,Whitewood,weak,862,325,185,125,15,0,,,
Saskatchewan,South East ,Windthorst,none,211,75,25,35,10,0,,,
Saskatchewan,South East ,Wolseley,moderate,1226,385,165,140,70,10,,,
Saskatchewan,South East ,Yellow Grass,strong,478,175,30,135,0,0,,,
Saskatchewan,South West,Abbey,none,129,45,25,20,0,0,,,
Saskatchewan,South West,Bracken,none,20,,,,,,,,
Saskatchewan,South West,Burstall,moderate,378,100,55,15,0,25,,,
Saskatchewan,South West,Cabri,moderate,390,110,85,25,0,0,,,
Saskatchewan,South West,Carmichael,moderate,502,65,0,20,45,0,,,
Saskatchewan,South West,Climax,none,195,70,0,60,0,0,,,
Saskatchewan,South West,Consul,none,73,15,0,10,0,0,,,
Saskatchewan,South West,Eastend,weak,503,195,150,45,0,0,,,
Saskatchewan,South West,Fox Valley,moderate,249,70,30,10,15,15,,,
Saskatchewan,South West,Frontier,moderate,698,180,105,65,10,0,,,
Saskatchewan,South West,Golden Prairie,none,30,,,,,,,,
Saskatchewan,South West,Gull Lake,moderate,1247,410,245,125,30,10,,,
Saskatchewan,South West,Hazlet,moderate,106,20,10,15,0,0,,,
Saskatchewan,South West,Lancer,none,69,,,,,,,,
Saskatchewan,South West,Leader,moderate,863,300,245,20,20,25,,,
Saskatchewan,South West,Maple Creek,weak,2084,820,730,20,45,30,,,
Saskatchewan,South West,Mendham,none,30,,,,,,,,
Saskatchewan,South West,Nekaneet First Nation,none,182,45,0,40,0,0,,,
Saskatchewan,South West,Pennant,none,130,65,10,65,0,0,,,
Saskatchewan,South West,Prelate,none,154,30,0,20,0,10,,,
Saskatchewan,South West,Richmound,cma (saskatoon),147,40,10,15,0,10,,,
Saskatchewan,South West,Sceptre,none,94,10,10,0,0,0,,,
Saskatchewan,South West,Shaunavon,moderate,1714,620,535,40,35,10,,,
Saskatchewan,South West,Stewart Valley,none,91,55,20,30,0,0,,,
Saskatchewan,South West,Success,none,45,,,,,,,,
Saskatchewan,South West,Swift Current,ca (swift current),16604,7190,6370,630,170,25,,1,
Saskatchewan,South West,Tompkins,none,152,35,10,25,0,0,,,
Saskatchewan,South West,Val Marie,moderate,539,95,40,45,10,0,,,
Saskatchewan,South West,Webb,strong,591,75,0,60,10,0,,,
