Geo Code,Geo Name,Line Number
"6101010","Tsiigehtchic",2
"6101014","Paulatuk",2249
"6101015","Fort McPherson",4496
"6101017","Inuvik",6743
"6101025","Aklavik",8990
"6101036","Tuktoyaktuk",11237
"6101041","Sachs Harbour",13484
"6101063","Region 1, Unorganized",15731
"6101095","Ulukhaktok",17978
"6102003","Déline",20225
"6102005","Tulita",22472
"6102007","Norman Wells",24719
"6102009","Fort Good Hope",26966
"6102012","Colville Lake",29213
"6102063","Region 2, Unorganized",31460
"6103031","Behchokò",33707
"6103034","Whatì",35954
"6103049","Gamètì",38201
"6103052","Wekweètì",40448
"6103097","Region 3, Unorganized",42695
"6104005","Kakisa",44942
"6104006","Sambaa K'e",47189
"6104009","Fort Liard",49436
"6104010","Nahanni Butte",51683
"6104013","Jean Marie River",53930
"6104014","Fort Providence",56177
"6104017","Hay River Dene 1",58424
"6104038","Fort Simpson",60671
"6104044","Wrigley",62918
"6104097","Region 4, Unorganized",65165
"6105001","Fort Smith",67412
"6105003","Enterprise",69659
"6105004","Salt Plains 195",71906
"6105016","Hay River",74153
"6105018","Fort Resolution",76400
"6105020","Lutselk'e",78647
"6105026","Reliance",80894
"6105097","Region 5, Unorganized",83141
"6106021","Detah",85388
"6106023","Yellowknife",87635
"6106097","Region 6, Unorganized",89882
