Date,PHU ID,PHU name,Agegroup,At least one dose_cumulative,Second_dose_cumulative,fully_vaccinated_cumulative,Total population,Percent_at_least_one_dose,Percent_fully_vaccinated
2021-09-02,2234,HALDIMAND-NORFOLK,50-59yrs,12668,11882,,17361,0.7297,0.6844
2021-09-02,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",50-59yrs,22861,21411,,30845,0.7412,0.6941
2021-09-02,2236,HALTON REGION,50-59yrs,77888,74837,,85689,0.909,0.8734
2021-09-02,2238,HASTINGS & PRINCE EDWARD COUNTIES,50-59yrs,19834,18345,,26066,0.7609,0.7038
2021-09-02,5183,HURON PERTH,50-59yrs,15804,14988,,19413,0.8141,0.7721
2021-09-02,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",50-59yrs,24829,23375,,29814,0.8328,0.784
2021-09-02,2242,LAMBTON COUNTY,50-59yrs,13664,12917,,18136,0.7534,0.7122
2021-09-02,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",50-59yrs,23904,22732,,28235,0.8466,0.8051
2021-09-02,2244,MIDDLESEX-LONDON,50-59yrs,56392,52881,,66854,0.8435,0.791
2021-09-02,2246,NIAGARA REGION,50-59yrs,56590,52601,,70296,0.805,0.7483
2021-09-02,2247,NORTH BAY PARRY SOUND DISTRICT,50-59yrs,15709,14658,,20038,0.784,0.7315
2021-09-02,2249,NORTHWESTERN,50-59yrs,9471,8760,,11842,0.7998,0.7398
2021-09-02,2253,PEEL REGION,50-59yrs,184513,174162,,217659,0.8477,0.8002
2021-09-02,2255,PETERBOROUGH COUNTY-CITY,50-59yrs,15647,14663,,20821,0.7515,0.7042
2021-09-02,2256,PORCUPINE,50-59yrs,9886,9103,,11988,0.8247,0.7593
2021-09-02,2257,RENFREW COUNTY AND DISTRICT,50-59yrs,12166,11440,,15489,0.7855,0.7386
2021-09-02,2260,SIMCOE MUSKOKA DISTRICT,50-59yrs,72353,67834,,92219,0.7846,0.7356
2021-09-02,4913,SOUTHWESTERN,50-59yrs,24546,23125,,29933,0.82,0.7726
2021-09-02,2261,SUDBURY AND DISTRICT,50-59yrs,23676,22106,,28981,0.8169,0.7628
2021-09-02,2262,THUNDER BAY DISTRICT,50-59yrs,18310,17175,,20955,0.8738,0.8196
2021-09-02,2263,TIMISKAMING,50-59yrs,3710,3491,,4828,0.7684,0.723
2021-09-02,3895,TORONTO,50-59yrs,342531,323604,,394894,0.8674,0.8195
2021-09-02,9999,UNKNOWN,50-59yrs,760,293,,0,,
2021-09-02,2265,WATERLOO REGION,50-59yrs,66320,62940,,78016,0.8501,0.8068
2021-09-02,2266,WELLINGTON-DUFFERIN-GUELPH,50-59yrs,37777,36028,,44023,0.8581,0.8184
2021-09-02,2268,WINDSOR-ESSEX COUNTY,50-59yrs,49434,46304,,60800,0.8131,0.7616
2021-09-02,2270,YORK REGION,50-59yrs,155930,149077,,180487,0.8639,0.826
2021-09-02,2226,ALGOMA DISTRICT,60-69yrs,17542,16926,,18604,0.9429,0.9098
2021-09-02,2227,BRANT COUNTY,60-69yrs,18576,17937,,19812,0.9376,0.9054
2021-09-02,2240,CHATHAM-KENT,60-69yrs,14773,14259,,15770,0.9368,0.9042
2021-09-02,2237,CITY OF HAMILTON,60-69yrs,63983,61366,,72258,0.8855,0.8493
2021-09-02,2251,CITY OF OTTAWA,60-69yrs,111316,107769,,118913,0.9361,0.9063
2021-09-02,2230,DURHAM REGION,60-69yrs,76236,74012,,83972,0.9079,0.8814
2021-09-02,2258,EASTERN ONTARIO,60-69yrs,29973,28953,,31360,0.9558,0.9232
2021-09-02,2233,GREY BRUCE,60-69yrs,25726,25032,,27440,0.9375,0.9122
2021-09-02,2234,HALDIMAND-NORFOLK,60-69yrs,15771,15331,,18117,0.8705,0.8462
2021-09-02,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",60-69yrs,31490,30483,,32828,0.9592,0.9286
2021-09-02,2236,HALTON REGION,60-69yrs,58691,57132,,64619,0.9083,0.8841
2021-09-02,2238,HASTINGS & PRINCE EDWARD COUNTIES,60-69yrs,25378,24267,,26203,0.9685,0.9261
2021-09-02,5183,HURON PERTH,60-69yrs,20020,19472,,19835,1.009,0.9817
2021-09-02,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",60-69yrs,27753,26819,,28261,0.982,0.949
2021-09-02,2242,LAMBTON COUNTY,60-69yrs,17782,17282,,20502,0.8673,0.8429
2021-09-02,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",60-69yrs,29390,28574,,28428,1.034,1.005
2021-09-02,2244,MIDDLESEX-LONDON,60-69yrs,55735,53706,,60813,0.9165,0.8831
2021-09-02,2246,NIAGARA REGION,60-69yrs,61876,59408,,66878,0.9252,0.8883
2021-09-02,2247,NORTH BAY PARRY SOUND DISTRICT,60-69yrs,19417,18731,,20502,0.9471,0.9136
2021-09-02,2249,NORTHWESTERN,60-69yrs,10325,9787,,11530,0.8955,0.8488
2021-09-02,2253,PEEL REGION,60-69yrs,147361,141460,,167934,0.8775,0.8424
2021-09-02,2255,PETERBOROUGH COUNTY-CITY,60-69yrs,20934,20255,,22051,0.9493,0.9186
2021-09-02,2256,PORCUPINE,60-69yrs,10898,10365,,12077,0.9024,0.8582
2021-09-02,2257,RENFREW COUNTY AND DISTRICT,60-69yrs,15332,14854,,15644,0.9801,0.9495
2021-09-02,2260,SIMCOE MUSKOKA DISTRICT,60-69yrs,76118,73449,,79793,0.9539,0.9205
2021-09-02,4913,SOUTHWESTERN,60-69yrs,26062,25274,,27383,0.9518,0.923
2021-09-02,2261,SUDBURY AND DISTRICT,60-69yrs,26330,25427,,28512,0.9235,0.8918
2021-09-02,2262,THUNDER BAY DISTRICT,60-69yrs,20831,20044,,22248,0.9363,0.9009
2021-09-02,2263,TIMISKAMING,60-69yrs,4818,4646,,5410,0.8906,0.8588
2021-09-02,3895,TORONTO,60-69yrs,296342,283974,,327676,0.9044,0.8666
2021-09-02,9999,UNKNOWN,60-69yrs,694,247,,0,,
2021-09-02,2265,WATERLOO REGION,60-69yrs,57746,55758,,64550,0.8946,0.8638
2021-09-02,2266,WELLINGTON-DUFFERIN-GUELPH,60-69yrs,34766,33715,,37194,0.9347,0.9065
2021-09-02,2268,WINDSOR-ESSEX COUNTY,60-69yrs,49129,47346,,54082,0.9084,0.8754
2021-09-02,2270,YORK REGION,60-69yrs,126101,122133,,143847,0.8766,0.849
2021-09-02,2226,ALGOMA DISTRICT,70-79yrs,12756,12469,,12699,1.005,0.9819
2021-09-02,2227,BRANT COUNTY,70-79yrs,12819,12539,,12716,1.008,0.9861
2021-09-02,2240,CHATHAM-KENT,70-79yrs,10555,10334,,10558,0.9997,0.9788
2021-09-02,2237,CITY OF HAMILTON,70-79yrs,42748,41492,,45295,0.9438,0.916
2021-09-02,2251,CITY OF OTTAWA,70-79yrs,74179,72481,,75781,0.9789,0.9565
2021-09-02,2230,DURHAM REGION,70-79yrs,47678,46743,,50080,0.952,0.9334
2021-09-02,2258,EASTERN ONTARIO,70-79yrs,20499,20050,,20776,0.9867,0.9651
2021-09-02,2233,GREY BRUCE,70-79yrs,18812,18479,,19403,0.9695,0.9524
2021-09-02,2234,HALDIMAND-NORFOLK,70-79yrs,11411,11196,,11809,0.9663,0.9481
2021-09-02,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",70-79yrs,23859,23335,,24747,0.9641,0.9429
2021-09-02,2236,HALTON REGION,70-79yrs,41755,40948,,43839,0.9525,0.9341
2021-09-02,2238,HASTINGS & PRINCE EDWARD COUNTIES,70-79yrs,18418,17944,,18608,0.9898,0.9643
2021-09-02,5183,HURON PERTH,70-79yrs,14875,14619,,13697,1.086,1.067
2021-09-02,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",70-79yrs,19943,19559,,19981,0.9981,0.9789
2021-09-02,2242,LAMBTON COUNTY,70-79yrs,12955,12735,,13758,0.9416,0.9256
2021-09-02,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",70-79yrs,21448,21106,,20048,1.07,1.053
2021-09-02,2244,MIDDLESEX-LONDON,70-79yrs,38403,37522,,40094,0.9578,0.9359
2021-09-02,2246,NIAGARA REGION,70-79yrs,46442,45273,,48175,0.964,0.9398
2021-09-02,2247,NORTH BAY PARRY SOUND DISTRICT,70-79yrs,13533,13236,,14235,0.9507,0.9298
2021-09-02,2249,NORTHWESTERN,70-79yrs,6164,5942,,6718,0.9176,0.8845
2021-09-02,2253,PEEL REGION,70-79yrs,89710,87066,,102369,0.8763,0.8505
2021-09-02,2255,PETERBOROUGH COUNTY-CITY,70-79yrs,15948,15681,,15695,1.016,0.9991
2021-09-02,2256,PORCUPINE,70-79yrs,6647,6419,,6754,0.9841,0.9503
2021-09-02,2257,RENFREW COUNTY AND DISTRICT,70-79yrs,10763,10534,,10814,0.9953,0.9741
2021-09-02,2260,SIMCOE MUSKOKA DISTRICT,70-79yrs,52327,51221,,54104,0.9672,0.9467
2021-09-02,4913,SOUTHWESTERN,70-79yrs,18860,18484,,18637,1.012,0.9918
2021-09-02,2261,SUDBURY AND DISTRICT,70-79yrs,18026,17608,,18552,0.9716,0.9491
2021-09-02,2262,THUNDER BAY DISTRICT,70-79yrs,13646,13356,,13660,0.999,0.9778
2021-09-02,2263,TIMISKAMING,70-79yrs,3409,3338,,3541,0.9628,0.9427
2021-09-02,3895,TORONTO,70-79yrs,189380,183430,,202795,0.9338,0.9045
2021-09-02,9999,UNKNOWN,70-79yrs,276,151,,0,,
2021-09-02,2265,WATERLOO REGION,70-79yrs,38220,37357,,40380,0.9465,0.9251
2021-09-02,2266,WELLINGTON-DUFFERIN-GUELPH,70-79yrs,23003,22601,,23504,0.9787,0.9616
2021-09-02,2268,WINDSOR-ESSEX COUNTY,70-79yrs,34075,33187,,35970,0.9473,0.9226
2021-09-02,2270,YORK REGION,70-79yrs,82263,80225,,90111,0.9129,0.8903
2021-09-02,2226,ALGOMA DISTRICT,80+,7632,7421,,7929,0.9625,0.9359
2021-09-02,2227,BRANT COUNTY,80+,7260,7039,,7044,1.031,0.9993
2021-09-02,2240,CHATHAM-KENT,80+,6250,6079,,6269,0.997,0.9697
2021-09-02,2237,CITY OF HAMILTON,80+,27655,26660,,28319,0.9766,0.9414
2021-09-02,2251,CITY OF OTTAWA,80+,43791,42531,,42388,1.033,1.003
2021-09-02,2230,DURHAM REGION,80+,27105,26315,,26420,1.026,0.996
2021-09-02,2258,EASTERN ONTARIO,80+,11044,10680,,11219,0.9844,0.952
2021-09-02,2233,GREY BRUCE,80+,10290,9976,,11147,0.9231,0.8949
2021-09-02,2234,HALDIMAND-NORFOLK,80+,6002,5847,,6382,0.9405,0.9162
2021-09-02,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",80+,13198,12808,,14112,0.9352,0.9076
2021-09-02,2236,HALTON REGION,80+,27013,26362,,25542,1.058,1.032
2021-09-02,2238,HASTINGS & PRINCE EDWARD COUNTIES,80+,10337,10009,,10614,0.9739,0.943
2021-09-02,5183,HURON PERTH,80+,8856,8692,,8279,1.07,1.05
2021-09-02,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",80+,11474,11186,,11314,1.014,0.9887
2021-09-02,2242,LAMBTON COUNTY,80+,7360,7188,,8068,0.9122,0.8909
2021-09-02,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",80+,11267,10970,,10669,1.056,1.028
2021-09-02,2244,MIDDLESEX-LONDON,80+,23652,22879,,23219,1.019,0.9854
2021-09-02,2246,NIAGARA REGION,80+,28657,27727,,29120,0.9841,0.9522
2021-09-02,2247,NORTH BAY PARRY SOUND DISTRICT,80+,7873,7655,,7885,0.9985,0.9709
2021-09-02,2249,NORTHWESTERN,80+,3221,3073,,3618,0.8902,0.8493
2021-09-02,2253,PEEL REGION,80+,47909,46072,,50535,0.948,0.9117
2021-09-02,2255,PETERBOROUGH COUNTY-CITY,80+,9305,9110,,9476,0.982,0.9614
2021-09-02,2256,PORCUPINE,80+,3705,3549,,3632,1.02,0.9773
2021-09-02,2257,RENFREW COUNTY AND DISTRICT,80+,6121,5964,,6453,0.9486,0.9242
2021-09-02,2260,SIMCOE MUSKOKA DISTRICT,80+,30109,29261,,30142,0.9989,0.9708
2021-09-02,4913,SOUTHWESTERN,80+,10477,10223,,10908,0.9605,0.9372
2021-09-02,2261,SUDBURY AND DISTRICT,80+,10512,10211,,10028,1.048,1.018
2021-09-02,2262,THUNDER BAY DISTRICT,80+,8033,7775,,7894,1.018,0.985
2021-09-02,2263,TIMISKAMING,80+,1939,1873,,1974,0.9824,0.9489
2021-09-02,3895,TORONTO,80+,129152,124244,,144579,0.8933,0.8594
2021-09-02,9999,UNKNOWN,80+,63,42,,0,,
2021-09-02,2265,WATERLOO REGION,80+,22852,22217,,22488,1.016,0.9879
2021-09-02,2266,WELLINGTON-DUFFERIN-GUELPH,80+,13922,13539,,12749,1.092,1.062
2021-09-02,2268,WINDSOR-ESSEX COUNTY,80+,19913,19254,,20462,0.9732,0.941
2021-09-02,2270,YORK REGION,80+,47964,46410,,48390,0.9912,0.9591
2021-09-02,2226,ALGOMA DISTRICT,Adults_18plus,81024,75040,,94913,0.8537,0.7906
2021-09-02,2227,BRANT COUNTY,Adults_18plus,104309,97077,,123546,0.8443,0.7858
2021-09-02,2240,CHATHAM-KENT,Adults_18plus,69210,63829,,85975,0.805,0.7424
2021-09-02,2237,CITY OF HAMILTON,Adults_18plus,388694,356340,,482542,0.8055,0.7385
2021-09-02,2251,CITY OF OTTAWA,Adults_18plus,738718,688653,,856529,0.8625,0.804
2021-09-02,2230,DURHAM REGION,Adults_18plus,483749,455337,,566267,0.8543,0.8041
2021-09-02,2258,EASTERN ONTARIO,Adults_18plus,144075,133598,,169549,0.8498,0.788
2021-09-02,2233,GREY BRUCE,Adults_18plus,115515,108641,,138881,0.8318,0.7823
2021-09-02,2234,HALDIMAND-NORFOLK,Adults_18plus,72756,67434,,93135,0.7812,0.724
2021-09-02,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",Adults_18plus,136707,127345,,160405,0.8523,0.7939
2021-09-02,2236,HALTON REGION,Adults_18plus,419102,397778,,484194,0.8656,0.8215
2021-09-02,2238,HASTINGS & PRINCE EDWARD COUNTIES,Adults_18plus,114482,104412,,139653,0.8198,0.7477
2021-09-02,5183,HURON PERTH,Adults_18plus,97264,91036,,111054,0.8758,0.8197
2021-09-02,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",Adults_18plus,149960,139167,,177763,0.8436,0.7829
2021-09-02,2242,LAMBTON COUNTY,Adults_18plus,85236,79609,,107228,0.7949,0.7424
2021-09-02,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",Adults_18plus,134319,126254,,143884,0.9335,0.8775
2021-09-02,2244,MIDDLESEX-LONDON,Adults_18plus,352533,323660,,412459,0.8547,0.7847
2021-09-02,2246,NIAGARA REGION,Adults_18plus,330790,302663,,391329,0.8453,0.7734
2021-09-02,2247,NORTH BAY PARRY SOUND DISTRICT,Adults_18plus,89097,82274,,108600,0.8204,0.7576
2021-09-02,2249,NORTHWESTERN,Adults_18plus,56335,50946,,67354,0.8364,0.7564
2021-09-02,2253,PEEL REGION,Adults_18plus,1070902,967142,,1273929,0.8406,0.7592
2021-09-02,2255,PETERBOROUGH COUNTY-CITY,Adults_18plus,103066,95642,,122992,0.838,0.7776
2021-09-02,2256,PORCUPINE,Adults_18plus,54318,48698,,66273,0.8196,0.7348
2021-09-02,2257,RENFREW COUNTY AND DISTRICT,Adults_18plus,70418,65588,,88601,0.7948,0.7403
2021-09-02,2260,SIMCOE MUSKOKA DISTRICT,Adults_18plus,407749,375392,,490888,0.8306,0.7647
2021-09-02,4913,SOUTHWESTERN,Adults_18plus,139961,129874,,166876,0.8387,0.7783
2021-09-02,2261,SUDBURY AND DISTRICT,Adults_18plus,134532,123647,,163770,0.8215,0.755
2021-09-02,2262,THUNDER BAY DISTRICT,Adults_18plus,109186,100632,,122742,0.8896,0.8199
2021-09-02,2263,TIMISKAMING,Adults_18plus,21841,20223,,26908,0.8117,0.7516
2021-09-02,3895,TORONTO,Adults_18plus,2122952,1971116,,2607776,0.8141,0.7559
2021-09-02,9999,UNKNOWN,Adults_18plus,6502,1854,,0,,
2021-09-02,2265,WATERLOO REGION,Adults_18plus,407839,378113,,466255,0.8747,0.811
2021-09-02,2266,WELLINGTON-DUFFERIN-GUELPH,Adults_18plus,212385,199236,,248856,0.8534,0.8006
2021-09-02,2268,WINDSOR-ESSEX COUNTY,Adults_18plus,283361,260170,,343007,0.8261,0.7585
2021-09-02,2270,YORK REGION,Adults_18plus,816578,770444,,979192,0.8339,0.7868
2021-09-02,2226,ALGOMA DISTRICT,Ontario_12plus,85646,78845,,101417,0.8445,0.7774
2021-09-02,2227,BRANT COUNTY,Ontario_12plus,111651,103330,,134281,0.8315,0.7695
2021-09-02,2240,CHATHAM-KENT,Ontario_12plus,73253,67053,,93208,0.7859,0.7194
2021-09-02,2237,CITY OF HAMILTON,Ontario_12plus,415046,377511,,519560,0.7988,0.7266
2021-09-02,2251,CITY OF OTTAWA,Ontario_12plus,797066,737994,,922751,0.8638,0.7998
2021-09-02,2230,DURHAM REGION,Ontario_12plus,523328,489965,,617305,0.8478,0.7937
2021-09-02,2258,EASTERN ONTARIO,Ontario_12plus,153538,141437,,182972,0.8391,0.773
2021-09-02,2233,GREY BRUCE,Ontario_12plus,121967,113968,,149060,0.8182,0.7646
2021-09-02,2234,HALDIMAND-NORFOLK,Ontario_12plus,76510,70483,,100272,0.763,0.7029
2021-09-02,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",Ontario_12plus,143659,133041,,170498,0.8426,0.7803
2021-09-02,2236,HALTON REGION,Ontario_12plus,461298,435176,,533442,0.8648,0.8158
2021-09-02,2238,HASTINGS & PRINCE EDWARD COUNTIES,Ontario_12plus,121361,109897,,149606,0.8112,0.7346
2021-09-02,5183,HURON PERTH,Ontario_12plus,103598,96279,,120844,0.8573,0.7967
2021-09-02,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",Ontario_12plus,159753,147593,,189566,0.8427,0.7786
2021-09-02,2242,LAMBTON COUNTY,Ontario_12plus,90410,84011,,115508,0.7827,0.7273
2021-09-02,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",Ontario_12plus,142339,133183,,154361,0.9221,0.8628
2021-09-02,2244,MIDDLESEX-LONDON,Ontario_12plus,378414,345721,,444194,0.8519,0.7783
2021-09-02,2246,NIAGARA REGION,Ontario_12plus,350700,318661,,419682,0.8356,0.7593
2021-09-02,2247,NORTH BAY PARRY SOUND DISTRICT,Ontario_12plus,94046,86310,,115844,0.8118,0.7451
2021-09-02,2249,NORTHWESTERN,Ontario_12plus,61005,54513,,74025,0.8241,0.7364
2021-09-02,2253,PEEL REGION,Ontario_12plus,1155005,1037461,,1392903,0.8292,0.7448
2021-09-02,2255,PETERBOROUGH COUNTY-CITY,Ontario_12plus,108876,100416,,131033,0.8309,0.7663
2021-09-02,2256,PORCUPINE,Ontario_12plus,58201,51746,,72027,0.808,0.7184
2021-09-02,2257,RENFREW COUNTY AND DISTRICT,Ontario_12plus,74801,69226,,94931,0.788,0.7292
2021-09-02,2260,SIMCOE MUSKOKA DISTRICT,Ontario_12plus,435087,397709,,528502,0.8232,0.7525
2021-09-02,4913,SOUTHWESTERN,Ontario_12plus,149850,138342,,182213,0.8224,0.7592
2021-09-02,2261,SUDBURY AND DISTRICT,Ontario_12plus,143146,130791,,175659,0.8149,0.7446
2021-09-02,2262,THUNDER BAY DISTRICT,Ontario_12plus,115927,106190,,131784,0.8797,0.8058
2021-09-02,2263,TIMISKAMING,Ontario_12plus,23090,21224,,28805,0.8016,0.7368
2021-09-02,3895,TORONTO,Ontario_12plus,2247236,2076487,,2770322,0.8112,0.7495
2021-09-02,9999,UNKNOWN,Ontario_12plus,6887,1923,,0,,
2021-09-02,2265,WATERLOO REGION,Ontario_12plus,439110,404904,,506304,0.8673,0.7997
2021-09-02,2266,WELLINGTON-DUFFERIN-GUELPH,Ontario_12plus,228466,213173,,270024,0.8461,0.7895
2021-09-02,2268,WINDSOR-ESSEX COUNTY,Ontario_12plus,303342,276278,,372777,0.8137,0.7411
2021-09-02,2270,YORK REGION,Ontario_12plus,887042,830320,,1069165,0.8297,0.7766
2021-09-02,2226,ALGOMA DISTRICT,Undisclosed_or_missing,6,,,0,,
2021-09-02,2227,BRANT COUNTY,Undisclosed_or_missing,3,2,,0,,
2021-09-02,2240,CHATHAM-KENT,Undisclosed_or_missing,4,,,0,,
2021-09-02,2237,CITY OF HAMILTON,Undisclosed_or_missing,34,8,,0,,
2021-09-02,2251,CITY OF OTTAWA,Undisclosed_or_missing,2633,2462,,0,,
2021-09-02,2230,DURHAM REGION,Undisclosed_or_missing,25,8,,0,,
2021-09-02,2258,EASTERN ONTARIO,Undisclosed_or_missing,11,1,,0,,
2021-09-02,2233,GREY BRUCE,Undisclosed_or_missing,10,5,,0,,
2021-09-02,2234,HALDIMAND-NORFOLK,Undisclosed_or_missing,3,2,,0,,
2021-09-02,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",Undisclosed_or_missing,10,,,0,,
2021-09-02,2236,HALTON REGION,Undisclosed_or_missing,21,4,,0,,
2021-09-02,2238,HASTINGS & PRINCE EDWARD COUNTIES,Undisclosed_or_missing,10,2,,0,,
2021-09-02,5183,HURON PERTH,Undisclosed_or_missing,4,,,0,,
2021-09-02,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",Undisclosed_or_missing,11,,,0,,
2021-09-02,2242,LAMBTON COUNTY,Undisclosed_or_missing,2,,,0,,
2021-09-02,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",Undisclosed_or_missing,5,2,,0,,
2021-09-02,2244,MIDDLESEX-LONDON,Undisclosed_or_missing,17,5,,0,,
2021-09-02,2246,NIAGARA REGION,Undisclosed_or_missing,20,3,,0,,
2021-09-02,2247,NORTH BAY PARRY SOUND DISTRICT,Undisclosed_or_missing,6,1,,0,,
2021-09-02,2249,NORTHWESTERN,Undisclosed_or_missing,7,4,,0,,
2021-09-02,2253,PEEL REGION,Undisclosed_or_missing,103,19,,0,,
2021-09-02,2255,PETERBOROUGH COUNTY-CITY,Undisclosed_or_missing,12,6,,0,,
2021-09-02,2256,PORCUPINE,Undisclosed_or_missing,7,2,,0,,
2021-09-02,2257,RENFREW COUNTY AND DISTRICT,Undisclosed_or_missing,6,1,,0,,
2021-09-02,2260,SIMCOE MUSKOKA DISTRICT,Undisclosed_or_missing,20,,,0,,
2021-09-02,4913,SOUTHWESTERN,Undisclosed_or_missing,2,,,0,,
2021-09-02,2261,SUDBURY AND DISTRICT,Undisclosed_or_missing,6,1,,0,,
2021-09-02,2262,THUNDER BAY DISTRICT,Undisclosed_or_missing,15,3,,0,,
2021-09-02,2263,TIMISKAMING,Undisclosed_or_missing,1,,,0,,
2021-09-02,3895,TORONTO,Undisclosed_or_missing,238,70,,0,,
2021-09-02,9999,UNKNOWN,Undisclosed_or_missing,24,7,,0,,
2021-09-02,2265,WATERLOO REGION,Undisclosed_or_missing,24,4,,0,,
2021-09-02,2266,WELLINGTON-DUFFERIN-GUELPH,Undisclosed_or_missing,11,2,,0,,
2021-09-02,2268,WINDSOR-ESSEX COUNTY,Undisclosed_or_missing,19,4,,0,,
2021-09-02,2270,YORK REGION,Undisclosed_or_missing,29,7,,0,,
2021-09-03,2226,ALGOMA DISTRICT,12-17yrs,4642,3824,,6504,0.7137,0.5879
2021-09-03,2227,BRANT COUNTY,12-17yrs,7363,6275,,10734,0.6859,0.5846
2021-09-03,2240,CHATHAM-KENT,12-17yrs,4075,3260,,7233,0.5634,0.4507
2021-09-03,2237,CITY OF HAMILTON,12-17yrs,26478,21305,,37018,0.7153,0.5755
2021-09-03,2251,CITY OF OTTAWA,12-17yrs,58591,49602,,66222,0.8848,0.749
2021-09-03,2230,DURHAM REGION,12-17yrs,39759,34810,,51038,0.779,0.682
2021-09-03,2258,EASTERN ONTARIO,12-17yrs,9505,7890,,13423,0.7081,0.5878
2021-09-03,2233,GREY BRUCE,12-17yrs,6481,5390,,10179,0.6367,0.5295
2021-09-03,2234,HALDIMAND-NORFOLK,12-17yrs,3812,3084,,7138,0.5341,0.4321
2021-09-03,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",12-17yrs,6993,5745,,10093,0.6929,0.5692
2021-09-03,2236,HALTON REGION,12-17yrs,42353,37520,,49248,0.86,0.7619
2021-09-03,2238,HASTINGS & PRINCE EDWARD COUNTIES,12-17yrs,6951,5558,,9953,0.6984,0.5584
2021-09-03,5183,HURON PERTH,12-17yrs,6395,5285,,9790,0.6532,0.5398
2021-09-03,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",12-17yrs,9848,8494,,11803,0.8344,0.7196
2021-09-03,2242,LAMBTON COUNTY,12-17yrs,5253,4502,,8280,0.6344,0.5437
2021-09-03,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",12-17yrs,8052,6948,,10477,0.7685,0.6632
2021-09-03,2244,MIDDLESEX-LONDON,12-17yrs,26054,22243,,31735,0.821,0.7009
2021-09-03,2246,NIAGARA REGION,12-17yrs,20095,16190,,28353,0.7087,0.571
2021-09-03,2247,NORTH BAY PARRY SOUND DISTRICT,12-17yrs,4979,4091,,7244,0.6873,0.5647
2021-09-03,2249,NORTHWESTERN,12-17yrs,4682,3590,,6670,0.7019,0.5382
2021-09-03,2253,PEEL REGION,12-17yrs,84431,70767,,118974,0.7097,0.5948
2021-09-03,2255,PETERBOROUGH COUNTY-CITY,12-17yrs,5861,4816,,8041,0.7289,0.5989
2021-09-03,2256,PORCUPINE,12-17yrs,3897,3064,,5754,0.6773,0.5325
2021-09-03,2257,RENFREW COUNTY AND DISTRICT,12-17yrs,4403,3654,,6329,0.6957,0.5773
2021-09-03,2260,SIMCOE MUSKOKA DISTRICT,12-17yrs,27490,22471,,37614,0.7308,0.5974
2021-09-03,4913,SOUTHWESTERN,12-17yrs,9974,8547,,15337,0.6503,0.5573
2021-09-03,2261,SUDBURY AND DISTRICT,12-17yrs,8660,7181,,11889,0.7284,0.604
2021-09-03,2262,THUNDER BAY DISTRICT,12-17yrs,6780,5612,,9043,0.7498,0.6206
2021-09-03,2263,TIMISKAMING,12-17yrs,1251,1001,,1897,0.6594,0.5277
2021-09-03,3895,TORONTO,12-17yrs,124820,105946,,162546,0.7679,0.6518
2021-09-03,9999,UNKNOWN,12-17yrs,390,70,,0,,
2021-09-03,2265,WATERLOO REGION,12-17yrs,31395,26920,,40049,0.7839,0.6722
2021-09-03,2266,WELLINGTON-DUFFERIN-GUELPH,12-17yrs,16201,14040,,21168,0.7654,0.6633
2021-09-03,2268,WINDSOR-ESSEX COUNTY,12-17yrs,20150,16261,,29770,0.6769,0.5462
2021-09-03,2270,YORK REGION,12-17yrs,70740,60177,,89973,0.7862,0.6688
2021-09-03,2226,ALGOMA DISTRICT,18-29yrs,10810,8933,,15509,0.697,0.576
2021-09-03,2227,BRANT COUNTY,18-29yrs,16855,14571,,24059,0.7006,0.6056
2021-09-03,2240,CHATHAM-KENT,18-29yrs,9057,7524,,14984,0.6044,0.5021
2021-09-03,2237,CITY OF HAMILTON,18-29yrs,69769,58863,,100237,0.696,0.5872
2021-09-03,2251,CITY OF OTTAWA,18-29yrs,141438,123217,,186587,0.758,0.6604
2021-09-03,2230,DURHAM REGION,18-29yrs,85133,76269,,114063,0.7464,0.6687
2021-09-03,2258,EASTERN ONTARIO,18-29yrs,18711,15637,,27830,0.6723,0.5619
2021-09-03,2233,GREY BRUCE,18-29yrs,14023,12067,,22126,0.6338,0.5454
