Date,PHU ID,PHU name,Agegroup,At least one dose_cumulative,Second_dose_cumulative,fully_vaccinated_cumulative,Total population,Percent_at_least_one_dose,Percent_fully_vaccinated
2021-07-27,2247,NORTH BAY PARRY SOUND DISTRICT,50-59yrs,14951,12861,,20038,0.7461,0.6418
2021-07-27,2249,NORTHWESTERN,50-59yrs,9176,8158,,11842,0.7749,0.6889
2021-07-27,2253,PEEL REGION,50-59yrs,180492,158374,,217659,0.8292,0.7276
2021-07-27,2255,PETERBOROUGH COUNTY-CITY,50-59yrs,15171,13079,,20821,0.7286,0.6282
2021-07-27,2256,PORCUPINE,50-59yrs,9575,8426,,11988,0.7987,0.7029
2021-07-27,2257,RENFREW COUNTY AND DISTRICT,50-59yrs,11874,10519,,15489,0.7666,0.6791
2021-07-27,2260,SIMCOE MUSKOKA DISTRICT,50-59yrs,70017,57091,,92219,0.7592,0.6191
2021-07-27,4913,SOUTHWESTERN,50-59yrs,23773,19312,,29933,0.7942,0.6452
2021-07-27,2261,SUDBURY AND DISTRICT,50-59yrs,22927,19653,,28981,0.7911,0.6781
2021-07-27,2262,THUNDER BAY DISTRICT,50-59yrs,17889,15686,,20955,0.8537,0.7486
2021-07-27,2263,TIMISKAMING,50-59yrs,3622,3169,,4828,0.7501,0.6563
2021-07-27,3895,TORONTO,50-59yrs,333180,295781,,394894,0.8437,0.749
2021-07-27,9999,UNKNOWN,50-59yrs,515,126,,0,,
2021-07-27,2265,WATERLOO REGION,50-59yrs,64166,54914,,78016,0.8225,0.7039
2021-07-27,2266,WELLINGTON-DUFFERIN-GUELPH,50-59yrs,36928,31952,,44023,0.8388,0.7258
2021-07-27,2268,WINDSOR-ESSEX COUNTY,50-59yrs,47755,42254,,60800,0.7854,0.695
2021-07-27,2270,YORK REGION,50-59yrs,152760,136583,,180487,0.8464,0.7567
2021-07-27,2226,ALGOMA DISTRICT,60-69yrs,17240,15203,,18604,0.9267,0.8172
2021-07-27,2227,BRANT COUNTY,60-69yrs,18321,16473,,19812,0.9247,0.8315
2021-07-27,2240,CHATHAM-KENT,60-69yrs,14520,13439,,15770,0.9207,0.8522
2021-07-27,2237,CITY OF HAMILTON,60-69yrs,62729,56240,,72258,0.8681,0.7783
2021-07-27,2251,CITY OF OTTAWA,60-69yrs,110390,101460,,118913,0.9283,0.8532
2021-07-27,2230,DURHAM REGION,60-69yrs,74998,67648,,83972,0.8931,0.8056
2021-07-27,2258,EASTERN ONTARIO,60-69yrs,29226,25230,,31360,0.932,0.8045
2021-07-27,2233,GREY BRUCE,60-69yrs,25418,23901,,27440,0.9263,0.871
2021-07-27,2234,HALDIMAND-NORFOLK,60-69yrs,15564,14553,,18117,0.8591,0.8033
2021-07-27,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",60-69yrs,30935,27710,,32828,0.9423,0.8441
2021-07-27,2236,HALTON REGION,60-69yrs,57819,50591,,64619,0.8948,0.7829
2021-07-27,2238,HASTINGS & PRINCE EDWARD COUNTIES,60-69yrs,24514,21242,,26203,0.9355,0.8107
2021-07-27,5183,HURON PERTH,60-69yrs,19763,18040,,19835,0.9964,0.9095
2021-07-27,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",60-69yrs,28378,26249,,28261,1.004,0.9288
2021-07-27,2242,LAMBTON COUNTY,60-69yrs,17487,16003,,20502,0.8529,0.7806
2021-07-27,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",60-69yrs,28340,25520,,28428,0.9969,0.8977
2021-07-27,2244,MIDDLESEX-LONDON,60-69yrs,54922,48937,,60813,0.9031,0.8047
2021-07-27,2246,NIAGARA REGION,60-69yrs,60835,54423,,66878,0.9096,0.8138
2021-07-27,2247,NORTH BAY PARRY SOUND DISTRICT,60-69yrs,18799,17170,,20502,0.9169,0.8375
2021-07-27,2249,NORTHWESTERN,60-69yrs,10106,9369,,11530,0.8765,0.8126
2021-07-27,2253,PEEL REGION,60-69yrs,145058,130915,,167934,0.8638,0.7796
2021-07-27,2255,PETERBOROUGH COUNTY-CITY,60-69yrs,20610,18971,,22051,0.9347,0.8603
