Date,Agegroup,Percent_at_least_one_dose
2021-01-03,40-49yrs,0.004
2021-01-03,50-59yrs,0.005
2021-01-03,60-69yrs,0.003
2021-01-03,70-79yrs,0.001
2021-01-03,80+,0.003
2021-01-03,Ontario_12plus,0.003
2021-01-04,12-17yrs,0
2021-01-04,18-29yrs,0.002
2021-01-04,30-39yrs,0.004
2021-01-04,40-49yrs,0.005
2021-01-04,50-59yrs,0.005
2021-01-04,60-69yrs,0.004
2021-01-04,70-79yrs,0.001
2021-01-04,80+,0.003
2021-01-04,Ontario_12plus,0.0035
2021-01-05,12-17yrs,0
2021-01-05,18-29yrs,0.003
2021-01-05,30-39yrs,0.005
2021-01-05,40-49yrs,0.006
2021-01-05,50-59yrs,0.006
2021-01-05,60-69yrs,0.004
2021-01-05,70-79yrs,0.002
2021-01-05,80+,0.004
2021-01-05,Ontario_12plus,0.0042
2021-01-06,12-17yrs,0
2021-01-06,18-29yrs,0.004
2021-01-06,30-39yrs,0.006
2021-01-06,40-49yrs,0.007
2021-01-06,50-59yrs,0.007
2021-01-06,60-69yrs,0.005
2021-01-06,70-79yrs,0.002
2021-01-06,80+,0.006
2021-01-06,Ontario_12plus,0.0051
2021-01-07,12-17yrs,0
2021-01-07,18-29yrs,0.004
2021-01-07,30-39yrs,0.007
2021-01-07,40-49yrs,0.009
2021-01-07,50-59yrs,0.009
2021-01-07,60-69yrs,0.006
2021-01-07,70-79yrs,0.003
2021-01-07,80+,0.011
2021-01-07,Ontario_12plus,0.0062
2021-01-08,12-17yrs,0
2021-01-08,18-29yrs,0.005
2021-01-08,30-39yrs,0.008
2021-01-08,40-49yrs,0.01
2021-01-08,50-59yrs,0.01
2021-01-08,60-69yrs,0.007
2021-01-08,70-79yrs,0.004
2021-01-08,80+,0.014
2021-01-08,Ontario_12plus,0.0075
2021-01-09,12-17yrs,0
2021-01-09,18-29yrs,0.006
2021-01-09,30-39yrs,0.01
2021-01-09,40-49yrs,0.012
2021-01-09,50-59yrs,0.012
2021-01-09,60-69yrs,0.009
2021-01-09,70-79yrs,0.005
2021-01-09,80+,0.019
