province,date,HA,cases
Newfoundland and Labrador,0006-03-20,Central,0
Newfoundland and Labrador,0007-03-20,Central,0
Newfoundland and Labrador,0008-03-20,Central,0
Newfoundland and Labrador,0009-03-20,Central,0
Newfoundland and Labrador,0010-03-20,Central,0
Newfoundland and Labrador,0011-03-20,Central,0
Newfoundland and Labrador,0012-03-20,Central,0
Newfoundland and Labrador,0013-03-20,Central,0
Newfoundland and Labrador,0014-03-20,Central,0
Newfoundland and Labrador,0015-03-20,Central,0
Newfoundland and Labrador,0016-03-20,Central,0
Newfoundland and Labrador,0017-03-20,Central,0
Newfoundland and Labrador,0018-03-20,Central,0
Newfoundland and Labrador,0019-03-20,Central,0
Newfoundland and Labrador,0020-03-20,Central,0
Newfoundland and Labrador,0021-03-20,Central,1
Newfoundland and Labrador,0022-03-20,Central,0
Newfoundland and Labrador,0023-03-20,Central,1
Newfoundland and Labrador,0024-03-20,Central,0
Newfoundland and Labrador,0025-03-20,Central,0
Newfoundland and Labrador,0026-03-20,Central,0
Newfoundland and Labrador,0027-03-20,Central,0
Newfoundland and Labrador,0028-03-20,Central,1
Newfoundland and Labrador,0029-03-20,Central,0
Newfoundland and Labrador,0030-03-20,Central,0
Newfoundland and Labrador,0031-03-20,Central,0
Newfoundland and Labrador,0001-04-20,Central,0
Newfoundland and Labrador,0002-04-20,Central,0
Newfoundland and Labrador,0003-04-20,Central,0
Newfoundland and Labrador,0004-04-20,Central,0
Newfoundland and Labrador,0005-04-20,Central,0
Newfoundland and Labrador,0006-04-20,Central,0
Newfoundland and Labrador,0007-04-20,Central,1
Newfoundland and Labrador,0008-04-20,Central,2
Newfoundland and Labrador,0009-04-20,Central,2
Newfoundland and Labrador,0010-04-20,Central,0
Newfoundland and Labrador,0011-04-20,Central,0
Newfoundland and Labrador,0012-04-20,Central,0
Newfoundland and Labrador,0013-04-20,Central,0
Newfoundland and Labrador,0014-04-20,Central,0
Newfoundland and Labrador,0015-04-20,Central,0
Newfoundland and Labrador,0016-04-20,Central,0
Newfoundland and Labrador,0017-04-20,Central,0
Newfoundland and Labrador,0018-04-20,Central,0
Newfoundland and Labrador,0019-04-20,Central,0
Newfoundland and Labrador,0020-04-20,Central,0
Newfoundland and Labrador,0021-04-20,Central,0
Newfoundland and Labrador,0022-04-20,Central,0
Newfoundland and Labrador,0023-04-20,Central,0
Newfoundland and Labrador,0024-04-20,Central,0
Newfoundland and Labrador,0025-04-20,Central,0
Newfoundland and Labrador,0026-04-20,Central,0
Newfoundland and Labrador,0027-04-20,Central,0
Newfoundland and Labrador,0028-04-20,Central,0
Newfoundland and Labrador,0029-04-20,Central,0
Newfoundland and Labrador,0030-04-20,Central,0
Newfoundland and Labrador,0001-05-20,Central,0
Newfoundland and Labrador,0002-05-20,Central,0
Newfoundland and Labrador,0003-05-20,Central,0
Newfoundland and Labrador,0004-05-20,Central,0
Newfoundland and Labrador,0005-05-20,Central,0
Newfoundland and Labrador,0006-05-20,Central,0
Newfoundland and Labrador,0007-05-20,Central,0
Newfoundland and Labrador,0008-05-20,Central,0
Newfoundland and Labrador,0009-05-20,Central,0
Newfoundland and Labrador,0010-05-20,Central,0
Newfoundland and Labrador,0011-05-20,Central,0
Newfoundland and Labrador,0012-05-20,Central,0
Newfoundland and Labrador,0013-05-20,Central,0
Newfoundland and Labrador,0014-05-20,Central,0
Newfoundland and Labrador,0015-05-20,Central,0
Newfoundland and Labrador,0016-05-20,Central,0
Newfoundland and Labrador,0017-05-20,Central,0
Newfoundland and Labrador,0018-05-20,Central,0
Newfoundland and Labrador,0019-05-20,Central,0
Newfoundland and Labrador,0020-05-20,Central,0
Newfoundland and Labrador,0021-05-20,Central,0
Newfoundland and Labrador,0022-05-20,Central,0
Newfoundland and Labrador,0023-05-20,Central,0
Newfoundland and Labrador,0024-05-20,Central,0
Newfoundland and Labrador,0025-05-20,Central,0
Newfoundland and Labrador,0026-05-20,Central,0
Newfoundland and Labrador,0027-05-20,Central,0
Newfoundland and Labrador,0028-05-20,Central,0
Newfoundland and Labrador,0029-05-20,Central,0
Newfoundland and Labrador,0030-05-20,Central,0
Newfoundland and Labrador,0031-05-20,Central,0
Newfoundland and Labrador,0001-06-20,Central,0
Newfoundland and Labrador,0002-06-20,Central,0
Newfoundland and Labrador,0003-06-20,Central,0
Newfoundland and Labrador,0004-06-20,Central,0
Newfoundland and Labrador,0005-06-20,Central,0
Newfoundland and Labrador,0006-06-20,Central,0
Newfoundland and Labrador,0007-06-20,Central,0
Newfoundland and Labrador,0008-06-20,Central,0
