HR,province,pr_uid,index_of_remoteness,area_sq_km,population,dwellings,households,number_of_families,number_of_families_of_size_2,number_of_families_of_size_3,number_of_families_of_size_4,number_of_families_of_size_5_or_larger,couples_with_0_children,couples_with_children,couples_with_1_child,couples_with_2_children,couples_with_3_or_more_children,singles_with_children,singles_with_1_child,singles_with_2_children,singles_with_3_or_more_children,people_not_in_census_families,people_commuting_within_csd,people_commuting_within_cd_but_not_csd,people_commuting_within_province_but_not_cd,people_commuting_outside_province,num_csds,aR_score,mR_score,mean_mR_score,wave_1_cumulative,wave_2_cumulative,wave_3_cumulative,wave_4_cumulative,total_cumulative,mR_weighted_by_pop,HRUID,total_commuters,F0,families_with_no_children,families_with_children_of_size_2_or_smaller,families_with_children_of_size_3_or_larger,families_with_children_of_size_3_or_smaller,families_with_children_of_size_4_or_larger,population_density,log_pop,F3,F4,F0_prop,F3_prop,F4_prop,wave_1_proportion,wave_2_proportion,wave_3_proportion,log_pop_density,log_F0,log_F3,log_F4,F0_normalised,F3_normalised,F4_normalised,mR_normalised,pop_density_normalised
Central West,Saskatchewan,47,30.4053,38561.02364,35463,17259,14381,9670,5725,1500,1445,1030,5160,3610,1250,1325,985,865,555,275,105,5640,6150,3095,1475,135,85,117,211,4.39583333333333,0,353,306,44,703,3.65400558328399,8,10855,10800,10800,555,3940,2080,2415,0.919659196059661,10.4762451784185,2080,2415,0.706113108859104,0.13599215429879,0.157894736842105,0,0.00995403660152835,0.0086287116149226,-0.0837521166341365,9.28730141311231,7.64012317269536,7.78945456608667,-0.67568106993187,-0.687061425112222,-0.66046852142816,1.16591047339858,-0.289430034089072
Chatham-Kent,Ontario,35,0.3681,2487.64306,102042,46287,43174,29745,16760,5705,4800,2480,13785,10955,4300,4330,2330,4995,2975,1405,630,16335,31695,65,5900,75,2,2,4,2,166,1161,564,81,1972,2,3540,37735,30120,30120,2975,12995,8680,7290,41.0195504494925,11.5331397722205,8680,7290,0.653504013885875,0.188327185940551,0.158168800173573,0.0016267811293389,0.011377668019051,0.00552713588522373,3.71404879328366,10.3129446819138,9.0687768076544,8.8942588250027,-0.518364491623007,-0.516075925220553,-0.519364977620837,-0.360852252128091,-0.222357165050066
Chaudiere-Appalaches,Quebec,24,28.8005,15259.60396,420082,196842,180845,121205,67050,22710,21845,9585,57415,47720,17760,20670,9320,16020,9630,4970,1385,68205,83100,27545,67855,200,136,264,472,3.54887218045113,522,11045,7719,117,19403,2.36698311282083,2412,178700,125620,125620,9630,54105,32360,31375,27.5290237611121,12.9482052092983,32360,31375,0.663409997095403,0.170895936204484,0.165694066700114,0.00124261453716179,0.0262924857527816,0.0183749839317086,3.31524085761447,11.7410167560084,10.3846783711724,10.3537666764341,0.259261451880951,0.0973993228756189,0.177758889579032,-0.0221011963788487,-0.244922022498638
Cote-Nord,Quebec,24,26.2731,269572.70102,92518,45156,39946,27055,15085,5765,4335,1810,12240,10160,4480,4030,1685,4620,2840,1265,465,15960,27830,6125,1525,140,55,73,129,3.68571428571429,124,226,229,12,591,2.73260338528719,2409,35620,28200,28200,2840,11925,8585,6180,0.343202407550666,11.435158499164,8585,6180,0.656348190387525,0.199813801931805,0.14383800768067,0.00134027972934996,0.00244276789381526,0.00247519401629953,-1.06943489638517,10.2470772569262,9.05777177333158,8.72907355045174,-0.533998437293453,-0.518537080143236,-0.551493169133889,0.315391862495968,-0.290394241459061
Durham,Ontario,35,0.5939,2621.73853,645862,233936,227906,186140,80030,43850,44345,17905,60435,91855,33530,41325,16985,33850,19595,10330,3935,75950,71625,72930,116805,685,9,10,12,1.5,1736,9517,14003,589,25845,1.10278821172325,3530,262045,136385,136385,19595,106105,63455,62245,246.348746303088,13.3783411376532,63455,62245,0.520384608047008,0.242116107369746,0.237499284583246,0.00268788069277957,0.0147353459407737,0.0216811021549495,5.50674819988868,11.8232370476698,11.0580862722443,11.0388334898159,0.346917402475926,0.902974189410689,1.07126994544202,-1.18904142457593,0.121085618281514
East Kootenay,British Columbia,59,11.3504,46030.07133,80827,45188,34993,24285,15025,4190,3610,1450,13195,8140,3375,3410,1340,2950,1870,805,305,14115,16580,11490,630,945,27,53,94,4.08695652173913,19,366,629,319,1333,3.6753560072748,5911,29645,27310,27310,1870,9235,6050,5055,1.75596078095411,11.3000663471065,6050,5055,0.710920213458285,0.157490563581934,0.131589222959781,0.000235069964244621,0.00452818983755428,0.00778205302683509,0.563016160654915,10.2150082144678,8.70781355102489,8.52813313145457,-0.541245422526108,-0.58421105623799,-0.584055525397118,1.18561840658381,-0.288031198707544
Eastern,Newfoundland and Labrador,10,59.6053,21027.44882,313267,155452,131074,94470,51820,21750,16735,4175,41985,37485,17815,15745,3945,15025,9840,4030,1215,51285,57300,56100,3255,1645,149,203,359,3.41904761904762,244,369,458,45,1116,1.86120465928425,1011,118300,93270,93270,9840,42750,31685,20905,14.8980032091216,12.6548111410384,31685,20905,0.63944878650761,0.217228849581791,0.143322363910599,0.000778888296564911,0.00117790894029694,0.00146201163863414,2.70122719116026,11.4432537917209,10.3635986617576,9.94774364379067,-0.00415424730599168,0.0799121694776073,-0.125288106044079,-0.48897004980858,-0.266049231596497
Eastern,Ontario,35,1.9834,5393.75136,202762,87238,83218,60605,34040,11960,10125,4500,28485,23165,9475,9455,4245,8945,5550,2485,930,29570,29410,18370,25960,3955,16,25,40,2.66666666666667,164,2403,2042,69,4678,2.33150688985116,3558,77695,58055,58055,5550,26590,17510,14630,37.5920183313752,12.2197881564161,17510,14630,0.643660956815788,0.194134929874162,0.16220411331005,0.000808830056914017,0.0118513330900267,0.0100709205866977,3.62679174944072,10.9691461160611,9.7705274252799,9.59082949401417,-0.290898724798053,-0.287318051880637,-0.306913693201197,-0.0548482290490962,-0.228090208350172
Edmonton,Alberta,48,6.48,34555.52671,1349555,548451,511958,369115,177380,80115,76450,35150,142920,169520,64380,71960,33200,56680,34475,15720,6465,234485,394250,152020,14605,3105,35,37,39,1.11428571428571,1281,51488,25032,2735,80536,1.03258851991953,4834,563980,377405,377405,34475,191725,114575,111625,39.0546789034894,14.1152854664452,114575,111625,0.62525161322388,0.189817844451255,0.184930542324865,0.000949201773918069,0.0381518352345773,0.0185483363034482,3.66496268737923,12.8410741603715,11.6489849093773,11.6229003181788,2.30946614491911,2.22733460675344,2.50054030302265,-1.25384064525122,-0.225643696952375
Estrie,Quebec,24,20.0047,13013.88995,472615,239425,210286,133020,77710,23655,21175,10475,65785,47265,17700,19585,9980,19920,11855,5975,2055,92010,100955,25590,57155,365,121,227,394,3.33898305084746,972,10217,3723,411,15323,2.08725918559504,2405,184065,157795,157795,11855,55295,35530,31620,36.3161976792343,13.0660363825457,35530,31620,0.701482584631799,0.157949721042922,0.14056769432528,0.00205664229869979,0.0216180188948721,0.00787744781693345,3.59226385880437,11.9690520012138,10.4781326890151,10.3615451107635,0.521252182061473,0.179524176611466,0.184850247165246,-0.280305926666597,-0.230224202953237
