HR,province,pr_uid,index_of_remoteness,area_sq_km,population,dwellings,households,number_of_families,number_of_families_of_size_2,number_of_families_of_size_3,number_of_families_of_size_4,number_of_families_of_size_5_or_larger,couples_with_0_children,couples_with_children,couples_with_1_child,couples_with_2_children,couples_with_3_or_more_children,singles_with_children,singles_with_1_child,singles_with_2_children,singles_with_3_or_more_children,people_not_in_census_families,people_commuting_within_csd,people_commuting_within_cd_but_not_csd,people_commuting_within_province_but_not_cd,people_commuting_outside_province,num_csds,aR_score,mR_score,mean_mR_score,wave_1_cumulative,wave_2_cumulative,wave_3_cumulative,wave_4_cumulative,total_cumulative,mR_weighted_by_pop,HRUID,total_commuters,F0,families_with_no_children,families_with_children_of_size_2_or_smaller,families_with_children_of_size_3_or_larger,families_with_children_of_size_3_or_smaller,families_with_children_of_size_4_or_larger,population_density,log_pop,F3,F4,F0_prop,F3_prop,F4_prop,wave_1_proportion,wave_2_proportion,wave_3_proportion,log_pop_density,log_F0,log_F3,log_F4,F0_normalised,F3_normalised,F4_normalised,mR_normalised,pop_density_normalised
Laurentides,Quebec,24,18.0411,22460.53216,589400,290274,249083,170595,92095,35380,31165,11970,74835,67600,26805,29265,11535,28225,17295,8590,2345,98920,57430,39545,137430,1970,89,133,225,3.04054054054054,3615,11935,5487,619,21656,1.8275822870716,2415,236375,173755,173755,17295,78540,52690,43145,26.2415866107422,13.2868603492857,52690,43145,0.644515746133017,0.195444934901146,0.160039318965837,0.00613335595520869,0.020249406175772,0.00930946725483543,3.26734542759634,12.0654015399914,10.8721809632033,10.6723218149424,0.651209355447056,0.624086476329807,0.518433496884095,-0.52000584869394,-0.247075447375453
Laval,Quebec,24,0.03,247.08643,422993,165686,160328,117055,52310,25980,27215,11555,40140,56775,19935,25705,11135,20145,12165,6045,1935,58360,67705,45,108945,520,1,1,1,1,5858,17668,8264,1270,33060,1,2413,177215,98500,98500,12165,64755,38145,38775,1711.9232326923,12.9551109094281,38145,38775,0.561509520009121,0.217449549652263,0.221040930338616,0.0138489289420865,0.0417690127259789,0.0195369663327762,7.4453727149792,11.4978118271602,10.5491499665243,10.5655309880447,0.0384319692859005,0.247270704220059,0.391946832999378,-1.28392212623052,2.57247095923496
Leeds Grenville and Lanark,Ontario,35,3.8706,6806.63156,169244,80921,71329,51830,30620,9955,7985,3245,26045,18495,7935,7460,3100,7310,4600,2010,680,25585,18295,20075,23210,750,22,37,63,2.86363636363636,355,478,920,36,1789,2.5768535369053,3543,62330,51630,51630,4600,21185,14545,11240,24.8645748646927,12.0390967396292,14545,11240,0.666925014532068,0.187883485112704,0.145191500355228,0.00209756328141618,0.00282432464370967,0.00543593864479686,3.21344409428045,10.8518581778737,9.5850025709293,9.32723412344768,-0.343215444033791,-0.364131992362274,-0.405034926741058,0.171623869558623,-0.249378698721554
Mauricie et du Centre-du-Quebec,Quebec,24,21.0073,46741.78528,508511,252942,230786,142715,84670,26415,22145,9510,70705,49505,19935,20455,9095,22560,13945,6495,2055,103370,114845,30400,49215,220,130,226,401,3.26016260162602,2065,10535,2616,659,15875,2.18987986493901,2404,194680,174075,174075,13945,58035,40375,31605,10.8791522821355,13.1392421264885,40375,31605,0.707463778423523,0.164089329621426,0.128446891955051,0.00406087577259882,0.0207173492805465,0.00514443148722447,2.38684832314735,12.0672415198107,10.605966060525,10.3610706149064,0.653815013058797,0.305043077668305,0.184416082415069,-0.185579869104254,-0.272771341145608
Middlesex-London,Ontario,35,1.4869,3335.92969,455526,203349,190045,125545,64300,26500,23750,10995,50675,52585,20225,22000,10365,22290,13620,6295,2375,86200,141095,20980,18680,500,12,17,24,2.18181818181818,630,5377,6633,509,13149,1.07638422395209,3544,181255,136875,136875,13620,61260,40140,34740,136.551439128203,13.0292080741849,40140,34740,0.646383792590494,0.189558688106538,0.164057519302968,0.00138301655668392,0.0118039365480785,0.0145611886039436,4.91670138706742,11.8268233795529,10.6001286223503,10.4556470397951,0.350907315693905,0.298954957596405,0.275156515201932,-1.21341415024365,-0.0625662614314049
Monteregie,Quebec,24,15.2157,8673.6513,1353459,582703,558666,388660,199870,82260,76335,30165,161440,164010,63140,71800,29050,63185,38395,19085,5715,213685,160465,98225,311625,1935,147,238,355,2.43150684931507,8231,32223,11065,1303,52822,1.41092268033239,2416,572250,375125,375125,38395,188790,120620,106565,156.042588431011,14.1181740957417,120620,106565,0.622810512858827,0.200262323388288,0.176927163752885,0.00608145499789798,0.0238078877897299,0.00817534923481243,5.05012897275395,12.8350145827427,11.700400387005,11.5765104065953,2.29090083443545,2.38394178051785,2.35408206062982,-0.904611779430267,-0.0299644946000543
Montreal,Quebec,24,0.9741,499.89694,1942044,939112,870373,485270,241425,109080,93215,41550,178110,207480,82310,85980,39205,99705,63315,26785,9600,488710,575010,133945,70060,3820,16,16,16,1,27654,72684,32687,3383,136408,1,2406,782835,666820,666820,63315,243880,172410,134785,3884.88875326982,14.4792515846313,172410,134785,0.684609579934601,0.177009594308096,0.138380825757304,0.0142396361771412,0.0374265464634169,0.0168312355435819,8.26484962745478,13.4102754234102,12.0576306401699,11.8114361953043,4.66607988773794,3.725659816789,3.17089067729497,-1.28392212623052,6.20707013724384
Niagara,Ontario,35,1.1072,1883.829,447888,196241,183828,129480,70465,26730,22675,9585,56275,50260,20350,20900,9010,22920,14195,6365,2340,74775,80160,64320,26380,490,12,13,14,1.16666666666667,774,7563,7952,262,16551,1.06474832993963,3546,171350,131050,131050,14195,58965,40910,32250,237.754063665014,13.0122984801419,40910,32250,0.641741344694187,0.200332990548945,0.157925664756868,0.00172811059907834,0.0168859179080484,0.0177544386096524,5.47123679345615,11.7833342087516,10.6191298109234,10.3812733222239,0.303476204480182,0.3189032659171,0.203085166672654,-1.22415489346481,0.106709768248106
Nord-du-Quebec,Quebec,24,2.6667,340557.05223,14232,7057,6039,4180,2375,820,660,325,2055,1595,660,605,315,530,320,150,60,2130,5000,915,400,40,5,12,22,4.4,8,79,22,6,115,4.63258853288364,2410,6355,4185,4185,320,1790,1130,980,0.0417903546756924,9.56324822934567,1130,980,0.664813343923749,0.179507545671168,0.155679110405083,0.000562113546936481,0.00555087127599775,0.00154581225407532,-3.17508971546351,8.33926198292358,7.02997291170639,6.88755257166462,-0.729544898374579,-0.711672974339053,-0.7020036158617,2.06921091348432,-0.290898396720268
North,Alberta,48,62.911,435507.39743,461840,197711,167821,125995,61655,25600,23675,15100,51060,56410,20420,21850,14085,18515,10585,5130,2790,73500,108200,47180,12740,1160,161,221,391,3.98979591836735,402,10463,15712,1424,28001,3.24354321843063,4835,169280,124560,124560,10585,64275,36135,38725,1.0604641912523,13.0429737897348,36135,38725,0.624611372981647,0.181200481396049,0.194188145622305,0.000870431318205439,0.0226550320457301,0.0340204399792136,0.0587067285423843,11.7325428065079,10.4950172037171,10.5642406652851,0.250630211042059,0.195197847434869,0.390499617165456,0.787025029949599,-0.289194517365526
North Bay Parry Sound,Ontario,35,11.7011,19093.33743,123820,74399,53723,37130,22695,6990,5345,2070,19005,12355,5410,4965,1945,5760,3720,1570,505,22210,25490,9830,6960,500,41,70,133,3.59459459459459,35,193,390,44,662,2.89042965595219,3547,42780,41215,41215,3720,14395,10700,7415,6.48498464210089,11.7265841770732,10700,7415,0.694673858081915,0.180347210517445,0.124978931400641,0.000282668389597803,0.00155871426263932,0.00314973348408981,1.86948944954677,10.6265575467473,9.27799902045,8.91126025457203,-0.428021456615924,-0.463743999496133,-0.515746938036034,0.461076538288767,-0.280121222191239
North Central,Saskatchewan,47,23.4135,344785.856,83374,39432,30727,22820,11860,4415,3680,2870,9265,8645,3145,3050,2385,4885,2570,1290,1055,12850,15075,7560,3530,330,69,97,181,3.54901960784314,0,2722,1309,299,4330,2.78871110897882,4,26495,22115,22115,2570,10925,7005,6490,0.241813863733436,11.331091789143,7005,6490,0.621033417579332,0.196714406065712,0.182252176354956,0,0.0326480677429415,0.0157003382349414,-1.41958700690563,10.0040113903024,8.85437945877111,8.77801780969814,-0.583546645316716,-0.559469972541544,-0.542520430963578,0.367183211940176,-0.290563828465633
North East,Saskatchewan,47,23.3044,35832.21076,39474,19145,16048,11210,6320,1830,1710,1290,5500,4220,1420,1565,1190,1540,835,420,240,6245,6215,4835,1280,160,54,72,126,4.66666666666667,0,1010,511,181,1702,3.56731012818564,5,12490,11745,11745,835,4835,2675,2995,1.10163451159607,10.5833975063141,2675,2995,0.674418604651163,0.15360321561872,0.171978179730118,0,0.0255864619749709,0.0129452297714952,0.0967949965509355,9.37118289709301,7.89170465933011,8.00469951054955,-0.667986237297198,-0.671646823228049,-0.643680817754673,1.08588451057569,-0.289125654048983
North Shore/Coast Garibaldi,British Columbia,59,23.2778,71257.40635,300799,143258,122758,85215,44200,18590,17420,4950,36335,36560,15080,16715,4780,12310,7870,3565,900,54165,38745,64200,4465,735,61,68,118,2.87804878048781,265,3578,4614,306,8763,1.67354944664045,5933,108145,90500,90500,7870,41040,26515,22395,4.22130155176494,12.6141975465842,26515,22395,0.649164335413528,0.190194390646295,0.160641273940176,0.000880986971366261,0.0118949863530131,0.0153391467391846,1.44014350508368,11.413105129688,10.1854658895712,10.0165929986414,-0.0267094710076248,-0.0540264721042004,-0.0821610741932259,-0.662188923318362,-0.283907559628025
North Vancouver Island,British Columbia,59,25.2587,41156.43035,122233,59720,54033,36490,23035,6465,5030,1985,19560,11500,4980,4655,1865,5445,3455,1470,520,23680,21045,13925,3995,810,51,51,93,3.44444444444444,60,235,412,69,776,2.40158549655167,5943,39775,43240,43240,3455,13490,9905,7040,2.96996116914207,11.7136843383628,9905,7040,0.718451441389051,0.164575891002742,0.116972667608208,0.000490865805469881,0.00192255773809037,0.00337061186422652,1.0885488783662,10.6745212717531,9.20079495913265,8.85936344915209,-0.411532529541625,-0.484339980164902,-0.526601056790444,0.00983922161521936,-0.286000607438964
North West,Saskatchewan,47,35.9153,32311.17977,75087,35284,28311,20700,10610,3940,3565,2615,8565,8200,2855,3090,2260,3990,2050,1080,790,11670,9775,5220,3845,4890,98,128,236,3.74603174603175,0,2525,1797,183,4505,2.87895374698683,6,23730,20235,20235,2050,10075,5985,6140,2.32387057775328,11.2264027202383,5985,6140,0.625309023485785,0.184950556242274,0.189740420271941,0,0.0336276585827107,0.0239322386032203,0.843234148004046,9.91516905730997,8.69701161799207,8.72258002114119,-0.598854883785694,-0.585895004342984,-0.552650941801026,0.450483472444901,-0.287081287417612
Northeast,British Columbia,59,12.0533,416084.53087,73995,33401,28209,20145,10115,4100,3665,2270,8435,8835,3250,3425,2155,2905,1680,855,360,11990,15715,8770,340,380,25,32,58,3.625,14,943,1514,115,2586,2.88511385904453,5953,25205,20425,20425,1680,10045,5785,5940,0.177836459926261,11.2117528023359,5785,5940,0.635303265940902,0.179937791601866,0.184758942457232,0.000189201973106291,0.0127441043313737,0.0204608419487803,-1.72689091547202,9.9245149197282,8.66302363962778,8.68946441235669,-0.597307774578723,-0.59107638312758,-0.558439805136711,0.456169686306461,-0.290670839928579
Northern,Manitoba,46,29.1376,442565.30675,72220,24052,20785,18310,7380,4045,3265,3590,4675,7795,2615,2440,2795,5845,2725,1430,1655,9780,16440,3835,440,355,48,64,108,4.69565217391304,3,4347,3601,77,8028,3.4791055109388,4604,21070,14455,14455,2725,10935,6770,6890,0.163184955753426,11.1874722948314,6770,6890,0.514138360305887,0.240796727725413,0.2450649119687,4.1539739684298e-05,0.0601910828025478,0.0498615342010523,-1.81287102358466,9.57879565445045,8.82025636590632,8.8378263640077,-0.645919574397766,-0.565558092613445,-0.530942704292207,1.0044654856384,-0.290695346688819
Northern Interior,British Columbia,59,40.8513,255234.61899,152030,67914,61684,43510,24175,8420,7275,3645,19805,16610,6475,6715,3465,7110,4380,1940,765,26570,39730,16010,1700,410,78,76,140,3.25581395348837,36,1778,768,265,2847,2.51084654344537,5952,57850,46375,46375,4380,19360,12795,10945,0.595648037878265,11.9318331487749,12795,10945,0.661413392284105,0.182485915995151,0.156100691720744,0.000236795369335,0.0116950601854897,0.00505163454581333,-0.518105326827201,10.7445157999097,9.45680974859389,9.30063800995696,-0.3860052276266,-0.409469056727489,-0.413573500161194,0.110694802415692,-0.289971989623129
Northwest,British Columbia,59,33.277,408285.69419,75025,35115,30271,21580,11740,4375,3545,1895,9395,8355,3380,3195,1765,3860,2370,1020,465,12900,16830,9400,800,255,62,75,132,4.125,14,1320,1419,66,2819,3.14408530489837,5951,27285,22295,22295,2370,9825,6770,5425,0.183756132207479,11.2255766703086,6770,5425,0.646419251957089,0.196288779356335,0.157291968686576,0.000186604465178274,0.0175941352882373,0.0189136954348551,-1.69414576888833,10.0121177170616,8.82025636590632,8.59877317840866,-0.582080962910111,-0.565558092613445,-0.5733461282261,0.695218426226887,-0.290660938420339
Northwestern,Ontario,35,41.4116,685168.81298,88146,52270,35375,25590,14210,5095,3945,2320,11550,9420,3840,3500,2075,4585,2665,1255,655,14255,21415,9800,570,310,73,90,151,4.57575757575758,41,292,760,20,1113,3.43078528804484,3549,32095,25805,25805,2665,11325,7760,6230,0.128648587516159,11.3867498095985,7760,6230,0.648448297524815,0.194999371780374,0.156552330694811,0.000465137385700996,0.00331268577133392,0.00862205885689651,-2.05067071959053,10.1583235505828,8.95673761317726,8.7371316117815,-0.553500155981327,-0.539910267629694,-0.550045953299968,0.959862543575066,-0.290753113760785
Nunavik,Quebec,24,12.277,505801.46996,13188,4292,3627,3160,945,760,615,820,390,1570,425,465,680,1200,550,355,295,1685,4375,530,30,0,29,15,25,5,17,23,7,3,50,2.89467697907188,2417,4935,2075,2075,550,2220,1330,1440,0.0260734710815351,9.48706260419162,1330,1440,0.42827657378741,0.274509803921569,0.297213622291022,0.00128905065210798,0.00174400970579315,0.000530785562632696,-3.64683691523014,7.6377164326648,7.1929342212158,7.27239839257005,-0.746725953251996,-0.706491595554457,-0.688689230189624,0.464997114306137,-0.290924685481711
Nunavut,Nunavut,62,20.2447,2094248.88766,35944,11433,9819,8780,2825,2165,1690,2125,1480,4785,1440,1405,1925,2565,1350,690,505,4475,11055,375,40,45,31,93,186,6,0,311,346,0,657,6,6201,11515,5955,5955,1350,5965,3480,3835,0.0171631940271253,10.48971745075,3480,3835,0.448756593820648,0.26224566691786,0.288997739261492,0,0.00865234809703984,0.009626085021144,-4.06498807012589,8.6919864817894,8.15478757276852,8.25192471380136,-0.715132354709637,-0.65079177362005,-0.619367591744796,3.33142724428164,-0.29093958920906
Okanagan,British Columbia,59,14.7632,31465.42726,369633,175846,158124,109305,68405,18830,15945,6160,58715,35585,14735,14970,5855,15020,9685,4080,1285,70695,77470,40835,8870,2420,49,68,116,2.76190476190476,115,4067,3966,3626,11774,1.76885992322114,5913,129595,129410,129410,9685,40925,28500,22110,11.7472741414159,12.8202659004782,28500,22110,0.718864570603266,0.158315742695256,0.122819686701478,0.000311119407628648,0.011002805485441,0.0107295614839584,2.46362122571219,11.7707409378157,10.2576593662567,10.0037852738515,0.290122209220009,-0.00260128766708472,-0.0904102044465771,-0.574210693700379,-0.271319281751995
Ottawa,Ontario,35,0.0963,2892.07371,934243,395985,373756,254770,123855,54635,53395,22885,99685,113855,42565,49890,21395,41230,24165,12065,5000,168750,370210,40,8860,21365,1,1,1,1,2141,11777,13770,413,28101,1,3551,400475,268435,268435,24165,130915,78795,76285,323.035680857526,13.7474918546785,78795,76285,0.633826428815981,0.186050080870807,0.180123490313212,0.00229169498727847,0.0126059280080236,0.014739205966756,5.77776278417278,12.5003640779625,11.2746048220562,11.2422316055473,1.42215830132093,1.30038594218921,1.4776481516071,-1.28392212623052,0.249355609984605
Outaouais,Quebec,24,17.4305,34064.70771,382604,190236,163137,108530,57115,23505,19730,8235,44405,43610,17460,18275,7850,20550,12710,6050,1785,69395,77830,7110,18940,54835,75,122,207,3.18461538461538,614,5407,6548,196,12765,1.37591870445683,2407,158715,113800,113800,12710,51420,36220,27910,11.2316830444338,12.8547557907167,36220,27910,0.639577361883887,0.203563199010847,0.156859439105266,0.00160479242245246,0.0141321052576554,0.0171143009482389,2.41873862790682,11.6421978006744,10.4973667314374,10.2367403265304,0.163014973847268,0.197399933418323,0.0774668322882886,-0.93692289503481,-0.272181682447972
Peel,Ontario,35,0.1792,1534.1591,1442900,465393,451258,403730,148620,99035,109690,46390,110425,225260,78235,103030,43985,68045,38185,20785,9065,154215,262025,106620,221645,1780,4,4,4,1,6184,51883,51599,1548,111214,1,3553,592070,264640,264640,38185,255100,137205,156080,940.51523078669,14.1821655352853,137205,156080,0.474328986870995,0.245920150557871,0.279750862571134,0.00428581329267448,0.0359574468085106,0.0357606209716543,6.84642784296051,12.4861256908175,11.8292314367586,11.958123975297,1.39125683058169,2.81360761623048,3.78725990096204,-1.28392212623052,1.28217948287024
Peterborough,Ontario,35,1.4141,7547.84866,213659,108995,88849,63555,37705,12065,9795,3990,31585,22380,9485,9085,3800,9610,6120,2575,900,36345,40415,14695,19320,260,12,16,22,1.83333333333333,93,476,1051,41,1661,1.51920115698379,3555,74690,67930,67930,6120,25845,18180,13785,28.3072713331271,12.2721365651557,18180,13785,0.680014014715451,0.181991090645177,0.137994894639371,0.000435273028517404,0.00222784904918585,0.0049190532577612,3.34311870921272,11.1262330421853,9.80807736773147,9.5313363234579,-0.210489759435733,-0.269960432952241,-0.331371640794466,-0.804663179619657,-0.243620290851842
Porcupine,Ontario,35,16.1288,652355.12623,103004,55571,43352,30880,17690,6090,4880,2245,14770,11270,4775,4445,2035,4845,2915,1310,620,16225,27320,9890,1365,325,32,40,72,4.23529411764706,67,238,1793,59,2157,3.11541299367015,3556,38900,30995,30995,2915,13185,9000,7100,0.157895593762352,11.5425231014092,9000,7100,0.658137806561206,0.191103089499947,0.150759103938847,0.000650460176303833,0.00231058988000466,0.0174070909867578,-1.84582126335149,10.341581180136,9.10497985631836,8.86785006302941,-0.511239646590903,-0.507785719165199,-0.524864397789738,0.66875187951123,-0.290704193911917
Prairie Mountain,Manitoba,46,32.7055,157505.73831,174478,84163,70846,47895,26850,8535,7840,4645,22735,18035,6725,7110,4195,7130,4090,1820,1160,30100,39145,14405,6420,1080,82,164,290,4.39393939393939,26,2017,1931,64,4038,3.53993053565493,4602,61050,52835,52835,4090,21010,12635,12465,1.10775646571426,12.069553938178,12635,12465,0.677936742156926,0.162122281388336,0.159940976454738,0.000149015921778104,0.0115601967010167,0.0110672978828276,0.102336767879575,10.8749291288751,9.4442260198223,9.43067999595766,-0.333403514589579,-0.413614159755166,-0.369578138809987,1.06061123354539,-0.289115414195108
Prince Edward Island,Prince Edward Island,11,40.4955,5893.30592,142907,71119,59472,41725,23015,8570,6935,3185,18995,16170,6765,6365,3040,6600,4070,1815,655,23280,20885,27880,5105,1335,112,187,336,3.16981132075472,36,78,94,12,220,2.60080331964145,1100,55205,42275,42275,4070,18640,12650,10060,24.2490381357973,11.8699493480226,12650,10060,0.650534738785874,0.194660306224513,0.154804954989613,0.000251912082683144,0.000545809512480144,0.000657770438117097,3.18837695209363,10.6519511737668,9.44541249415567,9.21632244365373,-0.419390215777032,-0.413225556346321,-0.4391892204216,0.193731192493661,-0.250408272945208
Regina,Saskatchewan,47,10.2146,8303.18235,241987,104486,97161,66505,33290,14230,13015,5995,26540,28685,11210,12005,5475,11310,6745,3035,1510,44395,90220,15830,1495,450,37,45,63,2.03225806451613,0,4788,7040,266,12094,1.05813535437854,10,107995,70935,70935,6745,33235,20990,18990,29.1438860185938,12.3966392846876,20990,18990,0.639543794797818,0.189244015687689,0.171212189514493,0,0.0197861868612777,0.029092471909648,3.3722451487253,11.1695192437461,9.95180141281468,9.85166780380633,-0.186021005925478,-0.197162061028666,-0.180716472483263,-1.23025913198342,-0.242220931764313
Renfrew,Ontario,35,5.3183,16466.46198,103593,50988,43345,30385,17385,5915,4880,2205,14720,11445,4725,4610,2110,4205,2635,1195,365,16450,15670,17840,4860,375,21,35,65,3.25,29,281,436,22,768,2.73003002133349,3557,38745,31170,31170,2635,13005,8555,7085,6.29115107579412,11.5482250389572,8555,7085,0.665883358256783,0.182760093997009,0.151356547746208,0.000279941694902165,0.00271253849198305,0.00420877858542566,1.83914405489089,10.3472113727614,9.05427118632629,8.86573515212478,-0.509814677584482,-0.519314286960925,-0.525298562539915,0.313016467755207,-0.280445436871177
Richmond,British Columbia,59,0.0981,151.74256,198309,77478,73457,57975,26410,15960,12095,3515,20035,28230,13265,11565,3400,9710,6380,2695,640,29140,43440,32515,405,325,1,1,1,1,96,1819,2215,195,4325,1,5931,76685,49175,49175,6380,31565,22340,15605,1306.87791216914,12.1975816992571,22340,15605,0.564451331496786,0.256427915518825,0.179120752984389,0.000484093006368849,0.00917255394359308,0.0111694375948646,7.175396298526,10.8031406432573,10.0141340726232,9.65534665470488,-0.363205723523866,-0.162187754232643,-0.278692984439732,-1.28392212623052,1.89497406612339
Saguenay-Lac-Saint-Jean,Quebec,24,20.5286,106254.94468,276368,135684,122794,80735,47590,14955,12715,5430,40910,29030,11805,11925,5270,10740,6675,3135,920,49240,77620,16765,10250,175,60,89,149,3.04081632653061,348,8431,2241,69,11089,1.8626867075783,2402,104810,90150,90150,6675,33055,21615,18115,2.60098954295555,12.5294885899331,21615,18115,0.694102248229135,0.166422851863258,0.139474899907607,0.00125919064435825,0.0305064262143229,0.00810875354599664,0.955891966064563,11.4092302286315,9.98114279710173,9.80449560332918,-0.0295594090204665,-0.180970252326803,-0.206042749576885,-0.487602015676379,-0.286617765859816
Saskatoon,Saskatchewan,47,10.037,11118.34853,299996,126924,117223,80820,39765,16760,16025,8295,32460,35875,13285,14880,7725,12450,7290,3490,1710,55220,100755,18960,6665,1110,38,50,68,1.83783783783784,0,6712,4624,645,11981,1.04075387671836,9,127490,87680,87680,7290,41090,24065,24315,26.9820647545396,12.6115244202161,24065,24315,0.644421578715273,0.176870498309569,0.178707922975158,0,0.022373631648422,0.0154135388471846,3.29517237692997,11.3814491021818,10.0885137817372,10.0988487228379,-0.0496718287110925,-0.117498362215502,-0.0265879861706497,-1.24630345037892,-0.24583689056114
Simcoe Muskoka,Ontario,35,3.5022,10148.58629,547274,259233,212238,161630,85400,33850,30430,11970,69910,65910,26110,28415,11405,25800,15485,7725,2580,78995,87395,70215,52445,785,30,47,79,2.82142857142857,611,5365,6430,332,12738,1.97536517356936,3560,210840,148905,148905,15485,76235,49320,42400,53.9261316168993,13.2127048700653,49320,42400,0.618825974025974,0.204966233766234,0.176207792207792,0.00111644258634614,0.00980313334819487,0.0117491421116296,3.9876151770694,11.9110637976919,10.8060849572783,10.65490364122,0.448863756535293,0.536780243809363,0.496869980958669,-0.383591918259954,-0.200769040959862
South,Alberta,48,16.2239,88280.02788,302467,122666,113303,81495,43210,14940,13715,9655,36410,33750,11850,12685,9175,11400,6810,3075,1495,46765,71255,27505,6350,1390,54,92,163,3.39583333333333,1441,4750,6338,1291,13820,2.19366740834537,4831,106500,83175,83175,6810,38280,21735,23355,3.42622229810741,12.6197274595931,21735,23355,0.648462168167466,0.169453865045024,0.18208396678751,0.00476415608975525,0.0157041925234819,0.0209543520450165,1.23145828340915,11.3287021008867,9.98667914342289,10.0585663729362,-0.0863546022763839,-0.177861425056046,-0.0543745301819378,-0.182083701888983,-0.285237444697268
South Central,Saskatchewan,47,28.7735,33251.78565,57956,27578,24388,16160,9165,2830,2590,1535,7925,6115,2210,2440,1460,2150,1245,570,260,9920,13955,3660,2890,160,77,121,213,4.09615384615385,0,593,1139,123,1855,2.61750293325971,11,20665,17845,17845,1245,6940,4025,4160,1.74294399134021,10.9674393809406,4025,4160,0.685555128697657,0.154629273914714,0.15981559738763,0,0.0102319000621161,0.0196528400855822,0.555575632539209,9.78947863592426,8.30028018985266,8.33327035325531,-0.618315889073385,-0.636672516432025,-0.609960688824308,0.209146102733836,-0.288052971171204
South East,Saskatchewan,47,58.4107,46311.50891,85162,41805,34720,24175,13175,4190,4160,2685,11435,9730,3385,3760,2520,3075,1755,805,515,13260,14830,11940,1770,240,165,217,385,3.92857142857143,0,1083,1658,197,2938,2.88621685728377,12,28780,24695,24695,1755,10985,5945,6795,1.83889495299107,11.352310603936,5945,6795,0.659676773073327,0.158808601576065,0.181514625350608,0,0.0127169394800498,0.0194687771541298,0.609164822180487,10.1143560729747,8.69030580912488,8.82394232658525,-0.562538530822054,-0.586931280099903,-0.533692414376658,0.457187830752287,-0.287892479307416
South Vancouver Island,British Columbia,59,6.4893,2367.24344,383360,183562,170157,106340,63880,20750,16650,5050,53530,37405,16735,15825,4850,15405,10370,4040,980,89670,56875,90935,3115,1220,27,26,30,1.25,49,512,1430,351,2342,1.11885955759599,5941,152145,143200,143200,10370,42430,31145,21655,161.943631788034,12.8567297744692,31145,21655,0.730612244897959,0.15890306122449,0.110484693877551,0.000127817195325543,0.0013355592654424,0.00373017529215359,5.08724832275735,11.8719975335087,10.3464089976882,9.98299165364873,0.402409766925973,0.0659224467591979,-0.103579868535261,-1.17420644936452,-0.0200941459305856
South West,Saskatchewan,47,25.3294,37076.26483,37181,17298,15093,10095,5805,1650,1755,855,5180,3885,1400,1640,850,1040,645,270,115,5910,8855,3030,820,200,56,64,117,4.03448275862069,0,451,522,115,1088,2.59993007181087,13,12905,11090,11090,645,4275,2315,2605,1.00282485764087,10.5235531570945,2315,2605,0.692692067457839,0.144597126795753,0.162710805746409,0,0.0121298512681208,0.0140394287404857,0.00282087522859521,9.31379908034441,7.74716496652034,7.86518795418747,-0.67331969272123,-0.680973305040322,-0.654969101259259,0.192925123728633,-0.289290927489193
Southern Health,Manitoba,46,12.8558,33317.63836,195329,73967,67158,51800,24405,9165,9825,8445,21280,24895,7595,9205,8075,5710,3140,1570,990,21525,27465,21585,18530,400,50,83,147,3.34090909090909,42,4691,2796,232,7761,2.71526501441158,4605,67980,42805,42805,3140,27435,12305,18270,5.86263041484072,12.1824405953446,12305,18270,0.583333333333333,0.167688743526847,0.24897792313982,0.000215021834955383,0.0240158911375167,0.0143143107270298,1.7685983791268,10.6644101971766,9.41776096282516,9.81301564937205,-0.415074595357586,-0.422163434749749,-0.20155638049173,0.299387334674683,-0.28116219966714
Southwestern,Ontario,35,1.5988,3939.23346,199840,81963,79261,58260,30775,11500,10215,5780,25770,24150,9025,9550,5590,8350,4975,2475,875,27210,31250,18885,29125,150,16,26,39,2.4375,86,2346,1477,142,4051,2.09224879903923,3575,79410,52980,52980,4975,27515,16475,16015,50.7306820043106,12.2052723253594,16475,16015,0.61986661986662,0.192757692757693,0.187375687375687,0.000430344275420336,0.0117393915132106,0.00739091273018415,3.92653089529487,10.8776697628261,9.70959935937071,9.68128106204326,-0.332222825984258,-0.314131687090922,-0.266825814601578,-0.275700164812847,-0.206113892696027
Sudbury,Ontario,35,14.2723,50996.2038,196448,97197,84323,57675,32520,11925,9810,3420,26270,21455,9175,9100,3200,9940,6240,2750,930,34745,68350,2655,4945,295,34,53,89,3.70833333333333,64,512,1573,74,2223,1.46789481185861,3561,76245,61015,61015,6240,25155,18165,13230,3.85220830888592,12.1881530442272,18165,13230,0.660264040688237,0.196569635320853,0.14316632399091,0.000325785958625183,0.00260628766900147,0.00800720801433458,1.34864657058532,11.0188750145659,9.8072519446553,9.490242257109,-0.266796391889449,-0.270349036361085,-0.347435736550992,-0.852022521155016,-0.284524921470389
Terres-Cries-de-la-Baie-James,Quebec,24,10.7427,5869.53195,17141,4830,4007,4225,1280,975,800,1170,645,2280,615,625,1025,1285,610,355,330,1560,5235,405,10,10,17,21,35,5,10,107,2,5,124,4.27192112478852,2418,5660,2205,2205,610,2950,1580,1980,2.92033507032873,9.74922853350706,1580,1980,0.382480485689506,0.274067649609714,0.343451864700781,0.000583396534624584,0.00624234292048305,0.000116679306924917,1.07169835980948,7.69848278788095,7.36518012602101,7.59085212368858,-0.745667404847227,-0.700014872073712,-0.673059299183275,1.7362896945011,-0.286083614268224
