pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_partially,numtotal_fully,prop_atleast1dose,prop_partially,prop_fully,numweekdelta_atleast1dose,numweekdelta_fully,propweekdelta_partially,propweekdelta_fully,numtotal_partiallyrange,numtotal_fullyrange,prop_partiallyrange,prop_fullyrange
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,0-15,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,16-69,1,1,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,70-74,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,75-79,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,80+,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,All ages,1,1,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,Not reported,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,Unknown,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,0-15,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,16-69,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,70-74,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,75-79,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,80+,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,All ages,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,Not reported,0,0,0,na,na,na,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,Unknown,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,0-15,0,0,0,0.00,0.00,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,16-69,705,705,0,0.20,0.20,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,70-74,6,6,0,0.02,0.02,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,75-79,1,1,0,<0.01,<0.01,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,80+,0,0,0,0.00,0.00,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,All ages,712,712,0,0.14,0.14,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,Not reported,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,Unknown,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,0-15,0,0,0,0.00,0.00,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,16-69,375,375,0,0.11,0.11,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,70-74,3,3,0,0.01,0.01,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,75-79,2,2,0,0.01,0.01,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,80+,0,0,0,0.00,0.00,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,All ages,380,380,0,0.08,0.08,0.00,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,Not reported,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,Unknown,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,0-15,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,16-69,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,70-74,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,75-79,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,80+,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,All ages,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,Not reported,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,Unknown,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,0-15,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,16-69,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,70-74,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,75-79,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,80+,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,All ages,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,Not reported,0,0,0,na,na,na,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,Unknown,0,0,0,na,na,na,,,,,,,,
24,Quebec,Québec,2020-12-19,f,0-15,0,0,0,0.00,0.00,0.00,,,,,,,,
24,Quebec,Québec,2020-12-19,f,16-69,3078,3078,0,0.10,0.10,0.00,,,,,,,,
24,Quebec,Québec,2020-12-19,f,70-74,26,26,0,0.01,0.01,0.00,,,,,,,,
24,Quebec,Québec,2020-12-19,f,75-79,36,36,0,0.02,0.02,0.00,,,,,,,,
24,Quebec,Québec,2020-12-19,f,80+,241,241,0,0.10,0.10,0.00,,,,,,,,
