date,HR,cases,province
2020-04-17,Edmonton Zone,4,Alberta
2020-04-17,North Zone,5,Alberta
2020-04-17,South Zone,22,Alberta
2020-04-18,Calgary Zone,142,Alberta
2020-04-18,Edmonton Zone,3,Alberta
2020-04-18,North Zone,1,Alberta
2020-04-18,South Zone,41,Alberta
2020-04-19,Calgary Zone,154,Alberta
2020-04-19,Central Zone,1,Alberta
2020-04-19,Edmonton Zone,6,Alberta
2020-04-19,North Zone,5,Alberta
2020-04-19,South Zone,35,Alberta
2020-04-20,Calgary Zone,113,Alberta
2020-04-20,Edmonton Zone,12,Alberta
2020-04-20,North Zone,8,Alberta
2020-04-20,South Zone,50,Alberta
2020-04-21,Calgary Zone,163,Alberta
2020-04-21,Central Zone,2,Alberta
2020-04-21,Edmonton Zone,4,Alberta
2020-04-21,North Zone,5,Alberta
2020-04-21,South Zone,90,Alberta
2020-04-22,Calgary Zone,232,Alberta
2020-04-22,Edmonton Zone,4,Alberta
2020-04-22,North Zone,5,Alberta
2020-04-22,South Zone,53,Alberta
2020-04-23,Calgary Zone,234,Alberta
2020-04-23,Central Zone,2,Alberta
2020-04-23,Edmonton Zone,8,Alberta
2020-04-23,North Zone,10,Alberta
2020-04-23,South Zone,86,Alberta
2020-04-24,Calgary Zone,154,Alberta
2020-04-24,Edmonton Zone,12,Alberta
2020-04-24,North Zone,10,Alberta
2020-04-24,South Zone,56,Alberta
2020-04-25,Calgary Zone,134,Alberta
2020-04-25,Edmonton Zone,8,Alberta
2020-04-25,North Zone,7,Alberta
2020-04-25,South Zone,73,Alberta
2020-04-26,Calgary Zone,125,Alberta
2020-04-26,Central Zone,2,Alberta
2020-04-26,Edmonton Zone,4,Alberta
2020-04-26,North Zone,15,Alberta
2020-04-26,South Zone,57,Alberta
2020-04-27,Calgary Zone,113,Alberta
2020-04-27,Edmonton Zone,2,Alberta
2020-04-27,North Zone,7,Alberta
2020-04-27,South Zone,56,Alberta
2020-04-28,Calgary Zone,136,Alberta
2020-04-28,Edmonton Zone,3,Alberta
2020-04-28,North Zone,4,Alberta
2020-04-28,South Zone,106,Alberta
2020-04-29,Calgary Zone,106,Alberta
2020-04-29,Edmonton Zone,2,Alberta
2020-04-29,North Zone,4,Alberta
2020-04-29,South Zone,119,Alberta
2020-04-30,Calgary Zone,86,Alberta
2020-04-30,Edmonton Zone,5,Alberta
2020-04-30,North Zone,5,Alberta
2020-04-30,South Zone,126,Alberta
2020-05-01,Calgary Zone,106,Alberta
2020-05-01,Central Zone,1,Alberta
2020-05-01,Edmonton Zone,1,Alberta
2020-05-01,North Zone,2,Alberta
2020-05-01,South Zone,31,Alberta
2020-05-02,Calgary Zone,92,Alberta
2020-05-02,Edmonton Zone,1,Alberta
2020-05-02,North Zone,1,Alberta
2020-05-02,South Zone,18,Alberta
2020-05-03,Calgary Zone,56,Alberta
2020-05-03,Edmonton Zone,2,Alberta
2020-05-03,North Zone,4,Alberta
2020-05-03,South Zone,8,Alberta
2020-05-04,Calgary Zone,66,Alberta
2020-05-04,Edmonton Zone,1,Alberta
2020-05-04,South Zone,12,Alberta
2020-05-05,Calgary Zone,47,Alberta
2020-05-05,Central Zone,2,Alberta
2020-05-05,Edmonton Zone,3,Alberta
2020-05-05,North Zone,2,Alberta
2020-05-05,South Zone,8,Alberta
2020-05-06,Calgary Zone,55,Alberta
2020-05-06,Central Zone,1,Alberta
2020-05-06,North Zone,2,Alberta
2020-05-06,South Zone,7,Alberta
2020-05-07,Calgary Zone,67,Alberta
2020-05-07,Central Zone,4,Alberta
2020-05-07,Edmonton Zone,2,Alberta
2020-05-07,South Zone,14,Alberta
2020-05-08,Calgary Zone,66,Alberta
2020-05-08,North Zone,2,Alberta
2020-05-08,South Zone,9,Alberta
2020-05-09,Calgary Zone,70,Alberta
2020-05-09,Edmonton Zone,2,Alberta
2020-05-09,North Zone,1,Alberta
2020-05-09,South Zone,12,Alberta
2020-05-10,Calgary Zone,61,Alberta
