date,wave,HR,province,cases
2020-02-05,1,South Vancouver Island,British Columbia,0
2020-02-06,1,Fraser East,British Columbia,0
2020-02-06,1,Fraser North,British Columbia,0
2020-02-06,1,Fraser South,British Columbia,0
2020-02-06,1,East Kootenay,British Columbia,0
2020-02-06,1,Kootenay Boundary,British Columbia,0
2020-02-06,1,Okanagan,British Columbia,0
2020-02-06,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-06,1,Northeast,British Columbia,0
2020-02-06,1,Northern Interior,British Columbia,0
2020-02-06,1,Northwest,British Columbia,0
2020-02-06,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-06,1,Richmond,British Columbia,0
2020-02-06,1,Vancouver,British Columbia,1
2020-02-06,1,Central Vancouver Island,British Columbia,0
2020-02-06,1,North Vancouver Island,British Columbia,0
2020-02-06,1,South Vancouver Island,British Columbia,0
2020-02-07,1,Fraser East,British Columbia,0
2020-02-07,1,Fraser North,British Columbia,0
2020-02-07,1,Fraser South,British Columbia,0
2020-02-07,1,East Kootenay,British Columbia,0
2020-02-07,1,Kootenay Boundary,British Columbia,0
2020-02-07,1,Okanagan,British Columbia,0
2020-02-07,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-07,1,Northeast,British Columbia,0
2020-02-07,1,Northern Interior,British Columbia,0
2020-02-07,1,Northwest,British Columbia,0
2020-02-07,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-07,1,Richmond,British Columbia,0
2020-02-07,1,Vancouver,British Columbia,0
2020-02-07,1,Central Vancouver Island,British Columbia,0
2020-02-07,1,North Vancouver Island,British Columbia,0
2020-02-07,1,South Vancouver Island,British Columbia,0
2020-02-08,1,Fraser East,British Columbia,0
2020-02-08,1,Fraser North,British Columbia,0
2020-02-08,1,Fraser South,British Columbia,0
2020-02-08,1,East Kootenay,British Columbia,0
2020-02-08,1,Kootenay Boundary,British Columbia,0
2020-02-08,1,Okanagan,British Columbia,0
2020-02-08,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-08,1,Northeast,British Columbia,0
2020-02-08,1,Northern Interior,British Columbia,0
2020-02-08,1,Northwest,British Columbia,0
2020-02-08,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-08,1,Richmond,British Columbia,0
2020-02-08,1,Vancouver,British Columbia,0
2020-02-08,1,Central Vancouver Island,British Columbia,0
2020-02-08,1,North Vancouver Island,British Columbia,0
2020-02-08,1,South Vancouver Island,British Columbia,0
2020-02-09,1,Fraser East,British Columbia,0
2020-02-09,1,Fraser North,British Columbia,0
2020-02-09,1,Fraser South,British Columbia,0
2020-02-09,1,East Kootenay,British Columbia,0
2020-02-09,1,Kootenay Boundary,British Columbia,0
2020-02-09,1,Okanagan,British Columbia,0
2020-02-09,1,Thompson Cariboo Shuswap,British Columbia,0
2020-02-09,1,Northeast,British Columbia,0
2020-02-09,1,Northern Interior,British Columbia,0
2020-02-09,1,Northwest,British Columbia,0
2020-02-09,1,North Shore/Coast Garibaldi,British Columbia,0
2020-02-09,1,Richmond,British Columbia,0
2020-02-09,1,Vancouver,British Columbia,0
2020-02-09,1,Central Vancouver Island,British Columbia,0
2020-02-09,1,North Vancouver Island,British Columbia,0
2020-02-09,1,South Vancouver Island,British Columbia,0
2020-02-10,1,Fraser East,British Columbia,0
2020-02-10,1,Fraser North,British Columbia,0
2020-02-10,1,Fraser South,British Columbia,0
2020-02-10,1,East Kootenay,British Columbia,0
