province,HRUID2018,HR,pruid,wave,incidence,VIs,PROV_vaxx_AL1D,EIs,LIs,PHU_population,is_cma,is_ca,is_miz_strong,is_miz_moderate,is_miz_weak,is_miz_none,LTCHs,PROV_population,PHU_pop_density,group_0_to_4,group_5_to_19,group_20_to_49,group_50_to_64,group_65_plus,interaction_children_school_closures,interaction_popdensity_cma,interaction_popdensity_ca,interaction_popdensity_strong,interaction_popdensity_moderate,interaction_popdensity_weak,interaction_popdensity_none,interaction_lockdown_0_to_4,interaction_lockdown_5_to_19,interaction_lockdown_20_to_49,interaction_lockdown_50_to_64,interaction_lockdown_65_plus,previous_wave_incidence,interaction_vaccination_0_to_4,interaction_vaccination_5_to_19,interaction_vaccination_20_to_49,interaction_vaccination_50_to_64,interaction_vaccination_65_plus,log_previous_wave_incidence
Alberta,4832,Calgary,48,4,31380,2,6545324,2,2,1572545,9,4,11,15,0,0,1,4173595,37.2124328602847,99500,287320,701295,304250,180180,574640,334.911895742563,148.849731441139,409.336761463132,558.186492904271,0,0,199000,574640,1402590,608500,360360,44230,156042.869037365,450595.348058448,1099819.93810612,477146.159845409,282570.895911079,10.6971585708624
Alberta,4833,Central,48,4,17849,2,6545324,2,2,487410,1,8,29,41,24,0,4,4173595,4.01477614797428,31095,93745,186855,102410,73305,187490,4.01477614797428,32.1182091837942,116.428508291254,164.605822066945,96.3546275513827,0,62190,187490,373710,204820,146610,10742,48765.3569117272,147017.474953847,293039.098431927,160606.534855442,114962.035324462,9.28191657046541
Alberta,4834,Edmonton,48,4,27789,2,6545324,2,2,1349490,34,0,0,0,1,0,1,4173595,42.9099433891306,86795,239615,599135,257600,166345,479230,1458.93807523044,0,0,0,42.9099433891306,0,173590,479230,1198270,515200,332690,24416,136117.99817184,375781.025772745,939605.470760819,403986.362452514,260873.879899703,10.1029939340842
Alberta,4835,North,48,4,20266,2,6545324,2,2,461810,2,12,10,35,39,0,0,4173595,1.10911829608401,35055,93535,197445,88395,47380,187070,2.21823659216803,13.3094195530082,11.0911829608401,38.8191403629405,43.2556135472766,0,70110,187070,394890,176790,94760,14906,54975.7062724102,146688.138245326,309647.078161633,138627.230236762,74304.634522516,9.60951909544164
British Columbia,5911,East Kootenay,59,4,1994,2,8351786,2,2,80865,0,4,1,7,11,0,18,4744900,1.77462753219727,3950,12610,27240,19895,17170,25220,0,7.09851012878907,1.77462753219727,12.4223927253809,19.5209028541699,0,7900,25220,54480,39790,34340,626,6952.63434424329,22195.6250837742,47946.7745663765,35018.395007271,30221.9573900398,6.4393503711001
British Columbia,5912,Kootenay-Boundary,59,4,1903,2,8351786,2,2,86280,1,3,0,15,14,0,25,4744900,2.15973073299527,3590,12540,27355,22805,19990,25080,2.15973073299527,6.4791921989858,0,32.395960994929,30.2362302619337,0,7180,25080,54710,45610,39980,377,6318.97653059074,22072.4138422306,48149.1930346267,40140.4623342958,35185.6102636515,5.93224518744801
British Columbia,5913,Okanagan,59,4,10973,2,8351786,2,2,369510,10,10,6,12,4,0,80,4744900,14.6405159513166,15430,53900,120820,89605,89755,107800,146.405159513166,146.405159513166,87.8430957078998,175.6861914158,58.5620638052665,0,30860,107800,241640,179210,179510,3934,27159.2779573858,94872.6559885351,212662.602904171,157719.189978714,157983.214067736,8.277411998949
British Columbia,5914,Thompson Cariboo Shuswap,59,4,6646,2,8351786,2,2,228195,0,25,7,29,11,0,53,4744900,1.69440287551274,10560,34505,76510,57040,49580,69010,0,42.3600718878185,11.8608201285892,49.1376833898694,18.6384316306401,0,21120,69010,153020,114080,99160,1197,18587.2958671416,60734.3412780038,134669.887007102,100399.56025206,87268.7622247044,7.08757370555797
British Columbia,5921,Fraser East,59,4,8037,2,8351786,2,2,297650,4,23,7,4,0,0,60,4744900,18.3922972880627,17180,54640,109970,62175,53685,109280,73.5691891522508,423.022837625442,128.746081016439,73.5691891522508,0,0,34360,109280,219940,124350,107370,6425,30239.5589959746,96175.1748277097,193564.86046492,109437.984899576,94494.221460937,8.76795190976342
British Columbia,5922,Fraser North,59,4,7153,2,8351786,2,2,656605,15,0,1,0,0,0,106,4744900,177.653261417294,32420,105655,281000,141925,95605,211310,2664.79892125941,0,177.653261417294,0,0,0,64840,211310,562000,283850,191210,10812,57064.4064405994,185969.767504057,494605.126767687,249810.792229552,168280.15353959,9.28841190739634
British Columbia,5923,Fraser South,59,4,9955,2,8351786,2,2,800945,13,0,0,0,0,0,116,4744900,463.897453819586,43000,148635,319735,164910,124665,297270,6030.66689965461,0,0,0,0,0,86000,297270,639470,329820,249330,22585,75686.9055196105,261621.469811798,562784.947356109,290268.083470674,219430.420386099,10.0250412480887
British Columbia,5931,Richmond,59,4,1090,2,8351786,2,2,198310,1,0,0,0,0,0,36,4744900,1308.52913629609,8905,29865,79350,46545,33645,59730,1308.52913629609,0,0,0,0,0,17810,59730,158700,93090,67290,2112,15674.2300849333,52567.1961242597,139668.743092584,81926.6748234947,59220.6031676115,7.65539064482615
British Columbia,5932,Vancouver,59,4,7007,2,8351786,2,2,649295,3,0,0,0,0,0,99,4744900,658.917897114147,25490,78050,317750,128585,99420,156100,1976.75369134244,0,0,0,0,0,50980,156100,635500,257170,198840,10910,44866.4935277877,137380.534321061,559291.028578052,226330.249912538,174995.166203713,9.29743507882712
British Columbia,5933,North Shore/Coast Garibaldi,59,4,2663,2,8351786,2,2,300655,10,10,2,13,6,0,76,4744900,4.29680418468271,13330,50190,111660,67820,57655,100380,42.9680418468271,42.9680418468271,8.59360836936543,55.8584544008753,25.7808251080963,0,26660,100380,223320,135640,115310,4376,23462.9407110793,88342.4601867268,196539.5318679,119374.091449767,101482.05901705,8.38389034410182
British Columbia,5941,South Vancouver Island,59,4,3510,2,8351786,2,2,383375,22,0,0,2,0,0,112,4744900,161.397407019424,16125,52765,144660,86720,83105,105530,3550.74295442734,0,0,322.794814038849,0,0,32250,105530,289320,173440,166210,1391,28382.589569854,92874.873714936,254624.831452718,152641.126666526,146278.146121098,7.23777819192344
British Columbia,5942,Central Vancouver Island,59,4,4019,2,8351786,2,2,270225,0,30,12,7,2,0,64,4744900,21.4499383523179,11510,39015,83665,67100,68935,78030,0,643.498150569536,257.399260227814,150.149568466225,42.8998767046357,0,23020,78030,167330,134200,137870,1186,20259.4484309469,68672.6655545955,147263.836053447,118106.775822462,121336.670511497,7.07834157955767
British Columbia,5943,North Vancouver Island,59,4,1621,2,8351786,2,2,122160,0,10,2,8,7,0,23,4744900,3.00326886537169,5435,18770,37955,31465,28535,37540,0,30.0326886537169,6.00653773074338,24.0261509229735,21.0228820576018,0,10870,37540,75910,62930,57070,348,9566.47282556007,33038.2143396067,66806.8953255074,55383.4530738266,50226.1825349323,5.85220247977447
British Columbia,5951,Northwest,59,4,2391,2,8351786,2,2,74925,0,5,2,9,16,0,11,4744900,0.288950723945003,4315,14105,27820,17460,11225,28210,0,1.44475361972501,0.577901447890006,2.60055651550503,4.62321158312005,0,8630,28210,55640,34920,22450,1208,7595.09296086324,24827.0651710257,48967.6677105945,30732.4039621488,19757.8026618053,7.09672137849476
British Columbia,5952,Northern Interior,59,4,5210,2,8351786,2,2,151875,0,22,0,9,12,0,22,4744900,0.627214498232551,8585,28060,57535,34780,22915,56120,0,13.7987189611161,0,5.64493048409296,7.52657397879061,0,17170,56120,115070,69560,45830,674,15110.9786950199,49390.1062530296,101270.839745832,61218.3854412106,40334.0799995785,6.51323011091231
British Columbia,5953,Northeast,59,4,2792,2,8351786,2,2,74030,0,4,2,6,4,0,11,4744900,0.237321297428783,5745,15180,31585,14020,7500,30360,0,0.949285189715131,0.474642594857566,1.4239277845727,0.949285189715131,0,11490,30360,63170,28040,15000,1438,10112.1226095387,26719.237809016,55594.6723450442,24677.45152058,13201.2044510949,7.27100853828099
Yukon,6001,Yukon,60,4,1099,2,66886,2,2,35745,0,7,0,0,0,29,6,35745,0.0784420227250235,2130,6050,15020,8335,4210,12100,0,0.549094159075164,0,0,0,2.27481865902568,4260,12100,30040,16670,8420,450,3985.65337809484,11320.7525528046,28105.4055112603,15596.4417401035,7877.74681773675,6.10924758276437
Northwest Territories,6101,Northwest Territories,61,4,1954,2,62914,2,2,41710,0,1,0,0,0,40,0,41710,0.0326568941838404,3130,8440,18830,8105,3205,16880,0,0.0326568941838404,0,0,0,1.30627576735362,6260,16880,37660,16210,6410,81,4721.18964277152,12730.619995205,28402.5562215296,12225.3169503716,4834.31719012227,4.39444915467244
Nunavut,6201,Nunavut,62,4,19,2,53066,2,2,35980,0,0,0,0,0,31,0,35980,0.01789545241092,4165,10670,15510,4240,1395,21340,0,0,0,0,0,0.554759024738521,8330,21340,31020,8480,2790,306,6142.85408560311,15736.9155086159,22875.310172318,6253.46970539188,2057.45052807115,5.72358510195238
