date,HR,cases,province
2020-08-08,South West,1,Saskatchewan
2020-08-08,South West,0,Saskatchewan
2020-08-08,South Central,4,Saskatchewan
2020-08-08,South Central,1,Saskatchewan
2020-08-08,South East,0,Saskatchewan
2020-08-08,South East,0,Saskatchewan
2020-08-08,South East,0,Saskatchewan
2020-08-08,South East,0,Saskatchewan
2020-08-09,Far North West,0,Saskatchewan
2020-08-09,Far North West,0,Saskatchewan
2020-08-09,Far North Central,0,Saskatchewan
2020-08-09,Far North East,0,Saskatchewan
2020-08-09,Far North East,0,Saskatchewan
2020-08-09,North West,0,Saskatchewan
2020-08-09,North West,0,Saskatchewan
2020-08-09,North West,1,Saskatchewan
2020-08-09,North West,0,Saskatchewan
2020-08-09,North Central,0,Saskatchewan
2020-08-09,North Central,0,Saskatchewan
2020-08-09,North Central,0,Saskatchewan
2020-08-09,North East,0,Saskatchewan
2020-08-09,North East,0,Saskatchewan
2020-08-09,North East,0,Saskatchewan
2020-08-09,Saskatoon,1,Saskatchewan
2020-08-09,Central West,0,Saskatchewan
2020-08-09,Central West,1,Saskatchewan
2020-08-09,Central East,0,Saskatchewan
2020-08-09,Central East,0,Saskatchewan
2020-08-09,Central East,0,Saskatchewan
2020-08-09,Central East,0,Saskatchewan
2020-08-09,Central East,0,Saskatchewan
2020-08-09,Regina,5,Saskatchewan
2020-08-09,South West,1,Saskatchewan
2020-08-09,South West,2,Saskatchewan
2020-08-09,South Central,3,Saskatchewan
2020-08-09,South Central,0,Saskatchewan
2020-08-09,South East,0,Saskatchewan
2020-08-09,South East,0,Saskatchewan
2020-08-09,South East,0,Saskatchewan
2020-08-09,South East,0,Saskatchewan
2020-08-10,Far North West,0,Saskatchewan
2020-08-10,Far North West,0,Saskatchewan
2020-08-10,Far North Central,0,Saskatchewan
2020-08-10,Far North East,0,Saskatchewan
2020-08-10,Far North East,0,Saskatchewan
2020-08-10,North West,0,Saskatchewan
2020-08-10,North West,0,Saskatchewan
2020-08-10,North West,0,Saskatchewan
2020-08-10,North West,0,Saskatchewan
2020-08-10,North Central,0,Saskatchewan
2020-08-10,North Central,0,Saskatchewan
2020-08-10,North Central,0,Saskatchewan
2020-08-10,North East,0,Saskatchewan
2020-08-10,North East,0,Saskatchewan
2020-08-10,North East,0,Saskatchewan
2020-08-10,Saskatoon,1,Saskatchewan
2020-08-10,Central West,0,Saskatchewan
2020-08-10,Central West,0,Saskatchewan
2020-08-10,Central East,0,Saskatchewan
2020-08-10,Central East,0,Saskatchewan
2020-08-10,Central East,0,Saskatchewan
2020-08-10,Central East,0,Saskatchewan
2020-08-10,Central East,0,Saskatchewan
2020-08-10,Regina,3,Saskatchewan
2020-08-10,South West,0,Saskatchewan
2020-08-10,South West,0,Saskatchewan
2020-08-10,South Central,1,Saskatchewan
2020-08-10,South Central,0,Saskatchewan
2020-08-10,South East,0,Saskatchewan
2020-08-10,South East,0,Saskatchewan
2020-08-10,South East,0,Saskatchewan
2020-08-10,South East,0,Saskatchewan
2020-08-11,Far North West,0,Saskatchewan
2020-08-11,Far North West,0,Saskatchewan
2020-08-11,Far North Central,0,Saskatchewan
2020-08-11,Far North East,0,Saskatchewan
2020-08-11,Far North East,0,Saskatchewan
2020-08-11,North West,0,Saskatchewan
2020-08-11,North West,0,Saskatchewan
2020-08-11,North West,1,Saskatchewan
2020-08-11,North West,0,Saskatchewan
2020-08-11,North Central,0,Saskatchewan
2020-08-11,North Central,0,Saskatchewan
2020-08-11,North Central,0,Saskatchewan
2020-08-11,North East,0,Saskatchewan
2020-08-11,North East,0,Saskatchewan
2020-08-11,North East,1,Saskatchewan
2020-08-11,Saskatoon,17,Saskatchewan
2020-08-11,Central West,0,Saskatchewan
2020-08-11,Central West,0,Saskatchewan
2020-08-11,Central East,0,Saskatchewan
2020-08-11,Central East,0,Saskatchewan
2020-08-11,Central East,0,Saskatchewan
2020-08-11,Central East,0,Saskatchewan
2020-08-11,Central East,0,Saskatchewan
2020-08-11,Regina,4,Saskatchewan
2020-08-11,South West,2,Saskatchewan
2020-08-11,South West,2,Saskatchewan
2020-08-11,South Central,3,Saskatchewan
2020-08-11,South Central,0,Saskatchewan
2020-08-11,South East,0,Saskatchewan
2020-08-11,South East,0,Saskatchewan
2020-08-11,South East,0,Saskatchewan
2020-08-11,South East,0,Saskatchewan
2020-08-12,Far North West,0,Saskatchewan
2020-08-12,Far North West,0,Saskatchewan
2020-08-12,Far North Central,0,Saskatchewan
2020-08-12,Far North East,0,Saskatchewan
2020-08-12,Far North East,0,Saskatchewan
2020-08-12,North West,0,Saskatchewan
2020-08-12,North West,0,Saskatchewan
2020-08-12,North West,0,Saskatchewan
2020-08-12,North West,0,Saskatchewan
2020-08-12,North Central,0,Saskatchewan
2020-08-12,North Central,1,Saskatchewan
2020-08-12,North Central,0,Saskatchewan
2020-08-12,North East,0,Saskatchewan
2020-08-12,North East,0,Saskatchewan
2020-08-12,North East,0,Saskatchewan
2020-08-12,Saskatoon,0,Saskatchewan
2020-08-12,Central West,0,Saskatchewan
2020-08-12,Central West,0,Saskatchewan
2020-08-12,Central East,0,Saskatchewan
2020-08-12,Central East,0,Saskatchewan
2020-08-12,Central East,0,Saskatchewan
2020-08-12,Central East,0,Saskatchewan
2020-08-12,Central East,0,Saskatchewan
2020-08-12,Regina,4,Saskatchewan
2020-08-12,South West,0,Saskatchewan
2020-08-12,South West,0,Saskatchewan
2020-08-12,South Central,0,Saskatchewan
2020-08-12,South Central,0,Saskatchewan
2020-08-12,South East,0,Saskatchewan
2020-08-12,South East,0,Saskatchewan
2020-08-12,South East,0,Saskatchewan
2020-08-12,South East,0,Saskatchewan
2020-08-13,Far North West,0,Saskatchewan
2020-08-13,Far North West,0,Saskatchewan
2020-08-13,Far North Central,0,Saskatchewan
2020-08-13,Far North East,0,Saskatchewan
2020-08-13,Far North East,0,Saskatchewan
2020-08-13,North West,0,Saskatchewan
2020-08-13,North West,0,Saskatchewan
2020-08-13,North West,0,Saskatchewan
2020-08-13,North West,0,Saskatchewan
2020-08-13,North Central,0,Saskatchewan
2020-08-13,North Central,0,Saskatchewan
2020-08-13,North Central,0,Saskatchewan
2020-08-13,North East,0,Saskatchewan
2020-08-13,North East,0,Saskatchewan
2020-08-13,North East,0,Saskatchewan
2020-08-13,Saskatoon,3,Saskatchewan
2020-08-13,Central West,0,Saskatchewan
2020-08-13,Central West,0,Saskatchewan
2020-08-13,Central East,0,Saskatchewan
2020-08-13,Central East,0,Saskatchewan
2020-08-13,Central East,0,Saskatchewan
2020-08-13,Central East,0,Saskatchewan
2020-08-13,Central East,0,Saskatchewan
2020-08-13,Regina,2,Saskatchewan
2020-08-13,South West,0,Saskatchewan
2020-08-13,South West,18,Saskatchewan
2020-08-13,South Central,4,Saskatchewan
2020-08-13,South Central,0,Saskatchewan
2020-08-13,South East,0,Saskatchewan
2020-08-13,South East,0,Saskatchewan
2020-08-13,South East,0,Saskatchewan
2020-08-13,South East,0,Saskatchewan
2020-08-14,Far North West,0,Saskatchewan
2020-08-14,Far North West,0,Saskatchewan
2020-08-14,Far North Central,0,Saskatchewan
2020-08-14,Far North East,0,Saskatchewan
2020-08-14,Far North East,0,Saskatchewan
2020-08-14,North West,0,Saskatchewan
2020-08-14,North West,0,Saskatchewan
2020-08-14,North West,0,Saskatchewan
2020-08-14,North West,0,Saskatchewan
2020-08-14,North Central,1,Saskatchewan
2020-08-14,North Central,0,Saskatchewan
2020-08-14,North Central,0,Saskatchewan
2020-08-14,North East,0,Saskatchewan
2020-08-14,North East,0,Saskatchewan
2020-08-14,North East,0,Saskatchewan
2020-08-14,Saskatoon,0,Saskatchewan
2020-08-14,Central West,0,Saskatchewan
2020-08-14,Central West,0,Saskatchewan
2020-08-14,Central East,0,Saskatchewan
2020-08-14,Central East,0,Saskatchewan
2020-08-14,Central East,0,Saskatchewan
2020-08-14,Central East,0,Saskatchewan
2020-08-14,Central East,0,Saskatchewan
2020-08-14,Regina,0,Saskatchewan
2020-08-14,South West,1,Saskatchewan
2020-08-14,South West,22,Saskatchewan
2020-08-14,South Central,6,Saskatchewan
2020-08-14,South Central,0,Saskatchewan
2020-08-14,South East,0,Saskatchewan
2020-08-14,South East,0,Saskatchewan
2020-08-14,South East,0,Saskatchewan
2020-08-14,South East,0,Saskatchewan
2020-08-15,Far North West,0,Saskatchewan
2020-08-15,Far North West,0,Saskatchewan
2020-08-15,Far North Central,0,Saskatchewan
2020-08-15,Far North East,0,Saskatchewan
2020-08-15,Far North East,0,Saskatchewan
2020-08-15,North West,0,Saskatchewan
2020-08-15,North West,0,Saskatchewan
2020-08-15,North West,16,Saskatchewan
2020-08-15,North West,1,Saskatchewan
2020-08-15,North Central,0,Saskatchewan
2020-08-15,North Central,0,Saskatchewan
2020-08-15,North Central,0,Saskatchewan
2020-08-15,North East,0,Saskatchewan
2020-08-15,North East,0,Saskatchewan
2020-08-15,North East,0,Saskatchewan
2020-08-15,Saskatoon,2,Saskatchewan
2020-08-15,Central West,0,Saskatchewan
2020-08-15,Central West,6,Saskatchewan
2020-08-15,Central East,0,Saskatchewan
2020-08-15,Central East,0,Saskatchewan
2020-08-15,Central East,0,Saskatchewan
2020-08-15,Central East,0,Saskatchewan
2020-08-15,Central East,0,Saskatchewan
2020-08-15,Regina,0,Saskatchewan
2020-08-15,South West,0,Saskatchewan
2020-08-15,South West,0,Saskatchewan
2020-08-15,South Central,0,Saskatchewan
2020-08-15,South Central,0,Saskatchewan
2020-08-15,South East,0,Saskatchewan
