cases,cumulative_cases,date_report,health_region,province
5,4912,2020-06-02,Calgary,Alberta
14,4926,2020-06-03,Calgary,Alberta
10,4936,2020-06-04,Calgary,Alberta
0,4936,2020-06-05,Calgary,Alberta
17,4953,2020-06-06,Calgary,Alberta
0,4953,2020-06-07,Calgary,Alberta
23,4976,2020-06-08,Calgary,Alberta
17,4993,2020-06-09,Calgary,Alberta
23,5016,2020-06-10,Calgary,Alberta
23,5039,2020-06-11,Calgary,Alberta
11,5050,2020-06-12,Calgary,Alberta
19,5069,2020-06-13,Calgary,Alberta
18,5087,2020-06-14,Calgary,Alberta
7,5094,2020-06-15,Calgary,Alberta
11,5105,2020-06-16,Calgary,Alberta
21,5126,2020-06-17,Calgary,Alberta
17,5143,2020-06-18,Calgary,Alberta
20,5163,2020-06-19,Calgary,Alberta
19,5182,2020-06-20,Calgary,Alberta
6,5188,2020-06-21,Calgary,Alberta
21,5209,2020-06-22,Calgary,Alberta
13,5222,2020-06-23,Calgary,Alberta
9,5231,2020-06-24,Calgary,Alberta
8,5239,2020-06-25,Calgary,Alberta
15,5254,2020-06-26,Calgary,Alberta
36,5290,2020-06-27,Calgary,Alberta
9,5299,2020-06-28,Calgary,Alberta
34,5333,2020-06-29,Calgary,Alberta
19,5352,2020-06-30,Calgary,Alberta
0,5352,2020-07-01,Calgary,Alberta
28,5380,2020-07-02,Calgary,Alberta
4,5384,2020-07-03,Calgary,Alberta
0,5384,2020-07-04,Calgary,Alberta
0,5384,2020-07-05,Calgary,Alberta
56,5440,2020-07-06,Calgary,Alberta
12,5452,2020-07-07,Calgary,Alberta
14,5466,2020-07-08,Calgary,Alberta
19,5485,2020-07-09,Calgary,Alberta
31,5516,2020-07-10,Calgary,Alberta
0,5516,2020-07-11,Calgary,Alberta
0,5516,2020-07-12,Calgary,Alberta
108,5624,2020-07-13,Calgary,Alberta
34,5658,2020-07-14,Calgary,Alberta
31,5689,2020-07-15,Calgary,Alberta
61,5750,2020-07-16,Calgary,Alberta
38,5788,2020-07-17,Calgary,Alberta
0,5788,2020-07-18,Calgary,Alberta
0,5788,2020-07-19,Calgary,Alberta
208,5996,2020-07-20,Calgary,Alberta
58,6054,2020-07-21,Calgary,Alberta
73,6127,2020-07-22,Calgary,Alberta
60,6187,2020-07-23,Calgary,Alberta
55,6242,2020-07-24,Calgary,Alberta
0,6242,2020-07-25,Calgary,Alberta
0,6242,2020-07-26,Calgary,Alberta
136,6378,2020-07-27,Calgary,Alberta
29,6407,2020-07-28,Calgary,Alberta
43,6450,2020-07-29,Calgary,Alberta
20,6470,2020-07-30,Calgary,Alberta
39,6509,2020-07-31,Calgary,Alberta
0,6509,2020-08-01,Calgary,Alberta
0,6509,2020-08-02,Calgary,Alberta
0,6509,2020-08-03,Calgary,Alberta
102,6611,2020-08-04,Calgary,Alberta
30,6641,2020-08-05,Calgary,Alberta
14,6655,2020-08-06,Calgary,Alberta
35,6690,2020-08-07,Calgary,Alberta
0,6690,2020-08-08,Calgary,Alberta
0,6690,2020-08-09,Calgary,Alberta
86,6776,2020-08-10,Calgary,Alberta
11,6787,2020-08-11,Calgary,Alberta
13,6800,2020-08-12,Calgary,Alberta
34,6834,2020-08-13,Calgary,Alberta
22,6856,2020-08-14,Calgary,Alberta
0,6856,2020-08-15,Calgary,Alberta
0,6856,2020-08-16,Calgary,Alberta
64,6920,2020-08-17,Calgary,Alberta
18,6938,2020-08-18,Calgary,Alberta
21,6959,2020-08-19,Calgary,Alberta
33,6992,2020-08-20,Calgary,Alberta
39,7031,2020-08-21,Calgary,Alberta
0,7031,2020-08-22,Calgary,Alberta
0,7031,2020-08-23,Calgary,Alberta
112,7143,2020-08-24,Calgary,Alberta
18,7161,2020-08-25,Calgary,Alberta
49,7210,2020-08-26,Calgary,Alberta
38,7248,2020-08-27,Calgary,Alberta
95,7343,2020-08-28,Calgary,Alberta
0,7343,2020-08-29,Calgary,Alberta
0,7343,2020-08-30,Calgary,Alberta
187,7530,2020-08-31,Calgary,Alberta
71,7601,2020-09-01,Calgary,Alberta
35,7636,2020-09-02,Calgary,Alberta
50,7686,2020-09-03,Calgary,Alberta
54,7740,2020-09-04,Calgary,Alberta
0,7740,2020-09-05,Calgary,Alberta
0,7740,2020-09-06,Calgary,Alberta
0,7740,2020-09-07,Calgary,Alberta
215,7955,2020-09-08,Calgary,Alberta
22,7977,2020-09-09,Calgary,Alberta
23,8000,2020-09-10,Calgary,Alberta
31,8031,2020-09-11,Calgary,Alberta
0,8031,2020-09-12,Calgary,Alberta
0,8031,2020-09-13,Calgary,Alberta
147,8178,2020-09-14,Calgary,Alberta
35,8213,2020-09-15,Calgary,Alberta
41,8254,2020-09-16,Calgary,Alberta
32,8286,2020-09-17,Calgary,Alberta
42,8328,2020-09-18,Calgary,Alberta
0,8328,2020-09-19,Calgary,Alberta
0,8328,2020-09-20,Calgary,Alberta
106,8434,2020-09-21,Calgary,Alberta
39,8473,2020-09-22,Calgary,Alberta
53,8526,2020-09-23,Calgary,Alberta
63,8589,2020-09-24,Calgary,Alberta
61,8650,2020-09-25,Calgary,Alberta
0,8650,2020-09-26,Calgary,Alberta
0,8650,2020-09-27,Calgary,Alberta
144,8794,2020-09-28,Calgary,Alberta
64,8858,2020-09-29,Calgary,Alberta
64,8922,2020-09-30,Calgary,Alberta
42,8964,2020-10-01,Calgary,Alberta
22,8986,2020-10-02,Calgary,Alberta
0,8986,2020-10-03,Calgary,Alberta
0,8986,2020-10-04,Calgary,Alberta
173,9159,2020-10-05,Calgary,Alberta
78,9237,2020-10-06,Calgary,Alberta
