province,date,HR,cases
New Brunswick,2020-05-30,Not Reported,0
New Brunswick,2020-05-31,Not Reported,0
New Brunswick,2020-06-01,Not Reported,0
New Brunswick,2020-06-02,Not Reported,0
New Brunswick,2020-06-03,Not Reported,0
New Brunswick,2020-06-04,Not Reported,0
New Brunswick,2020-06-05,Not Reported,0
New Brunswick,2020-06-06,Not Reported,0
New Brunswick,2020-06-07,Not Reported,0
New Brunswick,2020-06-08,Not Reported,0
New Brunswick,2020-06-09,Not Reported,0
New Brunswick,2020-06-10,Not Reported,0
New Brunswick,2020-06-11,Not Reported,0
New Brunswick,2020-06-12,Not Reported,0
New Brunswick,2020-06-13,Not Reported,0
New Brunswick,2020-06-14,Not Reported,0
New Brunswick,2020-06-15,Not Reported,0
New Brunswick,2020-06-16,Not Reported,0
New Brunswick,2020-06-17,Not Reported,0
New Brunswick,2020-06-18,Not Reported,0
New Brunswick,2020-06-19,Not Reported,0
New Brunswick,2020-06-20,Not Reported,0
New Brunswick,2020-06-21,Not Reported,0
New Brunswick,2020-06-22,Not Reported,0
New Brunswick,2020-06-23,Not Reported,0
New Brunswick,2020-06-24,Not Reported,0
New Brunswick,2020-06-25,Not Reported,0
New Brunswick,2020-06-26,Not Reported,0
New Brunswick,2020-06-27,Not Reported,0
New Brunswick,2020-06-28,Not Reported,0
New Brunswick,2020-06-29,Not Reported,0
New Brunswick,2020-06-30,Not Reported,0
New Brunswick,2020-07-01,Not Reported,0
New Brunswick,2020-07-02,Not Reported,0
New Brunswick,2020-07-03,Not Reported,0
New Brunswick,2020-07-04,Not Reported,0
New Brunswick,2020-07-05,Not Reported,0
New Brunswick,2020-07-06,Not Reported,0
New Brunswick,2020-07-07,Not Reported,0
New Brunswick,2020-07-08,Not Reported,0
New Brunswick,2020-07-09,Not Reported,0
New Brunswick,2020-07-10,Not Reported,0
New Brunswick,2020-07-11,Not Reported,0
New Brunswick,2020-07-12,Not Reported,0
New Brunswick,2020-07-13,Not Reported,0
New Brunswick,2020-07-14,Not Reported,0
New Brunswick,2020-07-15,Not Reported,0
New Brunswick,2020-07-16,Not Reported,0
New Brunswick,2020-07-17,Not Reported,0
New Brunswick,2020-07-18,Not Reported,0
New Brunswick,2020-07-19,Not Reported,0
New Brunswick,2020-07-20,Not Reported,0
New Brunswick,2020-07-21,Not Reported,0
New Brunswick,2020-07-22,Not Reported,0
New Brunswick,2020-07-23,Not Reported,0
New Brunswick,2020-07-24,Not Reported,0
New Brunswick,2020-07-25,Not Reported,0
New Brunswick,2020-07-26,Not Reported,0
New Brunswick,2020-07-27,Not Reported,0
New Brunswick,2020-07-28,Not Reported,0
New Brunswick,2020-07-29,Not Reported,0
New Brunswick,2020-07-30,Not Reported,0
New Brunswick,2020-07-31,Not Reported,0
New Brunswick,2020-08-01,Not Reported,0
New Brunswick,2020-08-02,Not Reported,0
New Brunswick,2020-08-03,Not Reported,0
New Brunswick,2020-08-04,Not Reported,0
New Brunswick,2020-08-05,Not Reported,0
New Brunswick,2020-08-06,Not Reported,0
New Brunswick,2020-08-07,Not Reported,0
New Brunswick,2020-08-08,Not Reported,0
New Brunswick,2020-08-09,Not Reported,0
New Brunswick,2020-08-10,Not Reported,0
New Brunswick,2020-08-11,Not Reported,0
New Brunswick,2020-08-12,Not Reported,0
New Brunswick,2020-08-13,Not Reported,0
New Brunswick,2020-08-14,Not Reported,0
New Brunswick,2020-08-15,Not Reported,0
New Brunswick,2020-08-16,Not Reported,0
New Brunswick,2020-08-17,Not Reported,0
New Brunswick,2020-08-18,Not Reported,0
New Brunswick,2020-08-19,Not Reported,0
New Brunswick,2020-08-20,Not Reported,0
New Brunswick,2020-08-21,Not Reported,0
New Brunswick,2020-08-22,Not Reported,0
New Brunswick,2020-08-23,Not Reported,0
New Brunswick,2020-08-24,Not Reported,0
New Brunswick,2020-08-25,Not Reported,0
New Brunswick,2020-08-26,Not Reported,0
New Brunswick,2020-08-27,Not Reported,0
New Brunswick,2020-08-28,Not Reported,0
New Brunswick,2020-08-29,Not Reported,0
New Brunswick,2020-08-30,Not Reported,0
New Brunswick,2020-08-31,Not Reported,0
New Brunswick,2020-09-01,Not Reported,0
New Brunswick,2020-09-02,Not Reported,0
New Brunswick,2020-09-03,Not Reported,0
New Brunswick,2020-09-04,Not Reported,0
New Brunswick,2020-09-05,Not Reported,0
New Brunswick,2020-09-06,Not Reported,0
New Brunswick,2020-09-07,Not Reported,0
New Brunswick,2020-09-08,Not Reported,0
New Brunswick,2020-09-09,Not Reported,0
New Brunswick,2020-09-10,Not Reported,0
New Brunswick,2020-09-11,Not Reported,0
New Brunswick,2020-09-12,Not Reported,0
New Brunswick,2020-09-13,Not Reported,0
New Brunswick,2020-09-14,Not Reported,0
New Brunswick,2020-09-15,Not Reported,0
New Brunswick,2020-09-16,Not Reported,0
New Brunswick,2020-09-17,Not Reported,0
New Brunswick,2020-09-18,Not Reported,0
New Brunswick,2020-09-19,Not Reported,0
New Brunswick,2020-09-20,Not Reported,0
New Brunswick,2020-09-21,Not Reported,0
New Brunswick,2020-09-22,Not Reported,0
New Brunswick,2020-09-23,Not Reported,0
New Brunswick,2020-09-24,Not Reported,0
New Brunswick,2020-09-25,Not Reported,0
New Brunswick,2020-09-26,Not Reported,0
New Brunswick,2020-09-27,Not Reported,0
New Brunswick,2020-09-28,Not Reported,0
New Brunswick,2020-09-29,Not Reported,0
New Brunswick,2020-09-30,Not Reported,0
New Brunswick,2020-10-01,Not Reported,0
New Brunswick,2020-10-02,Not Reported,0
New Brunswick,2020-10-03,Not Reported,0
New Brunswick,2020-10-04,Not Reported,0
New Brunswick,2020-10-05,Not Reported,0
New Brunswick,2020-10-06,Not Reported,0
New Brunswick,2020-10-07,Not Reported,0
New Brunswick,2020-10-08,Not Reported,0
New Brunswick,2020-10-09,Not Reported,0
New Brunswick,2020-10-10,Not Reported,0
New Brunswick,2020-10-11,Not Reported,0
New Brunswick,2020-10-12,Not Reported,0
New Brunswick,2020-10-13,Not Reported,0
New Brunswick,2020-10-14,Not Reported,0
New Brunswick,2020-10-15,Not Reported,0
New Brunswick,2020-10-16,Not Reported,0
New Brunswick,2020-10-17,Not Reported,0
New Brunswick,2020-10-18,Not Reported,0
New Brunswick,2020-10-19,Not Reported,0
New Brunswick,2020-10-20,Not Reported,0
New Brunswick,2020-10-21,Not Reported,0
New Brunswick,2020-10-22,Not Reported,0
New Brunswick,2020-10-23,Not Reported,0
New Brunswick,2020-10-24,Not Reported,0
New Brunswick,2020-10-25,Not Reported,0
New Brunswick,2020-10-26,Not Reported,0
New Brunswick,2020-10-27,Not Reported,0
New Brunswick,2020-10-28,Not Reported,0
New Brunswick,2020-10-29,Not Reported,0
New Brunswick,2020-10-30,Not Reported,0
New Brunswick,2020-10-31,Not Reported,0
New Brunswick,2020-11-01,Not Reported,0
New Brunswick,2020-11-02,Not Reported,0
New Brunswick,2020-11-03,Not Reported,0
New Brunswick,2020-11-04,Not Reported,0
New Brunswick,2020-11-05,Not Reported,0
New Brunswick,2020-11-06,Not Reported,0
New Brunswick,2020-11-07,Not Reported,0
New Brunswick,2020-11-08,Not Reported,0
New Brunswick,2020-11-09,Not Reported,0
New Brunswick,2020-11-10,Not Reported,0
New Brunswick,2020-11-11,Not Reported,0
New Brunswick,2020-11-12,Not Reported,0
New Brunswick,2020-11-13,Not Reported,0
New Brunswick,2020-11-14,Not Reported,0
New Brunswick,2020-11-15,Not Reported,0
New Brunswick,2020-11-16,Not Reported,0
New Brunswick,2020-11-17,Not Reported,0
New Brunswick,2020-11-18,Not Reported,0
New Brunswick,2020-11-19,Not Reported,0
New Brunswick,2020-11-20,Not Reported,0
New Brunswick,2020-11-21,Not Reported,0
New Brunswick,2020-11-22,Not Reported,0
New Brunswick,2020-11-23,Not Reported,0
New Brunswick,2020-11-24,Not Reported,0
New Brunswick,2020-11-25,Not Reported,0
New Brunswick,2020-11-26,Not Reported,0
New Brunswick,2020-11-27,Not Reported,0
New Brunswick,2020-11-28,Not Reported,0
New Brunswick,2020-11-29,Not Reported,0
New Brunswick,2020-11-30,Not Reported,0
New Brunswick,2020-12-01,Not Reported,0
New Brunswick,2020-12-02,Not Reported,0
New Brunswick,2020-12-03,Not Reported,0
New Brunswick,2020-12-04,Not Reported,0
New Brunswick,2020-12-05,Not Reported,0
New Brunswick,2020-12-06,Not Reported,0
New Brunswick,2020-12-07,Not Reported,0
New Brunswick,2020-12-08,Not Reported,0
New Brunswick,2020-12-09,Not Reported,0
New Brunswick,2020-12-10,Not Reported,0
New Brunswick,2020-12-11,Not Reported,0
New Brunswick,2020-12-12,Not Reported,0
New Brunswick,2020-12-13,Not Reported,0
New Brunswick,2020-12-14,Not Reported,0
New Brunswick,2020-12-15,Not Reported,0
New Brunswick,2020-12-16,Not Reported,0
New Brunswick,2020-12-17,Not Reported,0
New Brunswick,2020-12-18,Not Reported,0
