Geo Code,Geo Name,Line Number
"3501005","South Glengarry",2
"3501007","Akwesasne (Part) 59",2249
"3501011","South Stormont",4496
"3501012","Cornwall",6743
"3501020","South Dundas",8990
"3501030","North Dundas",11237
"3501042","North Stormont",13484
"3501050","North Glengarry",15731
"3502001","East Hawkesbury",17978
"3502008","Hawkesbury",20225
"3502010","Champlain",22472
"3502023","Alfred and Plantagenet",24719
"3502025","The Nation / La Nation",26966
"3502036","Clarence-Rockland",29213
"3502044","Casselman",31460
"3502048","Russell",33707
"3506008","Ottawa",35954
"3507004","Edwardsburgh/Cardinal",38201
"3507006","Augusta",40448
"3507008","Prescott",42695
"3507014","Elizabethtown-Kitley",44942
"3507015","Brockville",47189
"3507017","Front of Yonge",49436
"3507021","Leeds and the Thousand Islands",51683
"3507024","Gananoque",53930
"3507033","Westport",56177
"3507040","Rideau Lakes",58424
"3507042","Athens",60671
"3507052","Merrickville-Wolford",62918
"3507065","North Grenville",65165
"3509001","Montague",67412
"3509004","Smiths Falls",69659
"3509010","Drummond/North Elmsley",71906
"3509015","Tay Valley",74153
"3509021","Perth",76400
"3509024","Beckwith",78647
"3509028","Carleton Place",80894
"3509030","Mississippi Mills",83141
"3509039","Lanark Highlands",85388
"3510005","Frontenac Islands",87635
"3510010","Kingston",89882
"3510020","South Frontenac",92129
"3510035","Central Frontenac",94376
"3510045","North Frontenac",96623
"3511005","Loyalist",98870
"3511015","Greater Napanee",101117
"3511030","Stone Mills",103364
"3511035","Addington Highlands",105611
"3512001","Tyendinaga",107858
"3512002","Deseronto",110105
"3512004","Tyendinaga Mohawk Territory",112352
"3512005","Belleville",114599
"3512015","Quinte West",116846
"3512020","Stirling-Rawdon",119093
"3512026","Centre Hastings",121340
"3512030","Tweed",123587
"3512036","Madoc",125834
"3512046","Marmora and Lake",128081
"3512048","Tudor and Cashel",130328
"3512051","Limerick",132575
"3512054","Wollaston",134822
"3512058","Faraday",137069
"3512061","Bancroft",139316
"3512065","Carlow/Mayo",141563
"3512076","Hastings Highlands",143810
"3513020","Prince Edward County",146057
"3514004","Brighton",148304
"3514014","Cramahe",150551
"3514019","Hamilton",152798
"3514020","Port Hope",155045
"3514021","Cobourg",157292
"3514024","Alnwick/Haldimand",159539
"3514027","Alderville First Nation",161786
"3514045","Trent Hills",164033
"3515003","Asphodel-Norwood",166280
"3515005","Otonabee-South Monaghan",168527
"3515008","Hiawatha First Nation",170774
"3515013","Cavan Monaghan",173021
"3515014","Peterborough",175268
"3515015","Selwyn",177515
"3515019","Curve Lake First Nation 35",179762
"3515023","Douro-Dummer",182009
"3515030","Havelock-Belmont-Methuen",184256
"3515037","North Kawartha",186503
"3515044","Trent Lakes",188750
"3516010","Kawartha Lakes",190997
"3518001","Pickering",193244
"3518005","Ajax",195491
"3518009","Whitby",197738
"3518013","Oshawa",199985
"3518017","Clarington",202232
"3518020","Scugog",204479
"3518022","Mississaugas of Scugog Island",206726
"3518029","Uxbridge",208973
"3518039","Brock",211220
"3519028","Vaughan",213467
"3519036","Markham",215714
"3519038","Richmond Hill",217961
"3519044","Whitchurch-Stouffville",220208
"3519046","Aurora",222455
"3519048","Newmarket",224702
"3519049","King",226949
"3519054","East Gwillimbury",229196
"3519070","Georgina",231443
"3519076","Chippewas of Georgina Island First Nation",233690
"3520005","Toronto",235937
"3521005","Mississauga",238184
"3521010","Brampton",240431
"3521024","Caledon",242678
"3522001","East Garafraxa",244925
"3522008","Amaranth",247172
"3522010","Grand Valley",249419
"3522012","Mono",251666
"3522014","Orangeville",253913
"3522016","Mulmur",256160
"3522019","Melancthon",258407
"3522021","Shelburne",260654
"3523001","Puslinch",262901
"3523008","Guelph",265148
"3523009","Guelph/Eramosa",267395
"3523017","Erin",269642
"3523025","Centre Wellington",271889
"3523033","Mapleton",274136
"3523043","Minto",276383
"3523050","Wellington North",278630
"3524001","Oakville",280877
