Geo Code,Geo Name,Line Number
"6204001","Sanikiluaq",2
"6204003","Iqaluit",2249
"6204005","Kimmirut",4496
"6204007","Cape Dorset",6743
"6204009","Pangnirtung",8990
"6204010","Qikiqtarjuaq",11237
"6204011","Hall Beach",13484
"6204012","Igloolik",15731
"6204015","Clyde River",17978
"6204018","Arctic Bay",20225
"6204019","Nanisivik",22472
"6204020","Pond Inlet",24719
"6204022","Resolute",26966
"6204025","Grise Fiord",29213
"6204030","Baffin, Unorganized",31460
"6205014","Coral Harbour",33707
"6205015","Arviat",35954
"6205016","Whale Cove",38201
"6205017","Rankin Inlet",40448
"6205019","Chesterfield Inlet",42695
"6205023","Baker Lake",44942
"6205027","Naujaat",47189
"6205033","Keewatin, Unorganized",49436
"6208047","Kugaaruk",51683
"6208059","Kugluktuk",53930
"6208065","Bathurst Inlet",56177
"6208068","Umingmaktok",58424
"6208073","Cambridge Bay",60671
"6208081","Gjoa Haven",62918
"6208087","Taloyoak",65165
"6208098","Kitikmeot, Unorganized",67412
