"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CD_UID","PR_UID","CMA_UID","rguid","v_CA16_492: Couples without children","v_CA16_493: Couples with children","v_CA16_494: 1 child","v_CA16_495: 2 children","v_CA16_496: 3 or more children","v_CA16_497: Total - Lone-parent census families in private households - 100% data","v_CA16_498: 1 child","v_CA16_499: 2 children","v_CA16_500: 3 or more children","v_CA16_501: Total - Persons not in census families in private households - 100% data"
"41","3521024","CSD","Caledon (T)",695.55018,66502,22021,21256,"3521","35","35535","",6210,10965,3530,5385,2045,2290,1240,755,290,5040
"42","3522012","CSD","Mono (T)",280.58695,8609,3127,2919,"3522","35","35535","",1165,1260,445,520,300,230,130,65,30,645
"43","3522014","CSD","Orangeville (T)",15.89666,28900,10696,10565,"3522","35","35535","",2660,3975,1445,1870,670,1580,880,520,175,3645
"44","3524001","CSD","Oakville (T)",139.64673,193832,68617,66269,"3524","35","35535","",16595,31150,10135,15300,5715,7130,3995,2395,730,18765
"45","3524009","CSD","Milton (T)",365.03646,110128,35537,34257,"3524","35","35535","",8505,18735,5780,8915,4040,3600,1980,1200,420,8210
"46","3524015","CSD","Halton Hills (T)",277.76811,61161,21475,21078,"3524","35","35535","",5650,9505,3220,4565,1720,2380,1360,780,235,5920
"47","3543007","CSD","New Tecumseth (T)",274.78374,34242,13191,12906,"3543","35","35535","",4235,4435,1695,1965,780,1570,950,460,160,4240
"48","3543014","CSD","Bradford West Gwillimbury (T)",202.81546,35325,11918,11591,"3543","35","35535","",3205,5540,1985,2520,1035,1400,800,445,145,3495
"49","2452007","CSD","Lavaltrie (V)",68.6896,13657,5507,5351,"2452","24","24462","",1695,1770,710,755,305,640,365,205,65,1800
"50","2455057","CSD","Richelieu (V)",31.21171,5236,2247,2160,"2455","24","24462","",645,550,225,230,95,245,160,60,30,870
"51","2455065","CSD","Saint-Mathias-sur-Richelieu (Mï¿½)",50.08094,4531,1959,1910,"2455","24","24462","",630,555,215,255,90,200,125,65,10,650
"52","2456083","CSD","Saint-Jean-sur-Richelieu (V)",227.94095,95114,42036,40843,"2456","24","24462","",11540,10570,4155,4615,1805,4750,3015,1360,375,17285
"53","2457005","CSD","Chambly (V)",27.38357,29120,11546,11246,"2457","24","24462","",2915,4015,1450,1890,680,1455,790,535,125,3630
"54","2457010","CSD","Carignan (V)",63.67779,9462,3572,3413,"2457","24","24462","",1140,1425,475,695,260,295,160,105,20,875
