"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CD_UID","PR_UID","CMA_UID","rguid","v_CA16_492: Couples without children","v_CA16_493: Couples with children","v_CA16_494: 1 child","v_CA16_495: 2 children","v_CA16_496: 3 or more children","v_CA16_497: Total - Lone-parent census families in private households - 100% data","v_CA16_498: 1 child","v_CA16_499: 2 children","v_CA16_500: 3 or more children","v_CA16_501: Total - Persons not in census families in private households - 100% data"
"181","4806014","CSD","Rocky View County (MD)",3936.82553,39407,13620,13042,"4806","48","48825","",5030,5990,1860,2695,1440,765,430,240,90,2815
"182","4806016","CSD","Calgary (CY)",849.05033,1239220,489650,466725,"4806","48","48825","",126120,163420,62440,71345,29635,47580,29410,13515,4660,219585
"183","4806017","CSD","Chestermere (CY)",36.95569,19887,6250,6112,"4806","48","48825","",1940,3235,1035,1515,690,640,345,210,85,1515
"184","4806019","CSD","Cochrane (T)",30.44301,25853,10225,9757,"4806","48","48825","",3315,3615,1345,1580,695,835,480,265,90,2910
"185","4806021","CSD","Airdrie (CY)",85.75551,61581,22398,21661,"4806","48","48825","",5935,9195,3145,4165,1885,2330,1385,705,235,7420
"186","4806022","CSD","Irricana (T)",3.23354,1216,479,473,"4806","48","48825","",155,150,50,65,30,60,35,15,5,185
"187","4806024","CSD","Beiseker (VL)",2.88248,819,338,331,"4806","48","48825","",100,95,40,30,20,40,20,15,10,140
"188","4806026","CSD","Crossfield (T)",12.1029,2983,1168,1101,"4806","48","48825","",365,395,145,175,75,105,55,45,15,370
"189","4806804","CSD","Tsuu T'ina Nation 145 (Sarcee 145) (IRI)",284.45206,1643,742,491,"4806","48","48825","",145,230,75,90,70,75,45,15,15,145
"190","2480050","CSD","Thurso (V)",7.36986,2818,1308,1228,"2480","24","505","",355,290,130,100,60,180,115,40,20,500
"191","2480055","CSD","Lochaber (CT)",69.77497,415,183,162,"2480","24","505","",55,55,20,30,5,15,10,5,0,60
"192","2480060","CSD","Lochaber-Partie-Ouest (CT)",66.17888,856,339,324,"2480","24","505","",115,130,60,50,15,25,15,10,0,85
"193","2480065","CSD","Mayo (Mï¿½)",77.65254,601,403,259,"2480","24","505","",90,70,30,20,15,30,25,5,5,90
"194","2480140","CSD","Val-des-Bois (Mï¿½)",245.30075,865,851,452,"2480","24","505","",215,50,30,15,10,20,15,5,0,190
"195","2480145","CSD","Bowman (Mï¿½)",166.74669,658,546,312,"2480","24","505","",145,50,35,10,5,20,15,0,0,115
"196","2481017","CSD","Gatineau (V)",381.39039,276245,125608,118385,"2481","24","505","",28965,31405,12385,13190,5820,16030,9850,4770,1410,52890
"197","2482005","CSD","L'Ange-Gardien (Mï¿½)",223.89941,5464,2058,1960,"2482","24","505","",720,795,295,360,140,175,105,55,15,475
"198","2482010","CSD","Notre-Dame-de-la-Salette (Mï¿½)",118.16531,727,473,328,"2482","24","505","",140,70,30,25,10,35,20,10,5,115
"199","2482015","CSD","Val-des-Monts (Mï¿½)",479.20665,11582,6418,4564,"2482","24","505","",1525,1595,665,710,225,435,285,115,35,1440
"200","2482020","CSD","Cantley (Mï¿½)",133.45818,10699,3988,3768,"2482","24","505","",1190,1690,605,775,305,340,190,125,25,895
"201","2482025","CSD","Chelsea (Mï¿½)",121.61247,6909,2898,2610,"2482","24","505","",850,1015,325,510,185,230,135,85,10,665
"202","2482030","CSD","Pontiac (Mï¿½)",503.61809,5850,2664,2252,"2482","24","505","",750,800,305,345,145,220,145,50,25,695
"203","2482035","CSD","La Pêche (Mï¿½)",615.78781,7863,4665,3274,"2482","24","505","",1145,930,400,390,140,325,195,110,20,1135
"204","2483005","CSD","Denholm (Mï¿½)",198.85661,505,556,224,"2483","24","505","",90,45,20,15,5,15,10,5,0,115
"205","3502036","CSD","Clarence-Rockland (C)",309.57828,24512,9537,9329,"3502","35","505","",3265,3215,1265,1430,520,990,595,290,105,2710
"206","3502048","CSD","Russell (TP)",200.07554,16520,6008,5873,"3502","35","505","",1945,2445,895,1055,490,555,310,190,55,1375
"207","3506008","CSD","Ottawa (CV)",2892.07371,934243,395985,373756,"3506","35","505","",99685,113855,42565,49890,21395,41230,24165,12065,5000,168750
"208","3507065","CSD","North Grenville (MU)",358.2208,16451,6658,6439,"3507","35","505","",2445,2075,805,900,365,590,355,185,55,1895
"209","4810066","CSD","Bruderheim (T)",7.16488,1308,622,502,"4810","48","48835","",170,155,60,55,40,60,35,15,10,190
"210","4811012","CSD","Leduc County (MD)",2682.52897,13780,5960,5101,"4811","48","48835","",1980,1870,620,810,440,325,210,80,30,1420
"211","4811013","CSD","Beaumont (T)",10.51008,17396,5980,5633,"4811","48","48835","",1560,2850,910,1325,615,565,285,200,80,1445
"212","4811016","CSD","Leduc (CY)",43.48928,29993,12264,11319,"4811","48","48835","",3360,3885,1470,1640,775,1305,795,365,140,4545
"213","4811018","CSD","Devon (T)",14.32133,6578,2493,2415,"4811","48","48835","",775,855,305,365,185,300,170,105,40,805
"214","4811019","CSD","Calmar (T)",4.67855,2228,861,842,"4811","48","48835","",265,290,120,120,50,100,65,25,10,325
"215","4811020","CSD","Sundance Beach (SV)",0.44043,73,148,31,"4811","48","48835","",15,5,0,0,0,0,0,5,0,5
"216","4811021","CSD","Thorsby (VL)",3.85625,985,428,394,"4811","48","48835","",105,120,35,50,30,50,25,15,10,180
"217","4811022","CSD","Itaska Beach (SV)",0.29211,23,78,10,"4811","48","48835","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","4811023","CSD","Golden Days (SV)",2.27503,160,293,78,"4811","48","48835","",45,15,5,5,5,0,0,0,0,25
"219","4811024","CSD","Warburg (VL)",2.67959,766,335,302,"4811","48","48835","",90,80,35,30,20,30,25,10,0,140
"220","4811034","CSD","Parkland County (MD)",2565.9577,32097,12910,11615,"4811","48","48835","",4675,4300,1490,1795,1015,865,535,240,85,3125
"221","4811038","CSD","Seba Beach (SV)",0.8644,169,323,82,"4811","48","48835","",35,10,5,10,5,5,5,0,0,40
"222","4811039","CSD","Betula Beach (SV)",0.24631,16,40,7,"4811","48","48835","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","4811041","CSD","Point Alison (SV)",0.15938,10,31,6,"4811","48","48835","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","4811042","CSD","Lakeview (SV)",0.34764,30,23,13,"4811","48","48835","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","4811044","CSD","Kapasiwin (SV)",0.30144,10,41,5,"4811","48","48835","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","4811045","CSD","Wabamun (VL)",3.62672,682,290,270,"4811","48","48835","",100,70,30,20,20,30,20,10,0,125
"227","4811046","CSD","Spring Lake (VL)",3.03229,699,303,261,"4811","48","48835","",85,105,50,40,15,25,20,5,5,70
"228","4811048","CSD","Stony Plain (T)",36.12757,17189,6954,6641,"4811","48","48835","",2115,2025,705,905,415,780,445,230,95,2525
"229","4811049","CSD","Spruce Grove (CY)",32.28107,34066,13109,12552,"4811","48","48835","",3770,4535,1590,2020,925,1500,840,480,180,4560
"230","4811052","CSD","Strathcona County (SM)",1263.00398,98044,36354,35567,"4811","48","48835","",11870,13905,4815,6345,2745,3385,1920,1140,320,10315
"231","4811056","CSD","Fort Saskatchewan (CY)",48.41395,24149,9939,9261,"4811","48","48835","",2835,3160,1175,1420,565,925,550,280,95,3545
"232","4811059","CSD","Sturgeon County (MD)",2146.76955,20495,7337,6870,"4811","48","48835","",2620,2925,960,1210,755,450,270,125,55,1640
"233","4811061","CSD","Edmonton (CY)",700.54067,932546,387950,360828,"4811","48","48835","",92955,112500,44450,46915,21140,41555,25715,11070,4770,186840
"234","4811062","CSD","St. Albert (CY)",48.90419,65589,24446,23954,"4811","48","48835","",7535,9150,3245,4195,1705,2560,1495,800,260,7295
"235","4811064","CSD","Gibbons (T)",7.61373,3159,1223,1136,"4811","48","48835","",310,455,170,180,105,140,70,55,10,370
"236","4811065","CSD","Redwater (T)",20.11202,2053,946,862,"4811","48","48835","",240,210,95,80,35,115,70,25,20,420
"237","4811066","CSD","Bon Accord (T)",2.13723,1529,578,560,"4811","48","48835","",180,210,85,90,40,60,35,15,10,195
"238","4811068","CSD","Morinville (T)",11.25889,9848,3611,3491,"4811","48","48835","",1065,1395,525,595,280,405,215,135,55,1100
"239","4811069","CSD","Legal (T)",3.20915,1345,465,448,"4811","48","48835","",140,180,55,60,65,50,25,15,5,150
"240","4811804","CSD","Stony Plain 135 (IRI)",52.67203,1690,576,465,"4811","48","48835","",85,160,50,25,80,180,100,35,45,240
"241","4811805","CSD","Alexander 134 (IRI)",72.25519,1099,349,272,"4811","48","48835","",40,95,35,25,40,140,65,40,35,145
"242","4811806","CSD","Wabamun 133A (IRI)",63.65505,1592,369,345,"4811","48","48835","",35,145,30,40,75,185,100,35,45,200
"243","4811807","CSD","Wabamun 133B (IRI)",2.05236,30,5,5,"4811","48","48835","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","2419068","CSD","Saint-Henri (Mï¿½)",124.09918,5611,2365,2267,"2419","24","24421","",700,755,225,380,145,180,110,50,20,745
"245","2419105","CSD","Beaumont (Mï¿½)",44.90143,2942,1328,1135,"2419","24","24421","",405,375,135,165,75,70,40,20,10,320
"246","2420005","CSD","Saint-François-de-l'Île-d'Orléans (Mï¿½)",28.86149,527,384,237,"2420","24","24421","",105,55,25,20,5,15,5,5,5,85
"247","2420010","CSD","Sainte-Famille (PE)",48.78558,938,445,382,"2420","24","24421","",165,105,35,45,20,25,15,15,5,110
"248","2420015","CSD","Saint-Jean-de-l'Île-d'Orléans (Mï¿½)",43.64988,1059,681,498,"2420","24","24421","",215,95,40,30,20,30,25,10,5,185
"249","2420020","CSD","Saint-Laurent-de-l'Île-d'Orléans (Mï¿½)",35.87758,1532,827,645,"2420","24","24421","",285,170,65,75,35,45,30,15,0,165
"250","2420025","CSD","Saint-Pierre-de-l'Île-d'Orléans (Mï¿½)",31.39584,1993,871,832,"2420","24","24421","",315,235,90,100,40,50,30,15,5,270
"251","2420030","CSD","Sainte-Pétronille (VL)",4.38037,1033,495,446,"2420","24","24421","",180,130,50,65,10,30,20,10,0,120
"252","2421035","CSD","Château-Richer (V)",230.67332,4126,1905,1778,"2421","24","24421","",580,470,195,205,70,165,120,40,10,670
"253","2421040","CSD","L'Ange-Gardien (Mï¿½)",53.82656,3695,1625,1550,"2421","24","24421","",525,475,180,220,75,130,85,40,5,490
"254","2421045","CSD","Boischatel (Mï¿½)",20.84992,7587,2868,2814,"2421","24","24421","",895,1150,385,560,200,175,100,65,15,725
"255","2422005","CSD","Sainte-Catherine-de-la-Jacques-Cartier (V)",123.70592,7706,3063,2965,"2422","24","24421","",945,1150,440,530,180,240,150,75,15,815
"256","2422010","CSD","Fossambault-sur-le-Lac (V)",14.41439,1960,1283,852,"2422","24","24421","",330,240,90,105,45,50,30,15,0,260
"257","2422015","CSD","Lac-Saint-Joseph (V)",42.31277,260,358,127,"2422","24","24421","",75,15,5,5,0,10,10,5,0,30
"258","2422020","CSD","Shannon (Mï¿½)",65.10712,6031,2277,2109,"2422","24","24421","",545,1010,335,490,185,165,85,60,25,510
"259","2422025","CSD","Saint-Gabriel-de-Valcartier (Mï¿½)",445.48511,3382,1204,1124,"2422","24","24421","",330,460,155,210,90,100,60,40,5,305
"260","2422030","CSD","Lac-Delage (V)",2.11307,638,254,242,"2422","24","24421","",65,95,25,45,20,20,10,5,0,70
"261","2422035","CSD","Stoneham-et-Tewkesbury (CU)",686.6841,8359,3924,3252,"2422","24","24421","",1040,1205,425,595,185,260,140,105,25,945
"262","2422040","CSD","Lac-Beauport (Mï¿½)",63.68294,7801,3031,2845,"2422","24","24421","",865,1235,390,610,235,230,115,85,25,625
"263","2422045","CSD","Sainte-Brigitte-de-Laval (V)",110.10095,7348,3007,2816,"2422","24","24421","",875,1120,445,515,160,240,130,85,25,715
"264","2423015","CSD","Notre-Dame-des-Anges (PE)",0.03722,318,0,0,"2423","24","24421","",0,0,0,0,0,0,0,0,0,0
"265","2423027","CSD","Québec (V)",461.46192,531902,266409,252043,"2423","24","24421","",69240,51435,21520,21990,7920,22255,14315,6335,1605,128870
"266","2423057","CSD","L'Ancienne-Lorette (V)",7.72401,16543,7120,6989,"2423","24","24421","",2260,2030,805,925,300,640,400,200,45,2440
"267","2423072","CSD","Saint-Augustin-de-Desmaures (V)",86.44029,18820,7678,7187,"2423","24","24421","",2390,2590,925,1205,460,670,380,235,50,1810
"268","2423802","CSD","Wendake (IRI)",1.71811,2134,973,925,"2423","24","24421","",285,230,110,75,50,135,100,40,5,335
"269","2425213","CSD","Lévis (V)",455.17739,143414,62585,60779,"2425","24","24421","",18625,17205,6345,7925,2935,5865,3530,1895,440,22260
"270","2426070","CSD","Saint-Lambert-de-Lauzon (Mï¿½)",109.60298,6647,2626,2544,"2426","24","24421","",805,960,335,430,205,205,125,60,20,685
"271","2433095","CSD","Saint-Antoine-de-Tilly (Mï¿½)",60.2644,1598,824,691,"2433","24","24421","",275,165,60,55,50,45,25,20,5,235
"272","2434007","CSD","Neuville (V)",72.06605,4392,1898,1817,"2434","24","24421","",655,585,230,260,100,125,75,40,5,545
"273","4602069","CSD","Taché (RM)",582.36286,11568,3884,3769,"4602","46","46602","",1190,1770,550,735,480,330,175,115,45,890
"274","4602075","CSD","Ritchot (RM)",338.15785,6679,2510,2437,"4602","46","46602","",825,990,340,420,225,170,95,55,25,650
"275","4610035","CSD","Macdonald (RM)",1159.077,7162,2428,2382,"4610","46","46602","",825,1110,335,515,260,165,105,55,15,430
"276","4610052","CSD","St. François Xavier (RM)",208.09731,1411,505,484,"4610","46","46602","",170,210,75,85,50,30,15,10,5,105
"277","4611040","CSD","Winnipeg (CY)",474.60041,705244,294245,281046,"4611","46","46602","",70770,83510,32725,34830,15950,35115,21355,9535,4230,134920
"278","4611042","CSD","Headingley (RM)",108.83122,3579,1098,1070,"4611","46","46602","",415,490,170,240,80,55,35,15,5,165
"279","4612047","CSD","Springfield (RM)",1104.52551,15342,5667,5459,"4612","46","46602","",2050,2245,820,990,435,350,205,115,35,1220
"280","4613032","CSD","East St. Paul (RM)",43.03557,9372,3304,3263,"4613","46","46602","",1220,1515,520,710,290,185,100,65,20,545
"281","4613037","CSD","West St. Paul (RM)",88.80496,5368,1809,1792,"4613","46","46602","",580,835,310,375,155,135,90,35,15,395
"282","4613056","CSD","St. Clements (RM)",804.25617,10876,5359,4238,"4613","46","46602","",1645,1400,545,610,250,315,195,90,25,1250
"283","4613062","CSD","Brokenhead 4 (IRI)",55.76306,516,194,157,"4613","46","46602","",35,45,10,15,20,60,30,20,10,85
"284","4614015","CSD","Rosser (RM)",443.31647,1372,481,453,"4614","46","46602","",150,175,65,80,30,40,25,10,5,140
"285","3524002","CSD","Burlington (CY)",187.63194,183314,72535,71373,"3524","35","35537","",20610,24850,9180,11705,3970,7815,4635,2450,730,24080
"286","3525005","CSD","Hamilton (C)",1148.04521,536917,222918,211596,"3525","35","35537","",54755,65960,25315,27885,12760,28635,17265,8140,3235,89250
"287","3526065","CSD","Grimsby (T)",68.97982,27314,10581,10376,"3526","35","35537","",3470,3705,1320,1740,650,1020,570,345,100,2935
"288","3530004","CSD","North Dumfries (TP)",191.00664,10215,3564,3531,"3530","35","35541","",1245,1545,525,675,335,275,140,95,35,795
"289","3530010","CSD","Cambridge (CY)",115.77425,129920,49388,48239,"3530","35","35541","",13225,17320,6590,7555,3175,6730,3955,2010,765,17225
"290","3530013","CSD","Kitchener (CY)",138.44021,233222,95495,92217,"3530","35","35541","",24665,28780,11280,12165,5335,11690,6915,3445,1325,39520
"291","3530016","CSD","Waterloo (CY)",65.13588,104986,46096,40381,"3530","35","35541","",10790,13470,4870,6230,2375,3890,2260,1230,410,19755
"292","3530020","CSD","Wilmot (TP)",266.26145,20545,7612,7516,"3530","35","35541","",2705,2940,975,1385,585,580,335,185,60,1790
"293","3530035","CSD","Woolwich (TP)",330.03234,25006,8741,8611,"3530","35","35541","",2860,3555,1090,1515,950,650,385,205,60,2350
"294","3534020","CSD","Central Elgin (MU)",281.48709,12607,5324,4922,"3534","35","35555","",1980,1650,635,725,295,385,235,105,40,1250
"295","3534021","CSD","St. Thomas (CY)",36.07625,38909,17114,16586,"3534","35","35555","",4795,4265,1775,1710,780,2185,1315,665,210,6685
"296","3534024","CSD","Southwold (TP)",302.33611,4421,1655,1607,"3534","35","35555","",585,630,230,270,125,135,85,30,20,390
"297","3539015","CSD","Strathroy-Caradoc (MU)",271.90629,20867,8455,8294,"3539","35","35555","",2640,2625,980,1155,490,910,540,265,100,2735
"298","3539027","CSD","Thames Centre (MU)",437.32685,13191,5162,4924,"3539","35","35555","",1815,1880,695,835,355,405,230,130,40,1165
"299","3539033","CSD","Middlesex Centre (MU)",591.72446,17262,6139,5983,"3539","35","35555","",2145,2610,805,1200,605,385,205,130,50,1175
"300","3539036","CSD","London (CY)",425.16877,383822,175558,163140,"3539","35","35555","",41405,42825,16845,17705,8275,19960,12260,5585,2115,78905
"301","3539047","CSD","Adelaide-Metcalfe (TP)",331.83547,2990,1045,992,"3539","35","35555","",380,430,125,180,125,55,30,15,10,200
"302","3526003","CSD","Fort Erie (T)",166.96114,30710,15345,13184,"3526","35","35539","",4590,3160,1360,1230,565,1600,1005,430,160,5045
"303","3526011","CSD","Port Colborne (CY)",123.88907,18306,9825,8018,"3526","35","35539","",2590,1855,855,710,290,1010,630,290,90,3195
"304","3526014","CSD","Wainfleet (TP)",219.22782,6372,2977,2413,"3526","35","35539","",995,815,290,325,195,190,120,40,25,620
"305","3526028","CSD","Pelham (T)",127.12401,17110,6596,6469,"3526","35","35539","",2525,2225,825,960,435,495,305,145,45,1715
"306","3526032","CSD","Welland (CY)",84.55513,52293,23323,22490,"3526","35","35539","",6655,5500,2355,2270,875,3070,1945,815,305,9670
"307","3526037","CSD","Thorold (CY)",88.55369,18801,8498,7466,"3526","35","35539","",2030,2180,860,955,365,1000,605,280,115,3550
"308","3526043","CSD","Niagara Falls (CY)",214.01396,88071,37265,35773,"3526","35","35539","",9830,9930,4160,4135,1635,5350,3315,1475,555,15165
"309","3526047","CSD","Niagara-on-the-Lake (T)",135.9963,17511,7964,7089,"3526","35","35539","",3190,1815,700,740,380,490,340,120,35,2195
"310","3526053","CSD","St. Catharines (CY)",99.5512,133113,59879,56873,"3526","35","35539","",15630,13875,5820,5685,2370,7465,4660,2050,755,26930
"311","3526057","CSD","Lincoln (T)",165.4717,23787,8934,8710,"3526","35","35539","",3035,3085,1075,1295,715,785,455,240,90,2550
"312","1209019","CSD","Cole Harbour 30 (IRI)",0.18802,203,123,120,"1209","12","12205","",30,5,5,0,5,20,15,5,0,70
"313","1209029","CSD","Shubenacadie 13 (IRI)",3.9772,0,0,0,"1209","12","12205","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","1209034","CSD","Halifax (RGM)",5957.16452,403131,187338,173324,"1209","12","12205","",50610,44080,19595,17945,6540,18870,11930,5275,1665,84120
"315","1209037","CSD","Beaver Lake 17 (IRI)",0.85388,21,5,5,"1209","12","12205","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","1209038","CSD","Sheet Harbour 36 (IRI)",0.51451,25,9,7,"1209","12","12205","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","1209800","CSD","Wallace Hills 14A (IRI)",0.43888,10,3,3,"1209","12","12205","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","3518009","CSD","Whitby (T)",147.99499,128377,44195,43529,"3518","35","35532","",10700,19840,6635,9455,3750,5890,3240,1920,735,12575
"319","3518013","CSD","Oshawa (CY)",146.89377,159458,64883,62595,"3518","35","35532","",16375,18710,7750,7685,3280,10360,6295,2920,1145,27205
"320","3518017","CSD","Clarington (MU)",613.17305,92013,33384,32838,"3518","35","35532","",9645,13515,4905,6290,2320,4140,2395,1300,445,9270
"321","5917005","CSD","North Saanich (DM)",37.25473,11249,4936,4626,"5917","59","59935","",2345,1210,525,515,165,275,175,85,15,1320
"322","5917010","CSD","Sidney (T)",5.08476,11672,5960,5603,"5917","59","59935","",2085,865,385,345,135,445,300,110,35,2655
"323","5917015","CSD","Central Saanich (DM)",41.33897,16814,7121,6893,"5917","59","59935","",2595,1970,850,865,260,545,355,150,40,2610
"324","5917021","CSD","Saanich (DM)",106.95757,114148,49422,46652,"5917","59","59935","",14635,12720,5540,5550,1630,4690,3075,1305,305,23785
"325","5917030","CSD","Oak Bay (DM)",10.45751,18094,8122,7737,"5917","59","59935","",2670,1980,740,935,310,550,350,165,35,3240
"326","5917034","CSD","Victoria (CY)",19.47656,85792,49212,45762,"5917","59","59935","",11585,5195,2725,1970,505,3375,2500,725,150,31970
"327","5917040","CSD","Esquimalt (DM)",7.06188,17655,8742,8493,"5917","59","59935","",2260,1460,740,570,150,820,570,205,40,5180
"328","5917041","CSD","Colwood (CY)",17.67417,16859,6867,6588,"5917","59","59935","",2290,2120,885,960,275,720,455,220,45,2445
"329","5917042","CSD","Metchosin (DM)",71.2587,4708,1932,1818,"5917","59","59935","",800,520,220,220,80,130,85,35,10,650
"330","5917044","CSD","Langford (CY)",40.89865,35342,14906,14178,"5917","59","59935","",4225,4300,1930,1825,545,1775,1145,515,115,6175
"331","5917047","CSD","View Royal (T)",14.76393,10408,4299,4154,"5917","59","59935","",1415,1150,485,515,150,435,295,110,30,1740
"332","5917049","CSD","Highlands (DM)",38.35469,2225,862,831,"5917","59","59935","",355,285,110,135,40,60,35,20,5,275
"333","5917052","CSD","Sooke (DM)",57.12256,13001,5599,5253,"5917","59","59935","",1755,1540,655,620,265,550,330,160,60,2125
"334","5917054","CSD","Juan de Fuca (Part 1) (RDA)",224.51498,4670,2337,1992,"5917","59","59935","",855,510,235,190,80,130,95,25,10,715
"335","5917801","CSD","Cole Bay 3 (IRI)",2.81839,332,97,90,"5917","59","59935","",15,25,5,5,15,40,25,10,5,60
"336","5917802","CSD","Union Bay 4 (IRI)",0.28944,94,40,33,"5917","59","59935","",5,10,0,5,5,15,10,0,0,20
"337","5917803","CSD","East Saanich 2 (IRI)",2.69323,1689,796,768,"5917","59","59935","",315,110,40,40,30,80,50,20,10,390
"338","5917804","CSD","South Saanich 1 (IRI)",2.08866,822,248,227,"5917","59","59935","",35,95,30,30,40,75,40,15,20,115
"339","5917809","CSD","Becher Bay 1 (IRI)",2.65149,129,54,43,"5917","59","59935","",10,15,10,5,0,10,10,0,0,25
"340","5917811","CSD","Esquimalt (IRI)",0.21669,0,0,0,"5917","59","59935","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","5917812","CSD","New Songhees 1A (IRI)",0.71011,1842,917,891,"5917","59","59935","",235,130,65,45,15,145,105,25,10,555
"342","5917819","CSD","T'Sou-ke (IRI)",0.74625,225,90,84,"5917","59","59935","",20,20,15,5,5,15,5,0,5,55
"343","3537028","CSD","Amherstburg (T)",192.85098,21936,8951,8522,"3537","35","35559","",2795,2900,1075,1280,545,915,490,330,95,2475
"344","3537034","CSD","LaSalle (T)",66.03543,30180,10793,10689,"3537","35","35559","",3150,4580,1500,2135,945,1145,615,390,135,2570
"345","3537039","CSD","Windsor (CY)",146.48788,217188,97777,91632,"3537","35","35559","",21285,23580,9100,9385,5095,13475,8055,3785,1645,44140
"346","3537048","CSD","Tecumseh (T)",94.84054,23229,8987,8884,"3537","35","35559","",2840,3185,1145,1460,580,1015,570,335,115,2415
"347","3537064","CSD","Lakeshore (T)",532.16686,36611,13900,13185,"3537","35","35559","",4315,5425,1770,2485,1175,1195,650,395,150,3135
"348","4711060","CSD","Thode (RV)",0.77871,148,101,59,"4711","47","47725","",20,20,5,10,5,5,0,0,0,20
"349","4711061","CSD","Dundurn No. 314 (RM)",841.2719,2404,503,484,"4711","47","47725","",165,265,80,110,75,15,10,5,5,60
"350","4711063","CSD","Dundurn (T)",1.3716,611,262,231,"4711","47","47725","",60,90,35,40,20,20,10,5,0,70
"351","4711064","CSD","Shields (RV)",0.73927,288,195,117,"4711","47","47725","",55,35,20,10,10,10,5,5,5,25
"352","4711065","CSD","Corman Park No. 344 (RM)",2011.07767,8568,3037,2952,"4711","47","47725","",1230,1220,400,485,340,150,95,35,20,595
"353","4711066","CSD","Saskatoon (CY)",238.00279,246376,107098,98565,"4711","47","47725","",26110,28180,10720,11590,5870,11030,6525,3015,1495,50375
"354","4711067","CSD","Langham (T)",4.01466,1496,568,542,"4711","47","47725","",175,190,70,80,40,60,35,15,10,160
"355","4711068","CSD","Warman (CY)",13.29935,11020,3874,3748,"4711","47","47725","",1145,1755,560,800,395,295,155,100,45,925
"356","4711069","CSD","Blucher No. 343 (RM)",853.67232,2006,808,766,"4711","47","47725","",300,255,90,100,60,55,30,20,10,230
"357","4711070","CSD","Martensville (CY)",7.05396,9645,3337,3248,"4711","47","47725","",870,1605,525,755,325,295,160,95,45,815
"358","4711071","CSD","Bradwell (VL)",0.41523,166,65,62,"4711","47","47725","",15,20,5,5,5,10,0,5,0,30
"359","4711072","CSD","Allan (T)",1.78384,644,274,253,"4711","47","47725","",95,80,30,30,15,35,20,10,5,70
"360","4711073","CSD","Dalmeny (T)",2.27925,1826,609,592,"4711","47","47725","",185,270,85,100,85,60,25,25,10,115
"361","4711075","CSD","Osler (T)",1.58054,1237,412,399,"4711","47","47725","",135,180,50,75,60,30,15,10,10,90
"362","4711076","CSD","Colonsay No. 342 (RM)",588.70534,269,121,107,"4711","47","47725","",55,25,10,10,5,5,5,0,0,30
"363","4711077","CSD","Clavet (VL)",0.84322,410,144,137,"4711","47","47725","",40,65,25,25,15,10,5,5,5,30
"364","4711078","CSD","Meacham (VL)",1.314,99,55,43,"4711","47","47725","",15,10,5,5,5,5,0,0,0,15
"365","4711079","CSD","Colonsay (T)",2.64151,451,207,184,"4711","47","47725","",55,55,15,30,10,10,5,5,0,75
"366","4711828","CSD","Whitecap (IRI)",21.1987,451,166,145,"4711","47","47725","",20,50,20,15,15,45,20,20,15,70
"367","4712054","CSD","Vanscoy No. 345 (RM)",906.56184,2840,1221,1094,"4712","47","47725","",505,370,145,145,80,65,40,20,5,255
"368","4712056","CSD","Delisle (T)",3.34616,1038,438,412,"4712","47","47725","",130,135,45,70,25,40,20,15,10,135
"369","4712058","CSD","Vanscoy (VL)",1.49077,462,198,191,"4712","47","47725","",55,60,25,25,10,20,15,10,0,70
"370","4712059","CSD","Asquith (T)",1.42766,639,261,254,"4712","47","47725","",80,75,20,30,25,25,20,10,0,110
"371","4715018","CSD","Aberdeen No. 373 (RM)",711.66001,1379,558,466,"4715","47","47725","",165,225,70,100,55,20,10,5,0,100
"372","4715019","CSD","Aberdeen (T)",1.97445,622,254,232,"4715","47","47725","",60,95,35,40,20,15,5,10,5,75
"373","4706011","CSD","Lajord No. 128 (RM)",948.05442,1232,473,417,"4706","47","47705","",170,155,55,55,40,30,15,10,0,100
"374","4706021","CSD","Pense No. 160 (RM)",851.42607,508,189,158,"4706","47","47705","",75,50,15,20,15,10,5,0,5,30
"375","4706022","CSD","Belle Plaine (VL)",1.34858,85,43,33,"4706","47","47705","",10,10,5,5,5,5,5,0,0,10
"376","4706023","CSD","Pense (T)",1.34928,587,228,216,"4706","47","47705","",55,90,35,30,25,25,10,15,0,55
"377","4706026","CSD","Sherwood No. 159 (RM)",670.34184,974,325,309,"4706","47","47705","",125,95,40,40,20,25,15,5,0,85
"378","4706027","CSD","Regina (CY)",182.51107,215106,93197,87417,"4706","47","47705","",23025,24900,9865,10360,4670,10520,6315,2790,1415,42090
"379","4706028","CSD","Grand Coulee (VL)",1.77383,649,202,202,"4706","47","47705","",50,120,40,60,25,15,10,10,0,30
