wave,regressor,coefficient,se,p.value,sds,type,CI025,CI975,t.value
1,is_cma,2.45721690751853,0.368238926856054,2.50818780380507e-11,7.66081877672987,Ridge,1.73546861088067,3.1789652041564,
1,is_ca,-1.26893132255334,0.456000971585268,0.0053902281617044,6.34993979461136,Ridge,-2.16269322686047,-0.375169418246217,
1,is_miz_strong,0.47673195275374,0.241899850334866,0.0487487776941049,11.5726730347135,Ridge,0.00260824609740251,0.950855659410077,
1,is_miz_moderate,-0.371621562180675,0.186411474711039,0.046200686911895,15.3745337704853,Ridge,-0.73698805261431,-0.00625507174703854,
1,is_miz_weak,-1.39872855028157,0.380365508852869,0.000235690346727873,7.62686234369167,Ridge,-2.14424494763319,-0.653212152929944,
1,is_miz_none,-0.534093081746664,0.492956309403915,0.278609121166343,5.86204886012459,Ridge,-1.50028744817834,0.43210128468501,
1,LTCHs,0.941047072592432,0.0765733974078367,1.03170243865944e-34,36.2705445988654,Ridge,0.790963213673072,1.09113093151179,
1,PHU_pop_density,0.0830402087420001,0.00450901690804182,9.69082865996733e-76,612.229588957845,Ridge,0.0742025356022381,0.091877881881762,
1,group_0_to_4,0.00192757967107983,0.000111194246559919,2.5497171238993e-67,23980.0074988202,Ridge,0.00170963894782239,0.00214552039433727,
1,group_5_to_19,0.000602889896791,3.6774073311453e-05,2.09604364097449e-60,72581.8420212996,Ridge,0.000530812713100552,0.000674967080481448,
1,group_20_to_49,0.000244722386981576,1.40449108769398e-05,5.39885570002598e-68,189483.277088305,Ridge,0.000217194361662774,0.000272250412300378,
1,group_50_to_64,0.000524794368801847,3.07807974878094e-05,3.53092529195624e-65,86166.3903448384,Ridge,0.000464464005725741,0.000585124731877953,
1,group_65_plus,0.000726904388402725,4.04398502840887e-05,3.06125744189679e-72,65473.2435913677,Ridge,0.000647642281845911,0.000806166494959539,
1,interaction_popdensity_cma,0.00880949350427202,0.000457394698338327,1.16027188729352e-82,6210.79302982291,Ridge,0.0079129998955289,0.00970598711301514,
1,interaction_popdensity_ca,0.0436069769577054,0.0172130768668422,0.0112973800317683,164.588826103841,Ridge,0.00986934629869477,0.077344607616716,
1,interaction_popdensity_strong,0.0115532796086339,0.00247547682329896,3.0549164637579e-06,1137.17070644679,Ridge,0.00670134503496789,0.0164052141822998,
1,interaction_popdensity_moderate,0.0190286144962555,0.00698810862473674,0.00646922060757036,400.36560700795,Ridge,0.00533192159177147,0.0327253074007395,
1,interaction_popdensity_weak,-0.0224668350336718,0.0236610910050188,0.342352855419643,123.637509278778,Ridge,-0.0688425734035086,0.023908903336165,
1,interaction_popdensity_none,-10.2989628804628,10.7000308268494,0.335789906467721,0.270273217390659,Ridge,-31.2710233010877,10.673097540162,
1,(Intercept),-274.678308109633,205.76404773164,0.185836485855219,,OLS,-677.975841663648,128.619225444382,-1.33491886040204
1,is_cma,-40.1322326340108,19.9562370550375,0.0478244984620675,,OLS,-79.2464572618842,-1.01800800613732,-2.0110120221227
1,is_ca,1.16887891883666,22.3079618854606,0.958347754445068,,OLS,-42.5547263766661,44.8924842143394,0.0523973873022655
1,is_miz_strong,-1.217472954418,21.5957216660402,0.955188583384939,,OLS,-43.5450874198568,41.1101415110208,-0.0563756550137664
1,is_miz_moderate,-14.87017820058,13.4768472888831,0.273295596525706,,OLS,-41.2847988867908,11.5444424856308,-1.10338700749739
1,is_miz_weak,8.33819616545947,14.6502825861511,0.570911438183279,,OLS,-20.3763577033966,37.0527500343156,0.569149169405209
1,is_miz_none,5.85814886079633,28.3031478356861,0.836572865670677,,OLS,-49.6160208971484,61.332318618741,0.206978704093475
1,LTCHs,-21.2870847954069,5.84544824813102,0.000488857563448928,,OLS,-32.7441633617437,-9.8300062290701,-3.64165139982431
1,PHU_pop_density,1.85764459252886,0.380697653824055,5.61471454373827e-06,,OLS,1.11147719103371,2.60381199402401,4.87957982895108
1,group_0_to_4,0.0903367741835705,0.059041169348686,0.130098966808105,,OLS,-0.025383917739854,0.206057466106995,1.53006410916523
1,group_5_to_19,-0.0411557069084858,0.0174416271699818,0.0208277904285357,,OLS,-0.0753412961616501,-0.00697011765532153,-2.35962542413001
1,group_20_to_49,-0.0126787771514299,0.00676340451610863,0.0646381277507985,,OLS,-0.0259350500030028,0.000577495700143054,-1.87461464433073
1,group_50_to_64,0.0632280242420427,0.0254725097061852,0.015234603928966,,OLS,0.0133019052179198,0.113154143266166,2.48220630677353
1,group_65_plus,-0.0110610832992442,0.0182072516841313,0.545300163077504,,OLS,-0.0467472966001416,0.0246251300016531,-0.607509770894453
1,interaction_popdensity_cma,0.31329409620482,0.0246970759869085,1.50250708514128e-20,,OLS,0.26488782727048,0.361700365139161,12.6854732265023
1,interaction_popdensity_ca,0.973677683316104,1.22589634734127,0.429486515759252,,OLS,-1.42907915747278,3.37643452410498,0.794257757132424
1,interaction_popdensity_strong,0.0151265299154025,0.194875002383017,0.938330327216843,,OLS,-0.36682847475531,0.397081534586115,0.0776217048386334
1,interaction_popdensity_moderate,0.937345082751772,0.57739652385239,0.108591313169778,,OLS,-0.194352103998912,2.06904226950246,1.62339924822859
1,interaction_popdensity_weak,-4.30700496111422,0.796354397987888,6.91879278245881e-07,,OLS,-5.86785958117048,-2.74615034105796,-5.40840230429634
1,interaction_popdensity_none,-14.4990057557882,607.768289278353,0.981029074768517,,OLS,-1205.72485274136,1176.72684122978,-0.0238561405910201
2,EIs,91.0071919503016,41.3327013726968,0.0276779857185938,0.595479823278062,Ridge,9.99509725981588,172.019286640787,
