Geo Code,Geo Name,Line Number
"1301001","Saint Martins",2
"1301002","St. Martins",2249
"1301004","Simonds",4496
"1301006","Saint John",6743
"1301016","Musquash",8990
"1302001","Grand Manan",11237
"1302004","Campobello Island",13484
"1302006","West Isles",15731
"1302008","Lepreau",17978
"1302011","Pennfield",20225
"1302012","Blacks Harbour",22472
"1302014","Clarendon",24719
"1302016","Saint George",26966
"1302018","St. George",29213
"1302021","Saint Patrick",31460
"1302024","Saint Andrews",33707
"1302026","Saint Andrews",35954
"1302028","Saint Croix",38201
"1302031","Dufferin",40448
"1302034","Saint Stephen",42695
"1302037","St. Stephen",44942
"1302039","Saint James",47189
"1302042","Saint David",49436
"1302044","Dumbarton",51683
"1302052","Grand Manan",53930
"1303001","Blissville",56177
"1303004","Gladstone",58424
"1303005","Tracy",60671
"1303006","Fredericton Junction",62918
"1303008","Lincoln",65165
"1303011","Burton",67412
"1303012","Oromocto",69659
"1303013","Oromocto 26",71906
"1303014","Sheffield",74153
"1303016","Maugerville",76400
"1303018","Northfield",78647
"1304001","Petersville",80894
"1304004","Gagetown",83141
"1304005","Gagetown",85388
"1304006","Hampstead",87635
"1304008","Wickham",89882
"1304011","Cambridge",92129
"1304013","Cambridge-Narrows",94376
"1304014","Johnston",96623
"1304016","Brunswick",98870
"1304018","Waterborough",101117
"1304021","Canning",103364
"1304022","Minto",105611
"1304024","Chipman",107858
"1304025","Chipman",110105
"1305001","Hammond",112352
"1305004","Upham",114599
"1305006","Hampton",116846
"1305007","Hampton",119093
"1305008","Rothesay",121340
"1305011","Westfield",123587
"1305014","Kingston",125834
"1305015","Grand Bay-Westfield",128081
"1305016","Norton",130328
"1305018","Norton",132575
"1305021","Sussex",134822
"1305022","Sussex",137069
"1305023","Sussex Corner",139316
"1305024","Waterford",141563
"1305026","Cardwell",143810
"1305028","Havelock",146057
"1305031","Studholm",148304
"1305034","Springfield",150551
"1305036","Kars",152798
"1305038","Greenwich",155045
"1305045","Rothesay",157292
"1305057","Quispamsis",159539
"1306001","Hopewell",161786
"1306003","Riverside-Albert",164033
"1306004","Harvey",166280
"1306006","Alma",168527
"1306007","Alma",170774
"1306008","Elgin",173021
"1306011","Hillsborough",175268
"1306014","Coverdale",177515
"1306020","Riverview",179762
"1306025","Hillsborough",182009
"1307001","Westmorland",184256
"1307002","Port Elgin",186503
"1307004","Botsford",188750
"1307005","Beaubassin East / Beaubassin-est",190997
"1307007","Cap-Pelé",193244
"1307008","Sackville",195491
"1307009","Sackville",197738
"1307011","Dorchester",199985
"1307012","Dorchester",202232
"1307013","Memramcook",204479
"1307014","Fort Folly 1",206726
"1307016","Shediac",208973
"1307019","Moncton",211220
"1307022","Moncton",213467
"1307024","Salisbury",215714
"1307028","Salisbury",217961
"1307029","Petitcodiac",220208
"1307045","Dieppe",222455
"1307052","Shediac",224702
"1308001","Dundas",226949
"1308002","Cocagne",229196
"1308003","Buctouche 16",231443
"1308004","Wellington",233690
"1308005","Bouctouche",235937
"1308006","Saint Mary",238184
"1308007","Saint-Antoine",240431
"1308008","Saint-Paul",242678
"1308010","Harcourt",244925
"1308012","Huskisson",247172
"1308014","Weldford",249419
"1308015","Richibucto 15",251666
"1308016","Richibucto",253913
"1308017","Rexton",256160
"1308018","Richibucto",258407
"1308019","Saint-Charles",260654
"1308020","Indian Island 28",262901
"1308021","Saint-Louis",265148
"1308022","Saint-Louis de Kent",267395
"1308024","Acadieville",269642
"1308026","Carleton",271889
