Geo Code,Geo Name,Line Number
"1001101","Division No. 1, Subd. V",2
"1001105","Portugal Cove South",2249
"1001113","Trepassey",4496
"1001120","St. Shott's",6743
"1001124","Division No. 1, Subd. U",8990
"1001126","Cape Broyle",11237
"1001131","Renews-Cappahayden",13484
"1001136","Fermeuse",15731
"1001140","Port Kirwan",17978
"1001144","Aquaforte",20225
"1001149","Ferryland",22472
"1001155","Division No. 1, Subd. W",24719
"1001169","St. Vincent's-St. Stephen's-Peter's River",26966
"1001174","Gaskiers-Point La Haye",29213
"1001178","St. Mary's",31460
"1001181","Riverhead",33707
"1001186","Admirals Beach",35954
"1001192","St. Joseph's",38201
"1001197","Mount Carmel-Mitchells Brook-St. Catherine's",40448
"1001203","Division No. 1, Subd. X",42695
"1001207","Colinet",44942
"1001214","Division No. 1, Subd. C",47189
"1001219","Branch",49436
"1001225","Point Lance",51683
"1001228","St. Bride's",53930
"1001234","Division No. 1, Subd. B",56177
"1001240","Placentia",58424
"1001254","Fox Harbour",60671
"1001259","Division No. 1, Subd. A",62918
"1001263","Long Harbour-Mount Arlington Heights",65165
"1001267","Southern Harbour",67412
"1001270","Arnold's Cove",69659
"1001274","Come By Chance",71906
"1001277","Sunnyside",74153
"1001281","Chance Cove",76400
"1001285","Norman's Cove-Long Cove",78647
"1001289","Chapel Arm",80894
"1001293","Division No. 1, Subd. Y",83141
"1001298","Whitbourne",85388
"1001304","Division No. 1, Subd. E",87635
"1001308","Whiteway",89882
"1001312","Heart's Delight-Islington",92129
"1001316","Heart's Desire",94376
"1001321","Division No. 1, Subd. F",96623
"1001325","Heart's Content",98870
"1001328","New Perlican",101117
"1001332","Winterton",103364
"1001335","Hant's Harbour",105611
"1001339","Division No. 1, Subd. G",107858
"1001343","Old Perlican",110105
"1001347","Bay de Verde",112352
"1001352","Small Point-Adam's Cove-Blackhead-Broad Cove",114599
"1001357","Division No. 1, Subd. H",116846
"1001361","Salmon Cove",119093
"1001365","Victoria",121340
"1001370","Carbonear",123587
"1001374","Division No. 1, Subd. I",125834
"1001375","Bryant's Cove",128081
"1001379","Harbour Grace",130328
"1001385","Upper Island Cove",132575
"1001391","Division No. 1, Subd. J",134822
"1001394","Bishop's Cove",137069
"1001396","Spaniard's Bay",139316
"1001405","Division No. 1, Subd. K",141563
"1001409","Bay Roberts",143810
"1001415","Division No. 1, Subd. L",146057
"1001421","Division No. 1, Subd. M",148304
"1001426","North River",150551
"1001429","Clarke's Beach",152798
"1001434","South River",155045
"1001437","Cupids",157292
"1001441","Division No. 1, Subd. N",159539
"1001446","Brigus",161786
"1001452","Division No. 1, Subd. O",164033
"1001456","Colliers",166280
"1001461","Conception Harbour",168527
"1001464","Avondale",170774
"1001469","Harbour Main-Chapel's Cove-Lakeview",173021
"1001472","Holyrood",175268
"1001485","Conception Bay South",177515
"1001490","Division No. 1, Subd. R",179762
"1001494","Wabana",182009
"1001504","Portugal Cove-St. Philip's",184256
"1001505","Pouch Cove",186503
"1001507","Flatrock",188750
"1001509","Torbay",190997
"1001511","Logy Bay-Middle Cove-Outer Cove",193244
"1001512","Bauline",195491
"1001517","Paradise",197738
"1001519","St. John's",199985
"1001542","Mount Pearl",202232
"1001551","Petty Harbour-Maddox Cove",204479
"1001557","Bay Bulls",206726
"1001559","Witless Bay",208973
"1001565","Division No. 1, Subd. D",211220
"1002001","Division No. 2, Subd. E",213467
"1002002","Lewin's Cove",215714
"1002005","Burin",217961
"1002006","Division No. 2, Subd. F",220208
"1002008","St. Lawrence",222455
"1002009","Division No. 2, Subd. G",224702
"1002011","Lawn",226949
"1002012","Lamaline",229196
"1002013","Lord's Cove",231443
"1002014","Point May",233690
"1002015","Point au Gaul",235937
"1002016","Division No. 2, Subd. H",238184
"1002017","Frenchman's Cove",240431
"1002018","Fortune",242678
"1002019","Grand Bank",244925
"1002021","Garnish",247172
"1002022","Division No. 2, Subd. D",249419
"1002023","Winterland",251666
"1002024","Marystown",253913
"1002025","Fox Cove-Mortier",256160
"1002026","Division No. 2, Subd. I",258407
"1002027","Bay L'Argent",260654
"1002029","Division No. 2, Subd. J",262901
"1002030","Grand le Pierre",265148
"1002031","Division No. 2, Subd. C",267395
"1002033","Rushoon",269642
"1002034","Parkers Cove",271889
"1002036","Terrenceville",274136
"1002037","Red Harbour",276383
"1002039","English Harbour East",278630
"1002040","Baine Harbour",280877
"1002041","St. Bernard's-Jacques Fontaine",283124
"1002044","Division No. 2, Subd. L",285371
"1002048","Division No. 2, Subd. K",287618
"1002055","Little Bay East",289865
"1003001","Division No. 3, Subd. A",292112
"1003002","Rencontre East",294359
"1003003","St. Jacques-Coomb's Cove",296606
"1003004","Belleoram",298853
"1003005","Pool's Cove",301100
"1003006","Division No. 3, Subd. B",303347
"1003008","Harbour Breton",305594
"1003009","Division No. 3, Subd. C",307841
"1003010","Seal Cove (Fortune Bay)",310088
"1003011","Hermitage-Sandyville",312335
"1003012","Gaultois",314582
"1003014","Division No. 3, Subd. D",316829
"1003018","Milltown-Head of Bay d'Espoir",319076
"1003019","St. Alban's",321323
"1003020","Morrisville",323570
"1003021","Division No. 3, Subd. E",325817
"1003024","Division No. 3, Subd. F",328064
"1003026","Ramea",330311
"1003028","Burgeo",332558
"1003031","Division No. 3, Subd. H",334805
"1003032","Isle aux Morts",337052
"1003033","Burnt Islands",339299
"1003034","Channel-Port aux Basques",341546
"1003038","Division No. 3, Subd. I",343793
"1003042","Division No. 3, Subd. J",346040
"1003045","Rose Blanche-Harbour le Cou",348287
"1003801","Samiajij Miawpukek",350534
"1004001","Division No. 4, Subd. A",352781
"1004006","Division No. 4, Subd. B",355028
"1004011","Division No. 4, Subd. C",357275
"1004013","St. George's",359522
"1004016","Division No. 4, Subd. D",361769
"1004017","Gallants",364016
"1004018","Stephenville Crossing",366263
"1004019","Stephenville",368510
"1004020","Kippens",370757
"1004021","Port au Port East",373004
"1004022","Division No. 4, Subd. E",375251
