Geo Code,Geo Name,Line Number
"1201001","Barrington",2
"1201004","Clark's Harbour",2249
"1201006","Shelburne",4496
"1201008","Shelburne",6743
"1201009","Lockeport",8990
"1202001","Argyle",11237
"1202004","Yarmouth",13484
"1202006","Yarmouth",15731
"1202040","Yarmouth 33",17978
"1203001","Clare",20225
"1203004","Digby",22472
"1203006","Digby",24719
"1203009","Bear River (Part) 6",26966
"1204009","Ponhook Lake 10",29213
"1204010","Queens",31460
"1204015","Wildcat 12",33707
"1205001","Annapolis, Subd. D",35954
"1205002","Bear River (Part) 6",38201
"1205004","Annapolis, Subd. A",40448
"1205006","Bear River 6B",42695
"1205008","Annapolis Royal",44942
"1205009","Annapolis, Subd. B",47189
"1205014","Annapolis, Subd. C",49436
"1205016","Middleton",51683
"1206001","Lunenburg",53930
"1206004","Bridgewater",56177
"1206006","Lunenburg",58424
"1206008","Mahone Bay",60671
"1206009","Chester",62918
"1206011","Gold River 21",65165
"1206014","Pennal 19",67412
"1206016","New Ross 20",69659
"1207001","Kings, Subd. A",71906
"1207002","Cambridge 32",74153
"1207004","Berwick",76400
"1207011","Kings, Subd. C",78647
"1207012","Kentville",80894
"1207016","Kings, Subd. B",83141
"1207021","Kings, Subd. D",85388
"1207024","Wolfville",87635
"1207027","Glooscap 35",89882
"1208001","West Hants",92129
"1208002","Windsor",94376
"1208008","East Hants",96623
"1208014","Indian Brook 14",98870
"1209019","Cole Harbour 30",101117
"1209029","Shubenacadie 13",103364
"1209034","Halifax",105611
"1209037","Beaver Lake 17",107858
"1209038","Sheet Harbour 36",110105
"1209800","Wallace Hills 14A",112352
"1210001","Colchester, Subd. C",114599
"1210002","Stewiacke",116846
"1210003","Millbrook 27",119093
"1210006","Truro",121340
"1210008","Colchester, Subd. B",123587
"1210012","Colchester, Subd. A",125834
"1211001","Cumberland, Subd. A",128081
"1211002","Parrsboro",130328
"1211006","Cumberland, Subd. B",132575
"1211009","Cumberland, Subd. C",134822
"1211011","Amherst",137069
"1211012","Oxford",139316
"1211014","Cumberland, Subd. D",141563
"1212001","Pictou, Subd. A",143810
"1212004","Pictou",146057
"1212006","Pictou, Subd. B",148304
"1212008","Westville",150551
"1212009","Stellarton",152798
"1212011","Pictou, Subd. C",155045
"1212014","New Glasgow",157292
"1212016","Trenton",159539
"1212019","Fisher's Grant 24",161786
"1212023","Merigomish Harbour 31",164033
"1213001","St. Mary's",166280
"1213004","Guysborough",168527
"1213008","Mulgrave",170774
"1214001","Antigonish, Subd. A",173021
"1214002","Antigonish",175268
"1214006","Antigonish, Subd. B",177515
"1214010","Pomquet And Afton 23",179762
"1215001","Inverness, Subd. C",182009
"1215002","Port Hawkesbury",184256
"1215006","Inverness, Subd. B",186503
"1215008","Whycocomagh 2",188750
"1215011","Inverness, Subd. A",190997
"1216001","Richmond, Subd. C",193244
"1216006","Richmond, Subd. A",195491
"1216011","Richmond, Subd. B",197738
"1216014","Chapel Island 5",199985
"1217008","Membertou 28B",202232
"1217020","Eskasoni 3",204479
"1217030","Cape Breton",206726
"1218001","Victoria, Subd. B",208973
"1218003","Wagmatcook 1",211220
"1218006","Victoria, Subd. A",213467
